#SampleID	original-sample-ids	control	tokeep	Temperature	Long	Lat	Replicate	NAT	TemperatureEnvironmental	PHOS	DNAwhirlpak	SalinityEnviron	pHEnviron	DNAnotes	Year	Extrmethod	Polymerase	Date	Month	Day	TempAir	CHL	Person	Bottle	ChlEnviron	DOEnviron	well	Site	SiteCode	StationName	NIT	Description
CON_FN_R	(R-1C, R-2C, R-3C)	y	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Control
CON_blank	Control-Blank	y	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Control
E-BA-2016	(E-BA-2016-1, E-BA-2016-3, E-BA-2016-2)	n	Y	14.6	-122.928592	49.313135	(1, 3, 2)	(22, 31, 28)	14.6	no_data	(18, 27, 16)	26	7.58	NA	2016	s	phusion	09-Jun-16	6	9		(18, 10, 15)	M	(D, L, H)	(19.80890208, 22.89199968, 21.73583808)	12	(B3, B4, H2)	BelcarraArea	BA	no_data	no_data	marine
E-BL-2016	(E-BL-2016-1, E-BL-2016-2, E-BL-2016-3)	n	Y	25	-122.958705	49.245541	(1, 2, 3)	(21, 14, 18)	25	no_data	(38, 1, 20)	0	6.36	(NA, nonauto, nonauto)	2016	(s, p, p)	phusion	06-Jun-16	6	6	26	(48, 42, 50)	M	(A, D, E)	(18.03612096, 11.60786246, 16.72580448)	8.01	(H4, A1, D3)	BurnabyLake	BL	no_data	no_data	fresh
E-BP-2016	(E-BP-2016-2, E-BP-2016-3, E-BP-2016-1)	n	Y	14.7	-123.117363	49.300997	(2, 3, 1)	(1, 20, 17)	14.7	no_data	(50, 42, 22)	16	7.54	(spilled, NA, NA)	2016	(p, s, p)	phusion	07-Jun-16	6	7	23	(38, 40, 44)	M	(J, G, B)	(8.416856448, 10.81396483, 11.78514058)	11.42	(B6, D5, F3)	BrocktonPoint	BP	no_data	no_data	brack
E-CB-2016	(E-CB-2016-3, E-CB-2016-2)	n	Y	24.1	-123.039279	49.014764	(3, 2)	(9, 16)	24.1	no_data	(13, 2)	33	7.71	(NA, nonauto)	2016	p	phusion	06-Jun-16	6	6	25	(49, 45*)	M	(N, B)	(2.04255216, 1.3488552)	8.83	(E2, B1)	CentennialBeach	CB	no_data	no_data	marine
E-CP-41	(R-cp-4-1-r3, R-cp-4-1-r2, R-cp-4-1-r1)	n	N	7	-123.896	49.207	no_data	no_data	no_data	no_data	no_data	1	7.1	no_data	2015	s	prime	no_data	4	1	no_data	no_data	F	no_data	(1.1083608, 1.1083608, 0.9156024)	12.55	no_data	CannoePassage	CP	CannoePassage	no_data	River
E-CR-2016	(E-CR-2016-1, E-CR-2016-3, E-CR-2016-2)	n	Y	15.6	-123.129409	49.328539	(1, 3, 2)	(38, 42, 36)	15.6	no_data	(9, 5, 7)	2	6.15	NA	2016	p	phusion	08-Jun-16	6	8		(19, 21, 17)	M	(P, K, L)	(1.353479846, 1.249425302, 1.227843619)	10.12	(A2, E1, G1)	CapilanoPacificTrail	CR	no_data	(41, 49, 16)	fresh
E-DS-41	(R-ds-4-1-r1, R-ds-4-1-r3, R-ds-4-1-r2)	n	N	9.9	-123.061783	49.117541	no_data	no_data	no_data	no_data	no_data	9	7.1	no_data	2015	s	prime	no_data	4	1	no_data	no_data	F	no_data	(4.979592, 4.9082, 4.9082)	11.28	no_data	DeasSlough	DS	DeasSlough	no_data	River
E-DS-428	(R-ds-4-28-r2, R-ds-4-28-r1)	n	Y	11	-123.061783	49.117541	no_data	no_data	no_data	no_data	no_data	2	7.11	no_data	2015	s	prime	no_data	4	28	no_data	no_data	F	no_data	(5.3793872, 5.024212)	10.95	no_data	no_data	no_data	DeasSlough	no_data	River
