#SampleID	ColRep	control	tokeep	Temperature	Long	Lat	Replicate	NAT	TemperatureEnvironmental	PHOS	DNAwhirlpak	SalinityEnviron	pHEnviron	DNAnotes	Year	Extrmethod	Polymerase	Date	Month	Day	TempAir	CHL	Person	Bottle	ChlEnviron	DOEnviron	well	Site	SiteCode	StationName	NIT	Description
S-st-5-6-19-r2	E-SOG-5619	n	Y	17.143	-123.635095	49.169637	no_data	no_data	no_data	no_data	no_data	23	8.32	no_data	2015	s	prime	no_data	6	19	no_data	no_data	F	no_data	0-776388	10.8	no_data	no_data	no_data	SOG5	no_data	Sea
S-st-5-6-19-r3	E-SOG-5619	n	Y	17.046	-123.635095	49.169637	no_data	no_data	no_data	no_data	no_data	23	8.32	no_data	2015	s	prime	no_data	6	19	no_data	no_data	F	no_data	0.776388	10.8	no_data	no_data	no_data	SOG5	no_data	Sea
S-st-5-6-19-r1	E-SOG-5619	n	Y	17.155	-123.635095	49.169637	no_data	no_data	no_data	no_data	no_data	23	8.32	no_data	2015	s	prime	no_data	6	19	no_data	no_data	F	no_data	0.8495648	10.8	no_data	no_data	no_data	SOG5	no_data	Sea
R-jt-4-28-r1	E-JT-428	n	Y	10.1	-123.212213	49.127819	no_data	no_data	no_data	no_data	no_data	7	8.27	no_data	2015	s	prime	no_data	4	28	no_data	no_data	F	no_data	0.8709824	11.58	no_data	no_data	JT	Jetty	no_data	River
R-jt-4-28-r2	E-JT-428	n	Y	10.1	-123.212213	49.127819	no_data	no_data	no_data	no_data	no_data	7	8.27	no_data	2015	s	prime	no_data	4	28	no_data	no_data	F	no_data	0.9173872	11.58	no_data	Jetty	JT	0.9173872	NIT	River
R-jt-4-28-r3	E-JT-428	n	Y	10.1	-123.212213	49.127819	no_data	no_data	no_data	no_data	no_data	7	8.27	no_data	2015	s	prime	no_data	4	28	no_data	no_data	F	no_data	0.9173872	11.58	no_data	Jetty	JT	0.9173872	NIT	River
S-st-3-4-24-r1	E-SOG-3424	n	Y	10.72	-123.377395	49.063412	no_data	no_data	no_data	no_data	no_data	10	8.29	no_data	2015	s	prime	no_data	4	24	no_data	no_data	F	no_data	0.7549704	NA	no_data	no_data	no_data	SOG3	no_data	Plume
E-f-TL-2-Jul-a	E-TL-Jul-2014	n	Y	28.8	-123.061364	49.255245	no_data	no_data	no_data	no_data	no_data	0	9.17	no_data	2014	s	prime	no_data	7	9	no_data	no_data	M	no_data	36.95308	10.44	no_data	no_data	no_data	TroutLake	no_data	Lake
WV7B	E-WV-Jula-2014	n	Y	18.5	-123.274147	49.355801	no_data	no_data	no_data	no_data	no_data	15	8.37	no_data	2014	s	prime	no_data	7	28	no_data	no_data	M	no_data	9.94	8.37	no_data	no_data	no_data	WestVan	no_data	Sea
R-ls-5-26-r2	E-LS-526	n	Y	14.9	-123.086845	49.093614	no_data	no_data	no_data	no_data	no_data	0	7.11	no_data	2015	s	prime	no_data	5	26	no_data	no_data	F	no_data	3.5107016	9.34	no_data	no_data	no_data	Ladner Slough	no_data	River
S-st-2-4-24-r1B	E-SOG-2424	n	Y	11.23	-123.319215	49.045828	no_data	no_data	no_data	no_data	no_data	20	8.3	no_data	2015	s	prime	no_data	4	24	no_data	no_data	F	no_data	1.8936728	NA	no_data	no_data	no_data	SOG2	no_data	Sea
WV7A	E-WV-Jula-2014	n	Y	18.5	-123.274147	49.355801	no_data	no_data	no_data	no_data	no_data	15	8.37	no_data	2014	s	prime	no_data	7	28	no_data	no_data	M	no_data	9.94	8.37	no_data	no_data	no_data	WestVan	no_data	Sea
S-st-3-4-24-r3	E-SOG-3424	n	Y	10.65	-123.377395	49.063412	no_data	no_data	no_data	no_data	no_data	10	8.29	no_data	2015	s	prime	no_data	4	24	no_data	no_data	F	no_data	0.972716	NA	no_data	no_data	no_data	SOG3	no_data	Plume
WV7C	E-WV-Jula-2014	n	Y	18.5	-123.274147	49.355801	no_data	no_data	no_data	no_data	no_data	15	8.37	no_data	2014	s	prime	no_data	7	28	no_data	no_data	M	no_data	9.94	8.37	no_data	no_data	no_data	WestVan	no_data	Sea
E-TB-2016-2	E-TB-2016	n	Y	18	-123.258216	49.273524	2	29	18	no_data	41	16	7.35	NA	2016	s	phusion	07-Jun-16	6	7	19	29	M	A	7.730867232	9.83	C5	TowerBeach	TB	no_data	22	brack
