# Constructed from biom file
#OTU ID	E-JT-526	E-SOG-4619	E-LS-526	E-CR-2016	E-TL-2016	E-VP-2016	E-DS-428	E-TL-Aug-2014	E-WP-623	E-SOG-6527	E-SOG-4424	E-TL-Jul-2014	E-SOG-5619	E-CB-2016	E-LH-2016	E-BP-2016	E-TI-2014	E-PM-Aug-2014	E-DU-Jul-2014	E-JP-2016	E-JT-623	E-LS-428	E-SOG-4527	E-WV-Aug-2014	E-WC-2016	E-PM-Jul-2014	E-SOG-7424	E-SOG-2527	E-LS-623	E-TB-2016	E-PM-Jula-2014	E-Tca-7-2014	E-FR-7-2014	E-DS-623	E-WP-526	E-PM-2016	E-BA-2016	E-MT-526	E-WV-Jula-2014	E-WP-428	E-JT-428	E-DU-2016	E-SOG-1424	E-SOG-2619	E-SOG-6424	E-SOG-5527	E-BL-2016	E-DU-Jula-2014	E-MT-623	E-SOG-3619	E-MT-428	E-TC-2014	E-SOG-1527	E-T7-2014	E-SOG-3527	E-SOG-3424	E-SOG-2424	E-SOG-6619	E-SOG-5424	taxonomy
127157	0.0	5795.0	1.0	2.0	0.0	65.0	3.0	1.0	132.0	1227.0	1010.0	0.0	5868.0	0.0	587.0	12.0	1.0	1826.0	132.0	670.0	5.0	12.0	1060.0	8791.0	1460.0	10006.0	1.0	1313.0	4.0	180.0	11.0	2.0	1.0	0.0	1.0	287.0	711.0	1.0	2243.0	11.0	0.0	332.0	1.0	2169.0	3.0	14179.0	0.0	512.0	0.0	13032.0	3.0	1.0	8108.0	4.0	2997.0	6.0	0.0	7656.0	3.0	Eukaryota; __Opisthokonta; __Metazoa; __Arthropoda; __Maxillopoda; __Calanoida; __uncultured; __uncultured_eukaryote
127206	2.0	5825.0	1.0	2.0	0.0	59.0	3.0	1.0	172.0	1169.0	896.0	1.0	5836.0	0.0	552.0	14.0	1.0	1528.0	84.0	586.0	11.0	7.0	1029.0	6873.0	1154.0	8935.0	1.0	1664.0	14.0	150.0	11.0	1.0	1.0	0.0	0.0	304.0	690.0	2.0	1861.0	9.0	0.0	306.0	0.0	1989.0	3.0	14968.0	0.0	427.0	1.0	14662.0	0.0	0.0	7048.0	3.0	2540.0	4.0	0.0	9253.0	8.0	Eukaryota; __Opisthokonta; __Metazoa; __Arthropoda; __Maxillopoda; __Calanoida; __uncultured; __uncultured_eukaryote
127731	5.0	19809.0	2.0	0.0	0.0	53.0	7.0	3.0	263.0	3627.0	831.0	2.0	13276.0	16.0	1.0	28.0	0.0	13.0	1.0	12.0	5.0	10.0	254.0	3637.0	62.0	0.0	89.0	865.0	3.0	12.0	0.0	0.0	0.0	3.0	1.0	15.0	28.0	1.0	1.0	41.0	37.0	6.0	1694.0	1591.0	412.0	6719.0	0.0	0.0	2.0	18366.0	80.0	21.0	6732.0	0.0	374.0	722.0	142.0	596.0	2185.0	Eukaryota; __Opisthokonta; __Metazoa; __Tunicata; __Appendicularia; __Copelata; __uncultured; __uncultured_eukaryote
127387	9.0	17830.0	4.0	0.0	0.0	29.0	10.0	2.0	294.0	3347.0	879.0	1.0	12868.0	16.0	3.0	34.0	1.0	11.0	0.0	11.0	5.0	9.0	251.0	2825.0	57.0	0.0	116.0	1027.0	12.0	23.0	2.0	1.0	0.0	3.0	1.0	11.0	18.0	1.0	5.0	32.0	40.0	3.0	1577.0	1345.0	413.0	7545.0	0.0	0.0	2.0	20674.0	103.0	29.0	5920.0	1.0	295.0	630.0	157.0	582.0	2511.0	Eukaryota; __Opisthokonta; __Metazoa; __Tunicata; __Appendicularia; __Copelata; __uncultured; __uncultured_eukaryote
59	19.0	16.0	60.0	0.0	0.0	0.0	23.0	0.0	15.0	64.0	186.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	55.0	15.0	0.0	0.0	0.0	27.0	7.0	25.0	0.0	0.0	0.0	0.0	179.0	15.0	0.0	0.0	36.0	0.0	26.0	5.0	0.0	87.0	5.0	85.0	351.0	0.0	0.0	4.0	10.0	36.0	0.0	45.0	0.0	24.0	42.0	139.0	129.0	232.0	Eukaryota; __Alveolata; __Dinoflagellata; __Dinophyceae; __Gymnodiniphycidae; __Gyrodinium; __Gyrodinium; __uncultured_eukaryote
114435	2.0	300.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	606.0	1859.0	0.0	1663.0	76.0	1.0	920.0	0.0	39.0	0.0	28.0	0.0	7.0	233.0	39.0	1066.0	0.0	64.0	5.0	4.0	67.0	13.0	0.0	0.0	3.0	0.0	538.0	2644.0	2.0	4.0	17.0	2.0	360.0	1236.0	12.0	865.0	12275.0	0.0	0.0	0.0	3.0	0.0	0.0	162.0	0.0	4.0	703.0	4436.0	4952.0	1933.0	Eukaryota; __Alveolata; __Dinoflagellata; __Dinophyceae; __Gymnodiniphycidae; __Gyrodinium; __Gyrodinium; __uncultured_eukaryote
114282	5.0	329.0	2.0	2.0	0.0	0.0	4.0	0.0	1.0	559.0	1864.0	0.0	1643.0	96.0	0.0	1065.0	0.0	31.0	0.0	39.0	0.0	3.0	244.0	63.0	1149.0	0.0	82.0	12.0	6.0	81.0	23.0	0.0	0.0	14.0	0.0	583.0	3167.0	1.0	9.0	9.0	3.0	374.0	1412.0	4.0	886.0	11338.0	1.0	0.0	0.0	2.0	1.0	0.0	226.0	0.0	6.0	851.0	4008.0	4311.0	1597.0	Eukaryota; __Alveolata
109709	0.0	7.0	0.0	0.0	0.0	3.0	0.0	4.0	5.0	20.0	8.0	1.0	0.0	0.0	119.0	64.0	29.0	291.0	45.0	27.0	1.0	1.0	14.0	1604.0	550.0	10.0	0.0	20.0	0.0	126.0	6012.0	23.0	2.0	0.0	0.0	62.0	38.0	0.0	24901.0	0.0	0.0	68.0	8.0	0.0	0.0	3.0	0.0	3732.0	0.0	76.0	0.0	26.0	60.0	7.0	1.0	2.0	15.0	0.0	2.0	Eukaryota; __Stramenopiles; __Ochrophyta; __Raphidophyceae; __Chattonellales; __Heterosigma; __Heterosigma; __Heterosigma_akashiwo
126959	0.0	632.0	0.0	0.0	0.0	83.0	0.0	0.0	8.0	308.0	5975.0	0.0	304.0	19.0	254.0	248.0	1.0	69.0	2246.0	86.0	6.0	0.0	3705.0	1061.0	109.0	618.0	351.0	291.0	0.0	205.0	226.0	0.0	0.0	0.0	1.0	38.0	19.0	0.0	754.0	28.0	29.0	90.0	1883.0	309.0	568.0	32.0	0.0	2800.0	0.0	573.0	1.0	850.0	1765.0	0.0	11.0	490.0	4042.0	66.0	1212.0	Eukaryota; __Cryptophyceae; __Cryptomonadales
126120	0.0	12.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	231.0	3531.0	1.0	10.0	0.0	0.0	5.0	2750.0	0.0	0.0	0.0	0.0	0.0	0.0	828.0	2.0	4.0	0.0	0.0	0.0	3.0	0.0	14195.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	12541.0	0.0	1.0	0.0	163.0	38.0	4.0	0.0	0.0	0.0	0.0	0.0	Eukaryota; __Alveolata; __Dinoflagellata; __Dinophyceae; __Peridiniphycidae; __Gonyaulacales; __Alexandrium; __Alexandrium_pseudogoniaulax
