Taxa	Fresh	Brackish	Marine	total
__Metazoa	0.333333333333333	0.4875	0.179166666666667	686
__Dinoflagellata	0.421052631578947	0.345394736842105	0.233552631578947	551
__Ochrophyta	0.348484848484849	0.598484848484849	0.053030303030303	761
__Cryptomonadales	0.412903225806452	0.458064516129032	0.129032258064516	239
__Ciliophora	0.485714285714286	0.442857142857143	0.0714285714285714	546
__FV18-2D11	NA	NA	NA	8
__Chloroplastida	0.402912621359223	0.427184466019417	0.169902912621359	307
__Protalveolata	0.310810810810811	0.540540540540541	0.148648648648649	339
__Discicristata	NA	NA	NA	1
__Fungi	0.410596026490066	0.576158940397351	0.0132450331125828	257
__Picomonadida	NA	0.157894736842105	0.842105263157895	19
__Prymnesiophyceae	NA	0.111111111111111	0.888888888888889	89
__Kathablepharidae	0.214285714285714	0.785714285714286	NA	41
__Cercozoa	0.381642512077295	0.434782608695652	0.183574879227053	369
__uncultured	0.133333333333333	0.2	0.666666666666667	16
__Choanoflagellida	0.650793650793651	0.333333333333333	0.0158730158730159	88
__Jakobida	NA	1	NA	5
__P1-31	0.548387096774194	0.451612903225806	NA	31
__MAST-2	0.428571428571429	0.428571428571429	0.142857142857143	7
__Incertae_Sedis	0.166666666666667	0.666666666666667	0.166666666666667	28
__Rhodophyceae	NA	NA	1	4
__MAST-7	NA	NA	NA	5
__Peronosporomycetes	0.6	0.4	NA	9
__Discicristoidea	NA	NA	NA	11
__Apicomplexa	1	NA	NA	28
__MAST-1	NA	0.571428571428571	0.428571428571429	10
__BOLA914	0.6	0.4	NA	7
__OLI11255	NA	1	NA	2
__MAST-3	0.5	0.5	NA	6
__Filasterea	NA	1	NA	4
__Labyrinthulomycetes	NA	NA	NA	2
__Ichthyosporea	NA	NA	1	6
__Pav3	NA	NA	1	2
__MAST-6	NA	1	NA	4
__Apusomonadidae	NA	NA	NA	2
__Heterophryidae	NA	NA	NA	2
__H15-6	1	NA	NA	2
__DH147-EKD10	1	NA	NA	1
__Acanthocystidae	1	NA	NA	2
__MAST-4	NA	NA	NA	2
