"ClassNames"	"ttc.sorted"
"Thermoplasmata_"	"Thermoplasmata"	"5"
"Nitrososphaeria_"	"Nitrososphaeria"	"9"
"Elusimicrobia_"	"Elusimicrobia"	"1"
"Fimbriimonadia_"	"Fimbriimonadia"	"1"
"Armatimonadia_"	"Armatimonadia"	"3"
"Saccharimonadia_"	"Saccharimonadia"	"1"
"Chloroflexia_"	"Chloroflexia"	"1"
"Anaerolineae_"	"Anaerolineae"	"1"
"SL56.marine.group_"	"SL56.marine.group"	"4"
"Oxyphotobacteria_"	"Oxyphotobacteria"	"49"
"Mollicutes_"	"Mollicutes"	"1"
"Bacilli_"	"Bacilli"	"2"
"Clostridia_"	"Clostridia"	"4"
"Thermoleophilia_"	"Thermoleophilia"	"6"
"Acidimicrobiia_"	"Acidimicrobiia"	"31"
"Actinobacteria_"	"Actinobacteria"	"134"
"Nitrospira_"	"Nitrospira"	"2"
"Nitrospinia_"	"Nitrospinia"	"1"
"Holophagae_"	"Holophagae"	"4"
"Acidobacteriia_"	"Acidobacteriia"	"1"
"Subgroup.6_"	"Subgroup.6"	"4"
"Gemmatimonadetes_"	"Gemmatimonadetes"	"1"
"uncultured.marine.bacterium_"	"uncultured.marine.bacterium"	"4"
"uncultured.bacterium_"	"uncultured.bacterium"	"1"
"OM190_"	"OM190"	"2"
"Phycisphaerae_"	"Phycisphaerae"	"6"
"Planctomycetacia_"	"Planctomycetacia"	"15"
"Omnitrophia_"	"Omnitrophia"	"4"
"Verrucomicrobiae_"	"Verrucomicrobiae"	"79"
"Fibrobacteria_"	"Fibrobacteria"	"2"
"Ignavibacteria_"	"Ignavibacteria"	"1"
"Rhodothermia_"	"Rhodothermia"	"1"
"Bacteroidia_"	"Bacteroidia"	"461"
"Leptospirae_"	"Leptospirae"	"1"
"Fusobacteriia_"	"Fusobacteriia"	"3"
"Deltaproteobacteria_"	"Deltaproteobacteria"	"23"
"Campylobacteria_"	"Campylobacteria"	"15"
"Alphaproteobacteria_"	"Alphaproteobacteria"	"429"
"Gammaproteobacteria_"	"Gammaproteobacteria"	"591"
