	E-JT-526	E-SOG-4619	E-LS-526	E-CR-2016	E-TL-2016	E-VP-2016	E-DS-428	E-TL-Aug-2014	E-WP-623	E-SOG-6527	E-SOG-4424	E-TL-Jul-2014	E-SOG-5619	E-CB-2016	E-LH-2016	E-BP-2016	E-TI-2014	E-PM-Aug-2014	E-SOG-1619	E-DU-Jul-2014	E-JP-2016	E-JT-623	E-LS-428	E-SOG-4527	E-WV-Aug-2014	E-WC-2016	E-PM-Jul-2014	E-SOG-7424	E-SOG-2527	E-LS-623	E-TB-2016	E-PM-Jula-2014	E-Tca-7-2014	E-FR-7-2014	E-DS-623	E-WP-526	E-PM-2016	E-BA-2016	E-MT-526	E-WV-Jula-2014	E-WP-428	E-JT-428	E-DU-2016	E-SOG-1424	E-SOG-2619	E-SOG-6424	E-SOG-5527	E-BL-2016	E-DU-Jula-2014	E-MT-623	E-SOG-3619	E-MT-428	E-TC-2014	E-SOG-1527	E-T7-2014	E-SOG-3527	E-SOG-3424	E-SOG-2424	E-SOG-6619	E-SOG-5424
E-JT-526	0.0	0.99	0.656	0.937	0.971	1.0	0.783	0.99	0.679	0.965	0.941	0.983	0.983	0.999	0.999	0.999	1.0	0.999	0.794	0.999	0.999	0.674	0.801	0.98	0.999	0.995	0.999	0.977	0.827	0.837	0.993	0.997	0.99	0.86	0.916	0.551	0.999	0.998	0.559	1.0	0.816	0.853	0.999	0.977	0.878	0.978	0.99	0.958	1.0	0.691	0.995	0.774	1.0	0.986	0.992	0.638	0.903	0.971	0.986	0.975
E-SOG-4619	0.99	0.0	0.995	1.0	1.0	0.948	0.994	0.999	0.968	0.811	0.888	0.999	0.418	0.996	0.918	0.943	0.999	0.908	0.841	0.945	0.949	0.988	0.987	0.903	0.751	0.926	0.848	0.882	0.929	0.992	0.935	0.963	0.999	0.998	0.997	0.997	0.959	0.968	0.992	0.96	0.986	0.968	0.943	0.857	0.72	0.878	0.667	1.0	0.942	0.99	0.391	0.992	0.982	0.734	1.0	0.905	0.904	0.919	0.749	0.881
E-LS-526	0.656	0.995	0.0	0.961	0.962	0.995	0.697	0.985	0.714	0.974	0.965	0.978	0.991	0.999	0.998	0.996	0.999	0.999	0.779	0.998	0.997	0.719	0.7	0.983	0.998	0.994	0.998	0.992	0.853	0.668	0.991	0.999	0.976	0.836	0.871	0.691	0.997	0.999	0.668	0.997	0.828	0.879	0.998	0.984	0.888	0.991	0.99	0.933	0.994	0.797	0.998	0.814	0.997	0.986	0.978	0.705	0.921	0.983	0.993	0.981
E-CR-2016	0.937	1.0	0.961	0.0	0.994	0.984	0.98	0.981	0.938	0.992	0.996	0.992	1.0	0.993	0.991	0.988	0.999	0.995	0.967	1.0	0.99	0.941	0.98	0.992	1.0	0.991	0.993	0.999	0.979	0.973	0.991	0.997	0.994	0.962	0.987	0.934	0.99	0.994	0.928	0.998	0.982	0.981	0.992	0.998	0.983	0.996	0.993	0.985	0.999	0.944	1.0	0.969	0.999	0.993	0.991	0.945	0.991	0.996	0.999	0.999
E-TL-2016	0.971	1.0	0.962	0.994	0.0	0.999	0.965	0.655	0.958	0.996	0.999	0.765	1.0	0.998	1.0	1.0	0.999	1.0	0.969	1.0	1.0	0.956	0.972	1.0	0.999	0.999	1.0	1.0	0.989	0.958	1.0	1.0	0.766	0.941	0.974	0.961	1.0	1.0	0.96	1.0	0.983	0.984	1.0	1.0	0.983	0.999	1.0	0.943	0.999	0.969	0.999	0.983	0.999	1.0	0.766	0.966	0.995	1.0	1.0	1.0
E-VP-2016	1.0	0.948	0.995	0.984	0.999	0.0	0.998	0.999	0.989	0.94	0.877	1.0	0.939	0.811	0.625	0.552	0.982	0.944	0.92	0.879	0.572	0.992	0.989	0.828	0.887	0.689	0.827	0.939	0.912	0.999	0.584	0.846	0.99	0.999	1.0	0.999	0.897	0.901	1.0	0.855	0.992	0.971	0.666	0.909	0.878	0.945	0.914	0.999	0.805	0.991	0.945	0.997	0.958	0.822	0.99	0.967	0.933	0.885	0.925	0.935
E-DS-428	0.783	0.994	0.697	0.98	0.965	0.998	0.0	0.995	0.818	0.978	0.921	0.992	0.991	0.999	0.999	0.998	1.0	0.999	0.845	0.999	0.999	0.781	0.611	0.978	0.999	0.999	0.999	0.989	0.897	0.759	0.995	0.999	0.993	0.876	0.888	0.795	0.999	1.0	0.786	0.999	0.762	0.804	0.998	0.986	0.902	0.985	0.995	0.902	0.999	0.877	0.997	0.786	1.0	0.985	0.993	0.804	0.873	0.973	0.997	0.986
E-TL-Aug-2014	0.99	0.999	0.985	0.981	0.655	0.999	0.995	0.0	0.985	0.997	1.0	0.632	1.0	0.999	1.0	1.0	0.999	1.0	0.989	1.0	1.0	0.981	0.992	1.0	0.999	1.0	1.0	1.0	0.997	0.984	1.0	1.0	0.679	0.978	0.989	0.982	1.0	1.0	0.981	1.0	0.999	0.996	0.999	1.0	0.99	0.999	1.0	0.968	0.999	0.988	1.0	0.994	0.999	1.0	0.652	0.994	0.996	0.999	1.0	1.0
E-WP-623	0.679	0.968	0.714	0.938	0.958	0.989	0.818	0.985	0.0	0.953	0.962	0.973	0.965	0.996	0.993	0.997	1.0	0.993	0.709	0.995	0.992	0.57	0.832	0.976	0.983	0.99	0.99	0.981	0.871	0.774	0.986	0.996	0.987	0.816	0.862	0.703	0.989	0.994	0.673	0.991	0.845	0.896	0.992	0.972	0.831	0.975	0.968	0.945	0.991	0.667	0.969	0.831	1.0	0.969	0.986	0.714	0.913	0.98	0.979	0.972
E-SOG-6527	0.965	0.811	0.974	0.992	0.996	0.94	0.978	0.997	0.953	0.0	0.848	0.995	0.771	0.985	0.938	0.897	0.997	0.967	0.89	0.957	0.951	0.957	0.971	0.859	0.888	0.925	0.942	0.823	0.897	0.978	0.899	0.961	0.997	0.985	0.984	0.969	0.953	0.957	0.967	0.957	0.963	0.927	0.943	0.824	0.812	0.844	0.757	0.995	0.94	0.964	0.856	0.974	0.982	0.792	0.996	0.902	0.859	0.898	0.818	0.803
