	E-JT-526	E-SOG-4619	E-LS-526	E-CR-2016	E-TL-2016	E-VP-2016	E-DS-428	E-TL-Aug-2014	E-WP-623	E-SOG-6527	E-SOG-4424	E-TL-Jul-2014	E-SOG-5619	E-CB-2016	E-LH-2016	E-BP-2016	E-TI-2014	E-PM-Aug-2014	E-SOG-1619	E-DU-Jul-2014	E-JP-2016	E-JT-623	E-LS-428	E-SOG-4527	E-WV-Aug-2014	E-WC-2016	E-PM-Jul-2014	E-SOG-7424	E-SOG-2527	E-LS-623	E-TB-2016	E-PM-Jula-2014	E-Tca-7-2014	E-FR-7-2014	E-DS-623	E-WP-526	E-PM-2016	E-BA-2016	E-MT-526	E-WV-Jula-2014	E-WP-428	E-JT-428	E-DU-2016	E-SOG-1424	E-SOG-2619	E-SOG-6424	E-SOG-5527	E-BL-2016	E-DU-Jula-2014	E-MT-623	E-SOG-3619	E-MT-428	E-TC-2014	E-SOG-1527	E-T7-2014	E-SOG-3527	E-SOG-3424	E-SOG-2424	E-SOG-6619	E-SOG-5424
E-JT-526	0.0	0.770511144137	0.556200177232	0.713451919927	0.75289713941	0.793434255552	0.581391542649	0.7703574468	0.539952169038	0.735241907615	0.743998477764	0.791031350909	0.778946029142	0.836254485695	0.80935121884	0.814037904374	0.85208383251	0.807571150479	0.606872297536	0.808554037177	0.804620360677	0.553409335294	0.538503502692	0.770559778169	0.79660457271	0.795670276567	0.793296520097	0.788470494099	0.648862115362	0.592525337408	0.779070694702	0.806669707373	0.778327048665	0.616737237763	0.648407541661	0.444619530654	0.809097591609	0.82218879433	0.45679878839	0.81815652128	0.549582585692	0.565610006278	0.790299407154	0.754966216991	0.673962493785	0.771068214999	0.806303997043	0.764356747442	0.807065734445	0.547374519177	0.786739563278	0.551559843459	0.827937634215	0.773472613201	0.7718882754	0.525737621899	0.657258391785	0.742895397679	0.784032052275	0.758974306738
E-SOG-4619	0.770511144137	0.0	0.80321984774	0.768548017701	0.793442163545	0.607435059415	0.770089684375	0.796993068937	0.765944169888	0.611491741576	0.613639282672	0.811043064081	0.452714742971	0.772823409448	0.641360026932	0.655729557086	0.816428567534	0.697625013214	0.648234252688	0.613538381335	0.692363548824	0.765723280396	0.736525384841	0.580827776367	0.559786013225	0.627005740622	0.621224849145	0.593742459268	0.705898267411	0.747206233963	0.628810751704	0.647002850822	0.796749138544	0.766027627642	0.733266760748	0.792557083398	0.600269421444	0.693086136624	0.781190117506	0.611271783698	0.705507633347	0.735328273892	0.61049108004	0.584030554436	0.603608120106	0.585565605632	0.566833634212	0.787806715183	0.627809138934	0.737676807868	0.434815873937	0.745080381402	0.744318148847	0.600930506197	0.79742104632	0.748554216057	0.645400677042	0.597900541039	0.582707861686	0.598262434504
E-LS-526	0.556200177232	0.80321984774	0.0	0.735482970742	0.770921983141	0.812047037202	0.577083052578	0.780533902711	0.613576011717	0.77769381779	0.776290175382	0.767916734394	0.815788855127	0.853350963064	0.821960686137	0.830572816377	0.866104166679	0.824820834402	0.658796036735	0.831359494516	0.818818558927	0.634052813229	0.557693562309	0.794956639209	0.816783945583	0.81696832017	0.815531462872	0.825053831113	0.677970161744	0.553005984403	0.801245681008	0.837478796466	0.777560851457	0.662107693639	0.641490524436	0.515777011617	0.840911242637	0.835544658755	0.549990963728	0.832528167981	0.624056476539	0.670390801217	0.80462418303	0.796798550748	0.720213301742	0.811142683265	0.820959242215	0.774250518603	0.812724115998	0.603968625091	0.825784159782	0.636264332164	0.84616819809	0.809885249138	0.764454700571	0.61422135028	0.724854550703	0.779936115378	0.820186636182	0.799479469025
E-CR-2016	0.713451919927	0.768548017701	0.735482970742	0.0	0.704174547241	0.750199550648	0.722296845753	0.730122722549	0.714136532607	0.77298773536	0.778169194394	0.747048922339	0.782343583111	0.791289669384	0.755567395763	0.764555015192	0.835491016801	0.778525657923	0.716175154195	0.776671720887	0.766112475835	0.732841077585	0.723098515299	0.787543270013	0.766944663089	0.748712632108	0.747762759288	0.800825890824	0.729668705916	0.747179974115	0.762605628091	0.801825853166	0.709115634221	0.712020940274	0.737848768461	0.716241296725	0.740655021578	0.785623349363	0.704229485979	0.759472567738	0.731978708866	0.731463698524	0.747622670823	0.773626827467	0.756265438068	0.777449490107	0.787480736348	0.744727443457	0.771722235987	0.709165310087	0.765320645388	0.714398883189	0.815386914516	0.776575398229	0.71153269814	0.708527243848	0.738162936567	0.750927673603	0.807541426659	0.787753492967
E-TL-2016	0.75289713941	0.793442163545	0.770921983141	0.704174547241	0.0	0.79278333412	0.742457300853	0.470887515999	0.742313283015	0.806210860602	0.807309836717	0.504291106836	0.81979758699	0.793615812947	0.79517524695	0.810755096914	0.810408678693	0.747973699345	0.781417571467	0.788027558754	0.782792464805	0.760916714028	0.736049936354	0.812713996251	0.773837978802	0.779758627239	0.797197416377	0.821168206253	0.770644849047	0.736323652211	0.79917779643	0.770390298671	0.461934776334	0.689713689946	0.692834572785	0.750685457099	0.795977564586	0.772651839679	0.755568370624	0.781218054861	0.757884614977	0.753977311044	0.767398621948	0.807914499413	0.79794867799	0.81229979924	0.823991993887	0.597879557571	0.776061085235	0.747204237027	0.790727183002	0.73535664481	0.780457832615	0.80895318508	0.433063526409	0.781163924418	0.788185621508	0.782898454621	0.810567618876	0.823226292685
E-VP-2016	0.793434255552	0.607435059415	0.812047037202	0.750199550648	0.79278333412	0.0	0.790311636769	0.813355898886	0.794914824205	0.643661806426	0.659363640125	0.813366356623	0.631343801016	0.732974843771	0.34765947152	0.345949452205	0.78638793264	0.669925981522	0.679139576652	0.517936962141	0.397458377385	0.780860469907	0.768329254395	0.556705589424	0.575802600425	0.330929609544	0.514473625152	0.663920803584	0.699392095169	0.767834119684	0.410496205369	0.559252658615	0.810923253295	0.792708011175	0.764084382006	0.803852260989	0.462808430796	0.564451149895	0.808878063764	0.61131255993	0.737866213529	0.750819876581	0.323893905305	0.622082735106	0.692955826024	0.659743762952	0.633294677286	0.81601069633	0.554792626609	0.779319421407	0.644978277183	0.771762036933	0.709670901506	0.571640274663	0.804848449873	0.743832527179	0.668968660422	0.606453771577	0.661666617644	0.659808721034
E-DS-428	0.581391542649	0.770089684375	0.577083052578	0.722296845753	0.742457300853	0.790311636769	0.0	0.763055650421	0.633611679545	0.75185751666	0.735198657256	0.768421189864	0.788762324059	0.836577911384	0.799010204314	0.806079344948	0.845657168991	0.797027254313	0.68507572437	0.794571069021	0.793031698381	0.638251111481	0.459458616196	0.759164182466	0.788128910397	0.795836973805	0.780217569194	0.793954717268	0.68847809501	0.55057073204	0.772358064369	0.801628937699	0.763174708328	0.659717918894	0.612307801166	0.58875067513	0.813530635524	0.819556583068	0.594020944681	0.808720112396	0.540506253246	0.620555709305	0.77597978283	0.763481745785	0.711052554936	0.789699247201	0.813132446051	0.729595282784	0.79164462694	0.627702835751	0.796895594699	0.496506828743	0.816506294622	0.774498023974	0.752261355958	0.601638793712	0.681940436002	0.7412830323	0.805320177872	0.779251069587
E-TL-Aug-2014	0.7703574468	0.796993068937	0.780533902711	0.730122722549	0.470887515999	0.813355898886	0.763055650421	0.0	0.755936742382	0.818132212129	0.832873767033	0.50031317429	0.830101875829	0.783974462857	0.808226506335	0.82993968644	0.809644232774	0.762642537324	0.795333956081	0.799688461473	0.800134228938	0.777489506028	0.762264964553	0.830217327031	0.797452135868	0.798024463998	0.803197560064	0.828295505093	0.804579606955	0.741651319897	0.811911591661	0.787862847099	0.466798900137	0.715044100827	0.69796278631	0.763589022102	0.809068905253	0.782070427065	0.774409052228	0.793247854146	0.777318348066	0.773217752826	0.793775296535	0.825740362117	0.814262766142	0.820416075271	0.820579008237	0.594086510569	0.78144114402	0.76653419611	0.802063981673	0.750252545612	0.784036399952	0.821619734649	0.478155125363	0.794666454523	0.798811512456	0.808209650723	0.817495775015	0.84374698475
E-WP-623	0.539952169038	0.765944169888	0.613576011717	0.714136532607	0.742313283015	0.794914824205	0.633611679545	0.755936742382	0.0	0.753656420384	0.746239956532	0.756103986279	0.77896982788	0.845862758876	0.817976441636	0.811835390337	0.868900914848	0.811620449051	0.571387663738	0.812865380278	0.810244148244	0.508868783396	0.634780136353	0.790430992692	0.77846320363	0.808498866574	0.800787238437	0.795274421393	0.678214536016	0.561880717368	0.784747714573	0.815626742205	0.762307483523	0.59401831513	0.613101287606	0.53793177636	0.811191640608	0.834286142903	0.499711376845	0.812464137217	0.617308750865	0.639412058318	0.78830054052	0.754467259463	0.650668096499	0.772558094039	0.810907107154	0.768295455012	0.806146577241	0.527301761399	0.786813810043	0.599002109436	0.842039637342	0.788697027831	0.754601742327	0.584645783326	0.679000230864	0.750147435467	0.786621769033	0.77387930479
E-SOG-6527	0.735241907615	0.611491741576	0.77769381779	0.77298773536	0.806210860602	0.643661806426	0.75185751666	0.818132212129	0.753656420384	0.0	0.580083541704	0.825794622204	0.580453657918	0.762705619385	0.65161658861	0.633880787004	0.826912846795	0.745557778693	0.635783135259	0.695675724724	0.704617703722	0.732165998615	0.70791820359	0.598742941242	0.637159425839	0.633948922744	0.678209306496	0.565809132566	0.642532834602	0.728364942435	0.638351304034	0.713594786686	0.8279398275	0.764497975309	0.738943471467	0.761360851109	0.660802372548	0.730723531631	0.743061226818	0.691384874475	0.687542848898	0.696238858234	0.653953831142	0.561289505714	0.64298020349	0.590792443425	0.563870222962	0.825841606808	0.670813403557	0.714988201315	0.65283095255	0.740729827026	0.771409053862	0.6033115965	0.828932437923	0.673763777432	0.606705875091	0.586201873326	0.58016836311	0.543881187397
