	WV7A	PM7C	TL7A	E-s-PM-3-Aug	WV7B	DU7C	DU7A	FR7A	FR7C	TC7B	PM7A	Tca7B	Tca7C	TL7B	TI7A	E-b-DU-1-Jul-a	TL7C	E-b-WV-3-Aug	FR7B	DU7B	TC7A	E-f-TL-3-Jul-a	TC7C	E-b-WV-2-Aug	E-b-DU-3-Jul-a	E-s-PM-2-Aug	Tca7A	E-b-WV-1-Aug	E-s-PM-2-Jul-a	E-b-DU-2-Jul-a	E-s-PM-1-Aug	E-f-TL-2-Jul-a	E-s-PM-3-Jul-a	E-f-TL-2-Aug	E-f-TL-3-Aug	E-f-TL-1-Aug	E-s-PM-1-Jul-a	E-f-TL-1-Jul-a	E-BP-2016-3	E-WC-2016-3	E-JP-2016-2	E-VP-2016-2	E-LH-2016-1	E-JP-2016-1	E-VP-2016-3	E-BP-2016-2	E-TB-2016-1	E-CB-2016-2	E-DU-2016-3	E-DU-2016-1	E-TB-2016-3	E-VP-2016-1	E-JP-2016-3	E-LH-2016-3	E-BL-2016-3	E-CB-2016-1	E-PM-2016-3	E-CB-2016-3	E-WC-2016-1	E-LH-2016-2	E-BL-2016-2	E-TL-2016-1	E-DU-2016-2	E-CR-2016-1	E-WC-2016-2	R.wp.5.26.r1	S.st.1.5.27.r1	R.mt.5.26.r1	R.jt.4.28.r1	S.st.4.4.24.r1	S.st.7.4.24.r1	S.st.3.4.24.r3	R.ls.4.28.r3	R.jt.4.28.r2	S.st.5.5.27.r2	R.ds.6.23.r.2	R.wp.5.26.r3	S.st.2.6.19.r2	S.st.5.4.24.r3	R.mt.6.23.r.3	S.st.1.4.24.r1	S.st.6.6.19.r2	S.st.4.5.27.r3	R.ls.6.23.r.2	S.st.4.4.24.r2	S.st.1.5.27.r2	R.ls.4.28.r1	R.Jt.6.23.r.3	S.st.1.6.19.r2	S.st.6.6.19.r1	S.st.5.4.24.r2	S.st.2.6.19.r3	R.mt.6.23.r.2	S.st.3.5.27.r2	S.st.6.5.27.r1	R.wp.4.28.r3	S.st.1.6.19.r3	S.st.3.4.24.r1	S.st.2.5.27.r2	S.st.4.5.27.r1	S.st.1.4.24.r2	S.st.6.4.24.r1	R.mt.4.28.r2	S.st.1.4.24.r3	S.st.6.4.24.r3	S.st.3.5.27.r1	R.ls.4.28.r2	S.st.5.6.19.r3	R.wp.4.28.r2	S.st.2.4.24.r3	R.jt.4.28.r3	R.ds.4.28.r3	R.wp.6.23.r.3	S.st.2.5.27.r3	R.Jt.6.23.r.1	S.st.2.6.19.r1	S.st.2.4.24.r1	S.st.2.4.24.r2	R.mt.5.26.r3	S.st.7.4.24.r2	R.wp.6.23.r.1	R.ls.6.23.r.1	R.J.5.26.r3	S.st.3.6.19.r1	R.mt.5.26.r2	R.ls.6.23.r.3	R.ls.5.26.r1	R.ds.4.28.r2	S.st.5.4.24.r1	S.st.4.4.24.r3	R.ds.4.28.r1	S.st.1.6.19.r1	S.st.3.5.27.r3	S.st.7.4.24.r3	R.ls.5.26.r3	R.ds.6.23.r.3	R.Jt.6.23.r.2	S.st.6.5.27.r2	S.st.2.5.27.r1	R.wp.4.28.r1	S.st.4.5.27.r2	R.J.5.26.r1	R.ls.5.26.r2	S.st.6.4.24.r2	S.st.1.5.27.r3	R.wp.6.23.r.2	S.st.6.6.19.r3	R.mt.6.23.r.1	R.J.5.26.r2	R.wp.5.26.r2
WV7A	0.0	0.481515333734	0.992402686092	0.662994707777	0.17753364921	0.504690515232	0.474075145903	0.988506848003	0.989967542048	0.677253425355	0.540113514343	0.993450364728	0.994411239618	0.995215949801	0.641475628245	0.670710883437	0.994425408774	0.748489907421	0.991374607051	0.428593872742	0.618978317965	0.993191788033	0.621650258267	0.64410444937	0.420338078571	0.687229025633	0.995278891353	0.917762692688	0.857128340616	0.60437705702	0.786996410052	0.99382419543	0.857531266993	0.997501160176	0.998147884314	0.997748936021	0.772408763753	0.992174174777	0.612166952544	0.743816043699	0.822310405644	0.657886900734	0.633743211154	0.783226543171	0.707543796925	0.665646258503	0.66488657845	0.745799070433	0.650619267244	0.946162009197	0.526486182142	0.691053632122	0.61921302578	0.621586731401	0.996743886307	0.716496560905	0.659302589732	0.888989079251	0.912843248445	0.728531184685	0.994741966894	0.993859184754	0.919183532261	0.997862410488	0.871566571556	0.993917487224	0.775382325403	0.993469091569	0.973563288813	0.878880837785	0.795039994645	0.939012784972	0.981583264971	0.977848362346	0.888948335621	0.989443945599	0.991983820555	0.876663708962	0.816954832104	0.992758272986	0.8302615517	0.93087594134	0.741709214105	0.988742519031	0.890076041967	0.701903644305	0.982359874812	0.983141219938	0.928449078943	0.924471943674	0.788663298117	0.838500117809	0.992719469671	0.988716502116	0.866147795143	0.985037963377	0.925230459897	0.936743088445	0.91463367485	0.663719957378	0.824228028504	0.88576907273	0.99418964614	0.826623265376	0.854957447919	0.989467942263	0.981547619048	0.859364630522	0.985227724827	0.880949959317	0.972744883349	0.991733677081	0.992045179862	0.920347003155	0.980781752531	0.84138940563	0.858238449233	0.83812171764	0.993467291404	0.848850075081	0.992604065828	0.989223434132	0.991665531799	0.814274187633	0.993050125966	0.987412069604	0.99205010284	0.992385729962	0.846205948563	0.877583979328	0.992145196871	0.961309090909	0.990381134612	0.847403379564	0.990385759501	0.989952285981	0.984034252331	0.862878490879	0.916334005515	0.982315083229	0.693909496253	0.993417906669	0.991292569659	0.832933579336	0.80534340917	0.991840474736	0.897816813049	0.992485182049	0.992147312443	0.981878088962
PM7C	0.481515333734	0.0	0.995597819545	0.702827476873	0.493406068104	0.729158603607	0.706823735469	0.995814911067	0.995030564229	0.750406436283	0.157418733089	0.996441522351	0.996531774166	0.997118859892	0.693638791709	0.706862468229	0.996107892831	0.797885631908	0.997875246623	0.683150439723	0.690126355219	0.999755501222	0.698377703297	0.748260187457	0.640117879716	0.718450157475	0.996811327893	0.912688092142	0.855762594893	0.665755530879	0.785784122018	1.0	0.854820984441	0.999874039552	0.99962361207	0.998895434462	0.782415996702	0.999887425419	0.604621715733	0.710218880086	0.726563694755	0.563250826413	0.606289887493	0.810633799185	0.735738462809	0.567509181249	0.689514659599	0.579261748098	0.611096413319	0.929841958475	0.459643829327	0.607580923704	0.542949625733	0.537066984424	0.999308277611	0.559633794574	0.555911788917	0.800314465409	0.877726683174	0.650924418048	0.999464524766	1.0	0.893142516398	0.999497928957	0.815500766781	0.999499642602	0.689138830544	0.999561993555	0.975467047956	0.865966895438	0.813073514898	0.924094688286	0.99443003413	0.981677625244	0.902119660336	0.999463103263	0.999337356526	0.881644364897	0.783384136455	0.998793689089	0.808330690348	0.944631441618	0.755129453642	0.998719262295	0.869680984677	0.673919668434	0.994550996736	0.989414468909	0.925136441316	0.934072000315	0.80628990305	0.855000740224	0.99882096862	0.996288659794	0.862798596804	0.989952519528	0.917039010139	0.930368612691	0.917110746306	0.69815530706	0.806326803084	0.823717685679	0.999397166683	0.796880877289	0.79114286806	0.995046300205	0.995198399466	0.834384157712	0.988615465452	0.841062038024	0.975905145035	0.998747890468	0.999520556155	0.916927759377	0.987287915737	0.858588882444	0.816876831396	0.827823587261	0.999317977493	0.815214283858	0.998684044034	0.999022582419	0.998779495525	0.77972465582	0.999646111652	0.998903598936	0.999357656732	0.999323451627	0.812779149808	0.864565411878	0.998574453366	0.945413669065	0.995704434982	0.829791861502	0.999598474202	0.999199301208	0.989219753217	0.878698603817	0.922551627677	0.986983190523	0.724466349196	0.998633413051	0.999520695676	0.788118494796	0.691525692955	0.99887243702	0.896518130976	0.999220485637	0.999217248986	0.971368847786
TL7A	0.992402686092	0.995597819545	0.0	0.997723947326	0.992221046736	0.987027780131	0.987418349915	0.851530629735	0.800353142564	0.998556176756	0.995295554119	0.162971491103	0.237078699561	0.267837685516	0.996971140341	0.994315338578	0.285700569234	0.996849948509	0.86602262616	0.985757008541	0.998258889707	0.957091828811	0.998469892333	0.995408048981	0.991157165809	0.998000678341	0.383557266544	0.99808301012	0.999002190842	0.994129721641	0.9982916065	0.943355786895	0.999000043476	0.955506716602	0.953150893537	0.942233775467	0.998171124551	0.942812883238	0.942623086745	0.969128732842	0.997434305814	0.985238887124	0.944409669943	0.998627972726	0.998299930108	0.987195803926	0.99758905226	0.998524191297	0.95751468136	0.995852657867	0.994662522803	0.994190580162	0.986187018043	0.994483921013	0.954234601941	0.998518068169	0.99652469398	0.998839233894	0.993957307061	0.993990845113	0.926437072677	0.955870238016	0.99292043181	0.983022375524	0.994087634397	0.847529677385	0.893939654136	0.810237985365	0.752229252681	0.821088964379	0.990384615385	0.814806827284	0.781229912149	0.786695767114	0.981365521178	0.816738700815	0.765950851088	0.831893854049	0.966482510789	0.863819045405	0.973853852049	0.997941466034	0.899473432264	0.728140178134	0.830363527575	0.840326430056	0.78699987839	0.828220858896	0.768560842997	0.998631504975	0.956058194724	0.79969998421	0.806533219492	0.799147822479	0.9976172425	0.800971348479	0.773732810735	0.776698153327	0.756426772852	0.874658023076	0.966398630263	0.974078330162	0.847469780783	0.967664443531	0.976969608629	0.776906073908	0.750956606692	0.989265150776	0.750446974687	0.913318785104	0.759056134206	0.781454828803	0.844116936458	0.78558801787	0.813169984686	0.793086660175	0.903259655418	0.870586514553	0.813252419223	0.990355707695	0.810283168201	0.732158001593	0.877582421706	0.958696522087	0.796652933474	0.756027977177	0.812060351886	0.806437915435	0.951179333583	0.825878903549	0.734498913812	0.895786312877	0.843987547962	0.989530337921	0.803750917251	0.8599725925	0.812710336538	0.996763484093	0.774548913711	0.756562644378	0.901263150727	0.892113794625	0.830841476468	0.974373519303	0.92173671027	0.834684525908	0.998298716949	0.893985653853	0.847023002869	0.993258426966
E-s-PM-3-Aug	0.662994707777	0.702827476873	0.997723947326	0.0	0.674579686418	0.711476653235	0.702160837603	0.996318805348	0.993790765125	0.69776543977	0.710556971241	0.997838459327	0.997873802672	0.998126915654	0.751599344238	0.824862316337	0.99828142974	0.7767115704	0.997753926027	0.706114569551	0.677179390821	0.999729247986	0.69277459363	0.684627035214	0.59582091804	0.565889228654	0.9981529084	0.943142144638	0.888288606143	0.788223844282	0.772600532871	0.999866583652	0.892596685083	0.999771892607	0.999726663933	0.999457712904	0.815813364299	0.999912524329	0.781834058202	0.776203916951	0.875782924881	0.784183296378	0.780942099762	0.837472546038	0.727480023761	0.796853598403	0.641041516183	0.774691233043	0.818926865123	0.963125907112	0.721412440977	0.809195948085	0.788670362214	0.790357371888	0.999602727935	0.739678501214	0.796559695937	0.887784308156	0.937849208646	0.840332521141	0.999614032078	0.999773555852	0.949028637857	0.99977218362	0.925236557943	0.999284960941	0.848327215157	0.999332487818	0.978622679192	0.9062952293	0.82041172735	0.954990337261	0.995076332332	0.983579536619	0.874827850038	0.998601330363	0.998718240857	0.916339455351	0.869997789078	0.998419158454	0.855677310516	0.916362429472	0.874056113613	0.998048363165	0.913915981762	0.795885050919	0.994679542379	0.99223269152	0.945180869143	0.930572746709	0.842194417161	0.880734676519	0.998342488605	0.996349598617	0.852345841356	0.991485991486	0.942775086227	0.951253789998	0.950559535793	0.81453747143	0.857103089914	0.905983069309	0.998962296783	0.861648699658	0.894073745659	0.995904866908	0.994406821484	0.894261434542	0.989271697652	0.917213620046	0.97816228006	0.998454381057	0.999249995924	0.957315287764	0.989685296285	0.882124606918	0.897178317962	0.876127658316	0.99900362018	0.851410337457	0.998547631751	0.99844297392	0.998743838145	0.869334508594	0.999191853887	0.998758612128	0.999221618695	0.999040989434	0.852808869636	0.907035246108	0.998493299146	0.975259456983	0.996990825688	0.859020827698	0.999204798866	0.99873730541	0.990700218818	0.872814205342	0.958773128027	0.988199504775	0.859975857907	0.998832162252	0.999160398811	0.870881627412	0.860753062492	0.998670169634	0.883756016955	0.999030176433	0.998787165356	0.989668099113
WV7B	0.17753364921	0.493406068104	0.992221046736	0.674579686418	0.0	0.579014072719	0.55015600624	0.988140523607	0.989418809713	0.733382968093	0.497553017945	0.993552051829	0.994781584042	0.995397639204	0.67575772909	0.606781395009	0.994077312929	0.703040879219	0.990640105915	0.503638017281	0.674863621386	0.992705599787	0.682594098733	0.595055193338	0.461291832031	0.667952974962	0.995687356535	0.896731321839	0.824592743822	0.534820733318	0.745588622597	0.993516037002	0.823680164018	0.997272851234	0.99773386512	0.997323698648	0.73102988992	0.991627945917	0.584705539204	0.724931079613	0.782905982906	0.621326263377	0.605706305961	0.750489927099	0.685261458368	0.626212928796	0.643219125262	0.70100174216	0.616843656006	0.933417198311	0.49429180095	0.650177663206	0.581101238731	0.578947368421	0.996165480806	0.69111969112	0.616627859197	0.864861476746	0.893870478666	0.68075256472	0.994354383418	0.992294942436	0.900231511816	0.997461123453	0.841400528665	0.993724892238	0.763418534833	0.993645959145	0.971691747081	0.874184069889	0.804264503405	0.933468789869	0.980864601853	0.976690525523	0.889985666766	0.98945748947	0.992765306544	0.865592178501	0.810827629123	0.992451626621	0.825655724653	0.930255579554	0.722411007743	0.989616960224	0.882524546622	0.710067938711	0.982266055471	0.981728634496	0.925175910938	0.917990090205	0.788610497181	0.8335393027	0.993220714177	0.988271404686	0.864988939369	0.983697895171	0.922050308495	0.933865367485	0.906207620631	0.670621949581	0.817065197086	0.87059325091	0.994163748541	0.814964113656	0.842385582461	0.989292230865	0.98164670893	0.842206318729	0.984401243267	0.865710169288	0.971098157554	0.991554093465	0.991998987214	0.912756080331	0.979627929884	0.835789827094	0.846010521701	0.831498470948	0.993590411673	0.847399103139	0.992111836627	0.990150637312	0.991336351497	0.805199644567	0.992955635492	0.987935971459	0.991626184278	0.992080950286	0.850265927351	0.871429720814	0.993051426873	0.955364383175	0.989774049354	0.847760162758	0.990835624427	0.989106818655	0.982897430066	0.853444352226	0.907293476729	0.981284681696	0.68184332817	0.992958461695	0.991169478094	0.831637570954	0.796709790768	0.991261550824	0.890478160648	0.991944619257	0.991586081977	0.978366042903
DU7C	0.504690515232	0.729158603607	0.987027780131	0.711476653235	0.579014072719	0.0	0.112550580041	0.971069328083	0.97280656747	0.680691522599	0.76954951834	0.988140594651	0.989208474262	0.98977913067	0.722184907151	0.834420080785	0.988164654369	0.860954648394	0.973048501948	0.170398596854	0.662948374391	0.99040879039	0.650506152059	0.796936914703	0.499899650785	0.801963385513	0.989163140574	0.962100805008	0.930677339525	0.787376902417	0.888428425507	0.989029730353	0.930511145449	0.993557668251	0.99400140592	0.993133447258	0.886185127004	0.987940461725	0.749146414943	0.824766895276	0.912248304797	0.807162458836	0.764986237129	0.89733936115	0.819363762102	0.814178800601	0.771170089063	0.878998028862	0.79308494224	0.97227802956	0.702030166104	0.838742092079	0.780955913668	0.798217179903	0.990033933539	0.852600875061	0.819014826787	0.945963996236	0.957346700289	0.862774103724	0.985288169111	0.988735725177	0.95845413608	0.993282089739	0.938980131636	0.976621873932	0.854263326116	0.97628596774	0.967716123169	0.906022015972	0.841102646896	0.946272411215	0.970365647764	0.969984482902	0.922815730793	0.973553921569	0.976884499994	0.908277592977	0.877382400649	0.97602262017	0.878710278198	0.957615250177	0.835407755642	0.973009418259	0.91550225297	0.778734775682	0.970121557343	0.969878478641	0.933927195028	0.962551916661	0.837678721615	0.87784850614	0.979882692813	0.972934750805	0.915182398324	0.974132484297	0.934077314903	0.94176980198	0.927728159327	0.743491462415	0.874868770274	0.925542487991	0.978930619891	0.878719670842	0.905933059465	0.973637309666	0.970384379802	0.922630177347	0.974250666667	0.918556605152	0.967031813985	0.977809743904	0.974633499497	0.932905977668	0.968852459016	0.875277036278	0.902838859357	0.884442215408	0.976298066749	0.898325842567	0.975727545696	0.973102291553	0.975059872822	0.879955230485	0.976043813961	0.972728455361	0.97497790683	0.977640460592	0.885529859757	0.906793066207	0.979263899765	0.960349290326	0.974374438771	0.888318288624	0.975115443817	0.973342157512	0.970554346435	0.920657738771	0.928883210902	0.973498700269	0.800289361484	0.976668065464	0.975052728284	0.883731194593	0.883340613738	0.974711097524	0.942524640779	0.974854538796	0.97760567078	0.988443651055
DU7A	0.474075145903	0.706823735469	0.987418349915	0.702160837603	0.55015600624	0.112550580041	0.0	0.972050826924	0.974180917833	0.673650710421	0.749795129946	0.988183837961	0.989166353736	0.98997514777	0.712133554796	0.817005574813	0.988404306304	0.847636205704	0.974037481724	0.131171758111	0.651973543845	0.990332137845	0.640612221054	0.778180500181	0.471759832141	0.78660996461	0.989510355653	0.958578235315	0.92401055409	0.766531318028	0.878536877356	0.989754660088	0.923984585479	0.993780029702	0.994240636671	0.993616984372	0.876137654087	0.988735348342	0.731202105638	0.810049898095	0.900646177059	0.789580279008	0.747613406731	0.886613551063	0.802814753823	0.796006325385	0.752788571748	0.867390819609	0.77577562817	0.967682460168	0.678460082396	0.822333437598	0.76092747306	0.778428802714	0.989677199557	0.837770765036	0.801452559049	0.939930702273	0.951508084844	0.847513457058	0.985640991471	0.988602602637	0.952242503484	0.992983191077	0.932156882921	0.977587723726	0.846716049383	0.977605019094	0.968066871231	0.902028088384	0.837334232412	0.944713769985	0.972173065579	0.970066661519	0.917159435543	0.974600376587	0.977993589437	0.903364857098	0.869187616871	0.977408108924	0.871200737439	0.953665821641	0.824364597391	0.973697636188	0.91191001269	0.771379363642	0.971974294895	0.970653444592	0.932383895757	0.957822476693	0.836359941181	0.872360108303	0.980895333588	0.973415485944	0.910941442899	0.974703386395	0.932498379006	0.940028589475	0.925758474158	0.729687108886	0.866586384483	0.919485143092	0.979948326219	0.87120314023	0.899152943964	0.974299612413	0.971902434505	0.914713755694	0.974997989268	0.912968636032	0.967150936368	0.978820667136	0.976100309117	0.932149058368	0.969613155952	0.870047677313	0.896723825457	0.879057940603	0.977531447822	0.890046847208	0.97675338807	0.974222359782	0.976523044725	0.869169007858	0.977493157601	0.973869475848	0.976108038017	0.978585448393	0.880028708495	0.902931135962	0.980978688046	0.959432048682	0.975374101567	0.88222497023	0.976390662942	0.97387880813	0.971238826322	0.914197148171	0.927062451812	0.974283641208	0.787185162357	0.9779846541	0.976192500638	0.877600507013	0.875681930898	0.975911961417	0.936703729442	0.975557346226	0.978636108432	0.987015259695
FR7A	0.988506848003	0.995814911067	0.851530629735	0.996318805348	0.988140523607	0.971069328083	0.972050826924	0.0	0.399697812425	0.998190233501	0.995877502945	0.850919716906	0.868282531522	0.883879080271	0.995914159873	0.989643107068	0.81902165341	0.994761655317	0.268261442833	0.96868113108	0.99789493073	0.912864825669	0.998067583717	0.992414564037	0.985280197809	0.995490089107	0.800026885334	0.996082751867	0.99874836434	0.986357666398	0.997190603052	0.895930232558	0.999313422588	0.931038775129	0.926720396776	0.904397937519	0.99795845455	0.892063492063	0.782434941313	0.861560529739	0.99394122993	0.94598919784	0.796711021022	0.998059244127	0.998033995495	0.958001199966	0.997761243168	0.995281709686	0.821074752327	0.976721391816	0.989765319426	0.985508519234	0.951333119178	0.992232026006	0.841478017905	0.9955205309	0.990287924366	0.994888036895	0.964900005831	0.981962310723	0.738973706531	0.887607541644	0.958723981367	0.911182782361	0.980750160415	0.421988710994	0.641565960885	0.42790495148	0.627310562034	0.620636515913	0.97582196938	0.548032534623	0.516596946814	0.530078274673	0.940469671101	0.367699836868	0.509000094242	0.451508986097	0.872111386857	0.396591984853	0.911900065746	0.996364958197	0.645421783235	0.498820077811	0.598839970999	0.665978546853	0.521256038647	0.347246864945	0.551164664518	0.997260273973	0.845288260081	0.536990225817	0.617996834728	0.455871583819	0.995624117207	0.49625388317	0.504118439914	0.619765664799	0.561833903077	0.634359186203	0.884467335321	0.900728857038	0.494209265176	0.887654676259	0.915098634294	0.454168766448	0.57369283216	0.958698428075	0.581031287474	0.668322255496	0.591640481663	0.506810734693	0.34882750812	0.525844163551	0.394139666968	0.57439033485	0.662064001047	0.661245796316	0.4203291623	0.975223710754	0.391446705622	0.515274453325	0.454317897372	0.833799606258	0.441668133028	0.427901396161	0.44798084597	0.495153942581	0.845180518156	0.614773194463	0.582042179996	0.507245084489	0.405417539659	0.970325766765	0.434546965919	0.38102295319	0.385424334841	0.992297163956	0.531321619557	0.556720975223	0.64994374214	0.48477017581	0.446833117899	0.910485770675	0.712664065271	0.372027146651	0.997563073394	0.426603729784	0.492277787595	0.968327491237
FR7C	0.989967542048	0.995030564229	0.800353142564	0.993790765125	0.989418809713	0.97280656747	0.974180917833	0.399697812425	0.0	0.995231887423	0.995583141549	0.802750093269	0.820174628391	0.836455723197	0.990549679209	0.991202660659	0.784592395816	0.995657837603	0.495966410341	0.970927842756	0.994817975962	0.949379591333	0.99502682341	0.993349145414	0.985861334595	0.994278331488	0.788251263102	0.996706744959	0.99826482379	0.988847206732	0.995999342358	0.937910375503	0.998319680739	0.956510840958	0.951843397229	0.940929053009	0.997855651487	0.934918944504	0.843621399177	0.900274953083	0.995232085262	0.964499069631	0.853303471445	0.997685511869	0.997814424796	0.972232856086	0.997317352833	0.990498305175	0.87928559663	0.98632393622	0.990328612263	0.988141166723	0.967069908964	0.992361392149	0.905768885161	0.990990765535	0.992024336	0.989599952727	0.979333333333	0.98737674721	0.835738772218	0.939016067994	0.976469153865	0.948329788565	0.988118331717	0.535553637148	0.734436737203	0.482594112623	0.552253905855	0.608174980206	0.979830665557	0.563944028637	0.534208077778	0.541603833012	0.955173590378	0.440884512953	0.466316710411	0.496887015243	0.908311289359	0.504701403059	0.927831607083	0.996652134724	0.732282777135	0.439716312057	0.616494771523	0.658345975268	0.530851644731	0.4203494766	0.46844174461	0.997004758569	0.874057056645	0.485952527597	0.520281285739	0.496159078179	0.995611671414	0.529609925436	0.45160568781	0.558314336763	0.570650513185	0.681024532346	0.908416921064	0.933231043358	0.581454125542	0.911737386114	0.941007841929	0.463145034615	0.537616964096	0.973184647303	0.520238519623	0.747727325299	0.53312891193	0.517280582083	0.432584497065	0.579544307885	0.403598123992	0.493646110671	0.724461873263	0.68413681659	0.466528626152	0.979455195818	0.384731697658	0.442368796721	0.607710867103	0.875719833936	0.459186737942	0.435159269625	0.53605799805	0.547944641239	0.874750462107	0.608223910382	0.523400116098	0.681488061027	0.557695469385	0.974426366964	0.517202334291	0.545157880222	0.39452537812	0.993652942919	0.537037389764	0.516986655773	0.743156706536	0.633142393674	0.548699361284	0.934197998434	0.802911208151	0.44164538893	0.99702877517	0.58613742655	0.572490032621	0.98120974077
TC7B	0.677253425355	0.750406436283	0.998556176756	0.69776543977	0.733382968093	0.680691522599	0.673650710421	0.998190233501	0.995231887423	0.0	0.78411679769	0.998757269179	0.998678604789	0.998918641648	0.511689310005	0.905608349855	0.998699280991	0.897075326936	0.999224739426	0.683667148462	0.163868084927	0.999903470245	0.159995861641	0.85389876881	0.700001693566	0.834026134595	0.999091980449	0.972273634549	0.945413806255	0.879461803625	0.909373131583	0.999904222587	0.946160730267	0.999902905551	0.999830214536	0.999613582573	0.910544692737	0.999857620844	0.840335963142	0.892880877222	0.937492018158	0.859157705701	0.850176445096	0.920565262435	0.867404289083	0.876869541941	0.811046421443	0.857160725453	0.87525678946	0.982625739555	0.785128908223	0.885341025152	0.856824982736	0.861066056391	0.999809214919	0.822285126663	0.867584852171	0.933447179925	0.971273868564	0.904020870998	0.99985914005	0.999951641762	0.974161323632	0.999830200121	0.961063855277	0.999703691162	0.887893870921	0.999715675423	0.987264872273	0.931288365646	0.851899876466	0.971845520303	0.997479178988	0.991717299373	0.953948854883	0.999540193119	0.999521931397	0.952887971292	0.902931569324	0.999408265913	0.899206531739	0.968600070583	0.900285580767	0.999170812604	0.939770140887	0.792253125621	0.997451417649	0.995942960434	0.964559474098	0.976490307694	0.864253809533	0.924252409951	0.999291485769	0.998049091235	0.915770154441	0.995623279313	0.964729189514	0.967522226651	0.968335045377	0.830647540906	0.900229613339	0.943907752569	0.999626459144	0.906229903935	0.926613225156	0.997824489196	0.996878951758	0.952334958108	0.993832002282	0.94555485599	0.987322631125	0.999283320743	0.999659618773	0.972348019074	0.994574632122	0.923576436068	0.932087233845	0.909449671762	0.999574782582	0.902869715124	0.999339815714	0.999273513514	0.999473083341	0.92758186398	0.999661438885	0.999436887737	0.999610863065	0.999515317972	0.901088182983	0.92977867386	0.999177005174	0.987268466357	0.998388050078	0.898733277035	0.999605817307	0.999574431867	0.9953240133	0.933827140285	0.970770739665	0.993298544356	0.874794137449	0.999488502424	0.999665709062	0.907346968007	0.905188771838	0.999441212569	0.952351137099	0.999609430093	0.999492718395	0.994167891814
