	WV7A	PM7C	TL7A	E-s-PM-3-Aug	WV7B	DU7C	DU7A	FR7A	FR7C	TC7B	PM7A	Tca7B	Tca7C	TL7B	TI7A	E-b-DU-1-Jul-a	TL7C	E-b-WV-3-Aug	FR7B	DU7B	TC7A	E-f-TL-3-Jul-a	TC7C	E-b-WV-2-Aug	E-b-DU-3-Jul-a	E-s-PM-2-Aug	Tca7A	E-b-WV-1-Aug	E-s-PM-2-Jul-a	E-b-DU-2-Jul-a	E-s-PM-1-Aug	E-f-TL-2-Jul-a	E-s-PM-3-Jul-a	E-f-TL-2-Aug	E-f-TL-3-Aug	E-f-TL-1-Aug	E-s-PM-1-Jul-a	E-f-TL-1-Jul-a	E-BP-2016-3	E-WC-2016-3	E-JP-2016-2	E-VP-2016-2	E-LH-2016-1	E-JP-2016-1	E-VP-2016-3	E-BP-2016-2	E-TB-2016-1	E-CB-2016-2	E-DU-2016-3	E-DU-2016-1	E-TB-2016-3	E-VP-2016-1	E-JP-2016-3	E-LH-2016-3	E-BL-2016-3	E-CB-2016-1	E-PM-2016-3	E-CB-2016-3	E-WC-2016-1	E-LH-2016-2	E-BL-2016-2	E-TL-2016-1	E-DU-2016-2	E-CR-2016-1	E-WC-2016-2	R.wp.5.26.r1	S.st.1.5.27.r1	R.mt.5.26.r1	R.jt.4.28.r1	S.st.4.4.24.r1	S.st.7.4.24.r1	S.st.3.4.24.r3	R.ls.4.28.r3	R.jt.4.28.r2	S.st.5.5.27.r2	R.ds.6.23.r.2	R.wp.5.26.r3	S.st.2.6.19.r2	S.st.5.4.24.r3	R.mt.6.23.r.3	S.st.1.4.24.r1	S.st.6.6.19.r2	S.st.4.5.27.r3	R.ls.6.23.r.2	S.st.4.4.24.r2	S.st.1.5.27.r2	R.ls.4.28.r1	R.Jt.6.23.r.3	S.st.1.6.19.r2	S.st.6.6.19.r1	S.st.5.4.24.r2	S.st.2.6.19.r3	R.mt.6.23.r.2	S.st.3.5.27.r2	S.st.6.5.27.r1	R.wp.4.28.r3	S.st.1.6.19.r3	S.st.3.4.24.r1	S.st.2.5.27.r2	S.st.4.5.27.r1	S.st.1.4.24.r2	S.st.6.4.24.r1	R.mt.4.28.r2	S.st.1.4.24.r3	S.st.6.4.24.r3	S.st.3.5.27.r1	R.ls.4.28.r2	S.st.5.6.19.r3	R.wp.4.28.r2	S.st.2.4.24.r3	R.jt.4.28.r3	R.ds.4.28.r3	R.wp.6.23.r.3	S.st.2.5.27.r3	R.Jt.6.23.r.1	S.st.2.6.19.r1	S.st.2.4.24.r1	S.st.2.4.24.r2	R.mt.5.26.r3	S.st.7.4.24.r2	R.wp.6.23.r.1	R.ls.6.23.r.1	R.J.5.26.r3	S.st.3.6.19.r1	R.mt.5.26.r2	R.ls.6.23.r.3	R.ls.5.26.r1	R.ds.4.28.r2	S.st.5.4.24.r1	S.st.4.4.24.r3	R.ds.4.28.r1	S.st.1.6.19.r1	S.st.3.5.27.r3	S.st.7.4.24.r3	R.ls.5.26.r3	R.ds.6.23.r.3	R.Jt.6.23.r.2	S.st.6.5.27.r2	S.st.2.5.27.r1	R.wp.4.28.r1	S.st.4.5.27.r2	R.J.5.26.r1	R.ls.5.26.r2	S.st.6.4.24.r2	S.st.1.5.27.r3	R.wp.6.23.r.2	S.st.6.6.19.r3	R.mt.6.23.r.1	R.J.5.26.r2	R.wp.5.26.r2
WV7A	0.0	0.609280364079	0.87575297026	0.591321760937	0.430861625801	0.57467124757	0.568963672974	0.860077230413	0.887118753281	0.643293860271	0.581131019312	0.876044926661	0.87710933118	0.888961036124	0.683783538902	0.568796737594	0.885664627011	0.579321924176	0.87154206267	0.559769646575	0.631801731098	0.899250026447	0.630642375218	0.549916985384	0.605381824	0.568188428925	0.867571747262	0.673519621262	0.698996519567	0.543643347674	0.59955649555	0.886659619971	0.735239036745	0.890280714675	0.882266561758	0.882849933809	0.650894573414	0.884553416714	0.688001743381	0.708482880601	0.743059424305	0.611027509123	0.682807845164	0.643488383836	0.610652674433	0.596724449679	0.5944174105	0.696938750065	0.66778816078	0.752113542609	0.596229534164	0.61197276358	0.599606627968	0.603123897681	0.878493343145	0.699002358103	0.62196095994	0.736156508797	0.734117705725	0.610864449905	0.879608857492	0.883477371877	0.759059365178	0.896408109622	0.664412565057	0.892845956387	0.729316747805	0.894435959524	0.833845904909	0.770716583002	0.687027882852	0.779605289039	0.849884024724	0.825917647883	0.714618648447	0.873202386361	0.902890401828	0.747617697226	0.692374292211	0.876243116047	0.699091398434	0.668885560624	0.743123757351	0.868023910581	0.774204150435	0.74976718659	0.849290539086	0.828905286432	0.795827074461	0.670123092034	0.713729784806	0.767212648943	0.898999919191	0.848408522289	0.625667586164	0.812038295159	0.780800703834	0.812295641858	0.79100772072	0.734837497486	0.715627284841	0.696723600542	0.879823716242	0.71063125606	0.696099162091	0.83958356523	0.860565757137	0.678127861957	0.828010529589	0.732368281666	0.828610748327	0.859498768742	0.887115166118	0.776060374744	0.819191416106	0.772274508945	0.73416251183	0.764069201293	0.891534087741	0.688210323194	0.885166551531	0.881305931572	0.866544119184	0.74298841346	0.90095564112	0.867246340247	0.8801491059	0.876572079603	0.718929274756	0.770101144733	0.874671119566	0.772329985868	0.835798042469	0.70766245389	0.875018150806	0.873326583036	0.845449445531	0.633559723998	0.801886172431	0.819587118256	0.731128899349	0.870489000901	0.878479771962	0.685952848638	0.730445608589	0.883142106203	0.648863218184	0.872994123726	0.887343719613	0.85279266984
PM7C	0.609280364079	0.0	0.898489555874	0.674252817221	0.64328146732	0.703598826166	0.700590970004	0.898557036021	0.917586743635	0.679238066425	0.493194627814	0.898939656698	0.892732594597	0.909695592652	0.730840834627	0.655359112484	0.909264501282	0.627263872597	0.902587966311	0.701119568125	0.656041721688	0.903346111331	0.654551065314	0.660919007567	0.724119777601	0.632609755708	0.88299038254	0.657391687406	0.652154457185	0.657376972963	0.627745544092	0.89412812313	0.711566460682	0.882027250104	0.88972948659	0.891153009458	0.628617017781	0.882211567148	0.761564367477	0.7569507765	0.717132610079	0.663005461668	0.75895542892	0.643959216459	0.673729222294	0.62586703018	0.652401903861	0.649459106031	0.739004887527	0.75057650375	0.633403181804	0.644657373227	0.649489461347	0.614293182702	0.889039905287	0.635123437809	0.631893994955	0.65282177513	0.725186755129	0.638024957685	0.898016661497	0.90378445555	0.760939298899	0.912146080701	0.663717520472	0.920052558167	0.780476608098	0.924195038761	0.882305558888	0.838827933977	0.7561175947	0.831713835636	0.887712840991	0.878537484007	0.758478939704	0.909798566675	0.933140034982	0.813942099046	0.770211600987	0.898291820301	0.782129780547	0.716669864121	0.802950113431	0.899253921718	0.836398370818	0.797511199932	0.891424585037	0.875994324208	0.847745663749	0.693567935386	0.788780849087	0.829063664623	0.928676427259	0.882805741518	0.696207208428	0.859821820388	0.835675834191	0.86744733512	0.836089408269	0.802856033609	0.789015420128	0.741378597116	0.911865492904	0.78867064188	0.743322710972	0.86979771909	0.904580783426	0.707433746729	0.876498253231	0.801767844981	0.883271471995	0.897513718395	0.919205260303	0.824108156643	0.867814175316	0.832277875154	0.799966437592	0.835841737273	0.918234852355	0.747184058022	0.913741461253	0.916872662404	0.900801084678	0.787865734825	0.93098964483	0.89903886628	0.909230854332	0.91065191224	0.781307959219	0.838229011269	0.904137299926	0.794903470506	0.870998726186	0.772006589113	0.910220563682	0.9094125159	0.883222083981	0.699199095815	0.836499590904	0.870854138696	0.795677845804	0.901122767879	0.912286417588	0.743821540587	0.768671513738	0.908739491456	0.680236497324	0.900444445743	0.918672840432	0.844302871628
TL7A	0.87575297026	0.898489555874	0.0	0.890711495405	0.87200562352	0.831296520226	0.826864679569	0.707164067231	0.689751207006	0.89566410667	0.90074056934	0.51533673674	0.57871031197	0.59192817252	0.880748184684	0.877353837401	0.519840615524	0.906264715529	0.698524157744	0.824864203543	0.890415610212	0.871172157327	0.892496803905	0.88355186885	0.86060869194	0.902749053946	0.619244593866	0.924354751977	0.931597932711	0.883794613243	0.914361766334	0.830279926403	0.938375059257	0.812607880621	0.801308388206	0.796574265609	0.92861969461	0.827157383336	0.795641329841	0.819676964042	0.909375568328	0.859707755608	0.801167567666	0.920758202794	0.916236656328	0.851421069957	0.905395851455	0.916722363757	0.806096500299	0.884554540738	0.869260174684	0.869392905159	0.845344843097	0.880672907717	0.873450913396	0.912983625839	0.889172264374	0.92705939964	0.879140872858	0.872766280978	0.850464200458	0.850405656997	0.854460274067	0.87111137489	0.890887550327	0.718974579609	0.767685483643	0.718642249171	0.752941011895	0.769633050387	0.864745921012	0.752718918699	0.727944379585	0.748904499677	0.83061356255	0.735994757073	0.724989186756	0.754946349146	0.812240532496	0.729661296778	0.82247876676	0.89878817598	0.769795237744	0.699299353222	0.758001692333	0.754362881071	0.728543396673	0.724706879029	0.734525973115	0.910179120982	0.803021837122	0.744564932819	0.717018657118	0.738163916644	0.887607431922	0.749009360885	0.731321092602	0.750055654057	0.73688458979	0.772467035422	0.804286977608	0.816590704643	0.736733556011	0.821575272053	0.823805716377	0.735161851262	0.725120255362	0.841814478302	0.736775897755	0.775546373288	0.74828592708	0.732518491781	0.715943695236	0.749621975736	0.721425969427	0.737629813753	0.771028299547	0.775775880468	0.718824656375	0.851894275268	0.702208384073	0.691972379824	0.729943488886	0.790762923553	0.718575454591	0.708717853085	0.733908408252	0.735739742382	0.793292957044	0.764895374066	0.727242148727	0.768066253608	0.738078507613	0.847010935084	0.712913974808	0.751317973796	0.726689031659	0.887988313695	0.746956221276	0.73559610702	0.783803461417	0.745121004156	0.72871454291	0.826074062257	0.790117268648	0.725582819142	0.902845577294	0.729816701971	0.730770036348	0.910241448974
E-s-PM-3-Aug	0.591321760937	0.674252817221	0.890711495405	0.0	0.599231189613	0.62084239192	0.634842031336	0.883998054516	0.897271466805	0.607838869932	0.660154637969	0.894297666714	0.892109586581	0.9050485421	0.673965204941	0.627933093345	0.901519060935	0.625244256651	0.892373490665	0.625746762905	0.601964330007	0.930150236838	0.612068326365	0.572549679664	0.620387504738	0.497361668849	0.888389283924	0.724334958173	0.722881085603	0.612927218615	0.556149474374	0.921288478601	0.758103686402	0.915354910702	0.912803584213	0.911300884742	0.70344683466	0.917562052191	0.712790517822	0.73760873492	0.778388608069	0.687014529547	0.715445015569	0.671146662595	0.661810150395	0.687150845486	0.606208623759	0.730928449592	0.728084521964	0.805368961059	0.658453228299	0.67363299342	0.670810995881	0.682230300846	0.92666755742	0.726421647747	0.691806083581	0.75656938286	0.805333004822	0.68541925088	0.925059120553	0.921095099595	0.810570919655	0.92915085386	0.764000485551	0.912218274376	0.770013931482	0.910391905631	0.84744993206	0.7846600972	0.688205674514	0.795577922955	0.873049430911	0.844505572199	0.734008789648	0.902434703512	0.915371796786	0.778695018854	0.728675372287	0.893458973398	0.717710617576	0.702802045623	0.774339651741	0.88755479167	0.786212527792	0.772887674246	0.872161005997	0.862440651059	0.810952473925	0.702629911164	0.729517289664	0.784413025032	0.912340485179	0.866220521563	0.67312902799	0.842770694669	0.800887012106	0.816892684321	0.81905124994	0.770931270952	0.720454750118	0.737728015276	0.903416022756	0.727492839315	0.728168727126	0.857762099898	0.880532795123	0.728197774627	0.849627859926	0.769039246787	0.840471040648	0.883752068716	0.907770717728	0.823703406572	0.845650772634	0.787738158674	0.763396905451	0.776899229305	0.909855086657	0.68991992122	0.901272833977	0.900437994318	0.887816149554	0.756600038955	0.913056436061	0.888511517977	0.901796228825	0.898904196312	0.740823045934	0.791956805675	0.892574294688	0.810256860268	0.86472057332	0.701251960176	0.896852093041	0.905614142711	0.863935777842	0.673653260553	0.832590277657	0.848002013883	0.772703819439	0.891929146583	0.898980958444	0.729514605463	0.774420274925	0.902888471415	0.678382697678	0.898434452773	0.904453498185	0.899157162589
WV7B	0.430861625801	0.64328146732	0.87200562352	0.599231189613	0.0	0.585556041066	0.580342379203	0.853702878022	0.87756814245	0.667895754629	0.607035424655	0.871263896931	0.871030594784	0.885659800039	0.696022413583	0.55201785303	0.881680555182	0.599818050406	0.863182342299	0.570296023668	0.65377474923	0.889355954931	0.636842092109	0.561707300933	0.606114962055	0.576409753392	0.859256894434	0.680436595885	0.707465833216	0.537590992597	0.609955921767	0.88407727136	0.731648512411	0.887314754813	0.876773214205	0.870669107185	0.670693388724	0.877453015146	0.672914519636	0.713503500277	0.742094233969	0.609716370341	0.668277115254	0.64343999546	0.610560318277	0.606952351378	0.601400449058	0.709879093416	0.650710929505	0.758396843794	0.594098127116	0.598417027408	0.619456141403	0.610308774129	0.879724353392	0.713171030089	0.630828223527	0.753103401414	0.744059916509	0.615532733757	0.874687485255	0.879300371855	0.76764059129	0.887161991724	0.682945324401	0.888289365485	0.723706422884	0.889907455903	0.825557174968	0.773252035563	0.682094097082	0.76820528345	0.847230751403	0.822192872224	0.717628988031	0.865238886241	0.896883816181	0.744662962477	0.693021347013	0.872649008229	0.705914431277	0.692361312847	0.734773145953	0.862340094141	0.766393788436	0.741348292542	0.841655921249	0.823639342941	0.796446137358	0.682395560705	0.712578910372	0.758383475526	0.897904671235	0.844344481766	0.65147939288	0.80469130086	0.776542090749	0.805377703765	0.777202128454	0.72947884658	0.718845256975	0.6998613439	0.877230235151	0.707214236186	0.698372395767	0.831773186868	0.855156552263	0.685489040918	0.817890783963	0.733873754694	0.820171524943	0.853633591875	0.881486845468	0.777272477572	0.816463654794	0.764340649424	0.733081306202	0.762606163971	0.889281976042	0.700174848698	0.877691236596	0.877195204055	0.857142066475	0.744226917624	0.89699529687	0.860009603747	0.872223581818	0.868274014923	0.729131317113	0.769542421565	0.868076295726	0.759683607167	0.828093380811	0.713391749999	0.868783832877	0.867473612245	0.835444026622	0.653039402221	0.79501513008	0.809778761341	0.73164471912	0.860693963646	0.874548128422	0.689464306648	0.728843876738	0.874762080892	0.651210606678	0.863462933756	0.87980782974	0.866505544818
DU7C	0.57467124757	0.703598826166	0.831296520226	0.62084239192	0.585556041066	0.0	0.471855100952	0.801143920323	0.827716417171	0.677922710502	0.71606871053	0.83574774975	0.835513765901	0.849590287197	0.69142892757	0.641379129882	0.847819980697	0.691908119494	0.811615454883	0.49040367771	0.672153984626	0.902999277021	0.65964081415	0.644418627607	0.561649416432	0.674346549974	0.832813773898	0.793143295943	0.79366188667	0.619433297714	0.709598220751	0.891156892895	0.815178842174	0.89070129273	0.873312387836	0.876985968658	0.77181239954	0.8867259941	0.640222803312	0.709915644412	0.791140926163	0.668036741406	0.637777358575	0.747471128186	0.716800936825	0.652256213974	0.680372594019	0.788153217818	0.62644435639	0.796611618383	0.635857300342	0.657049770672	0.624076461043	0.66299455619	0.88497179814	0.781614588095	0.700065925043	0.809980228077	0.778810326526	0.673782799365	0.87845005173	0.886393941944	0.774222206459	0.90016081079	0.75506812873	0.831702310621	0.690103073064	0.835552644872	0.786336253026	0.72712893832	0.669738924871	0.715588691394	0.797773804538	0.777612124085	0.727078288088	0.819629825846	0.846224022229	0.703707897233	0.693770175015	0.827741599845	0.675758287165	0.740109170217	0.70936788342	0.807783415002	0.722835536533	0.700608479974	0.791141771341	0.78127691746	0.740552610902	0.753174639802	0.683798396666	0.708037563453	0.849037921767	0.785822883188	0.713103793466	0.767646575043	0.735723848244	0.750467081504	0.737197804292	0.701053301264	0.678005037756	0.708972636406	0.823592762303	0.676612271798	0.704519664915	0.779368006095	0.812270979137	0.718871759118	0.780477699816	0.70351781728	0.77821942375	0.807738843991	0.820505147419	0.730555519536	0.770132928944	0.714247157213	0.694268535597	0.715284155843	0.835876771615	0.680735497462	0.825742557861	0.813806130949	0.813201357885	0.710548167229	0.839546485698	0.806558256618	0.818925174733	0.820402840474	0.685795689658	0.72306932578	0.816545429618	0.733515041938	0.783164358714	0.680387594682	0.808586462949	0.819152587614	0.795003709816	0.708176570213	0.750909324134	0.775408603442	0.70153774451	0.816334991673	0.813005296599	0.696310710841	0.722469819916	0.815612280858	0.73789938892	0.818951366223	0.838769801878	0.893266139976
DU7A	0.568963672974	0.700590970004	0.826864679569	0.634842031336	0.580342379203	0.471855100952	0.0	0.797926602425	0.823319627131	0.668300310754	0.709119047175	0.830479217566	0.830427474367	0.841655390657	0.683868117121	0.637541674354	0.843234449108	0.712047880768	0.813626713495	0.465526122792	0.669372045199	0.906302558378	0.658284784161	0.662722068084	0.559957887822	0.679491574538	0.828292880345	0.796465835858	0.800003055768	0.619144882543	0.717963499622	0.887364187434	0.824188943768	0.886525783774	0.866464971761	0.873491724161	0.780184730332	0.880541856539	0.645843427324	0.705088346275	0.793348981063	0.679950928762	0.636617787087	0.758237683232	0.722299669847	0.647666935525	0.700736652073	0.788139783325	0.62595377953	0.791082808328	0.627303797077	0.663714144373	0.623553757131	0.667040335461	0.886037151742	0.781903776708	0.710120312391	0.819203687183	0.791339042184	0.658035743538	0.877876116426	0.894046997742	0.772466685972	0.902026331368	0.764097197956	0.835744102076	0.704069650974	0.835633689414	0.783312593256	0.727718456166	0.676688312539	0.726493235358	0.794660043929	0.778864223916	0.732844051434	0.828185914888	0.849421386682	0.703524180765	0.695257974058	0.822407844618	0.668052776961	0.754926004585	0.707837782831	0.808120067448	0.72510512621	0.695791626355	0.793285780296	0.77883180925	0.733311724251	0.766482073463	0.682089145408	0.705443206426	0.847184065583	0.791342601386	0.7287814448	0.769244254957	0.7343412527	0.75295518186	0.735962113456	0.707664047639	0.671910377174	0.699490553133	0.829402622784	0.684612478906	0.706634356262	0.784672425857	0.804968042261	0.727976854603	0.776548451543	0.700373416561	0.779822872195	0.80916999394	0.828954644229	0.751107094512	0.768308644944	0.714345184117	0.702280348603	0.715066807155	0.836752704191	0.690819968433	0.826521804301	0.814074949722	0.817550644552	0.708452235872	0.850138580613	0.809155338058	0.82216035668	0.821157512795	0.696059205521	0.725493486044	0.817883411653	0.731523545257	0.7828039868	0.682812574311	0.816286819915	0.821150829709	0.796216472866	0.719853024954	0.753370875419	0.783053504779	0.702074760864	0.824271944612	0.824769800149	0.695949388764	0.717221212896	0.827107407119	0.74279926808	0.819670871302	0.835173793431	0.889353952522
FR7A	0.860077230413	0.898557036021	0.707164067231	0.883998054516	0.853702878022	0.801143920323	0.797926602425	0.0	0.593842653554	0.889871512072	0.896284231984	0.698180268772	0.698365532978	0.708459641038	0.87370926915	0.864066645708	0.713374687298	0.890425477098	0.531364798794	0.799055523081	0.884545011153	0.863175058767	0.884338379292	0.87421513137	0.846471069732	0.894092198959	0.715409143319	0.909164907472	0.912942871258	0.862215939006	0.900438554761	0.836870442804	0.928878035448	0.832926757633	0.823857874324	0.811476948667	0.92033693587	0.829387094589	0.732356808744	0.760079181845	0.896328554771	0.808512745714	0.735557273888	0.903277332724	0.8978070442	0.822959977225	0.896724804041	0.906013706887	0.738090201855	0.843166476927	0.852071410617	0.845721852325	0.804636413969	0.864536610303	0.832703776809	0.903381681608	0.862910685104	0.913836816746	0.83876523838	0.851604838141	0.812778311065	0.839546323635	0.819666418691	0.844418744825	0.858199917257	0.61446744431	0.660140754443	0.626070244495	0.665191411088	0.677986967093	0.842722778524	0.665712361051	0.62141409503	0.645310049609	0.78154094288	0.607329680911	0.643323144767	0.641962463732	0.749176406611	0.621737483119	0.773102437382	0.876955709046	0.672168002151	0.583729135006	0.669943715167	0.668864303152	0.636030562609	0.592448563998	0.640684040905	0.886616839027	0.727817180089	0.651715927057	0.644891163222	0.62855757776	0.861334288592	0.62739300723	0.628958006388	0.67909648282	0.633686951652	0.658739625813	0.750531237296	0.765674053123	0.616002071166	0.7684563891	0.770235205117	0.615664449171	0.64152954062	0.797298354376	0.611246603569	0.67632841463	0.656427001135	0.608016121132	0.595103742913	0.637455898172	0.593281013283	0.64411111037	0.684110964107	0.690533418065	0.619574965423	0.831378677014	0.603162986428	0.604539680629	0.622717225436	0.714128104666	0.615908642932	0.602063124352	0.616835422309	0.602753493613	0.717440140885	0.669491056358	0.624726355289	0.64044496007	0.607834166003	0.820182781239	0.598585888935	0.618524023792	0.608463226127	0.854655533564	0.63260110215	0.642120770595	0.674893269971	0.630445586769	0.603024269494	0.769884700522	0.696088810373	0.607675196755	0.886164913521	0.598171110932	0.627865588201	0.891783196924
FR7C	0.887118753281	0.917586743635	0.689751207006	0.897271466805	0.87756814245	0.827716417171	0.823319627131	0.593842653554	0.0	0.896539756917	0.917810027173	0.68800048303	0.700198865742	0.705873159458	0.876754563457	0.884647667962	0.688513356775	0.917792817767	0.594158368699	0.818752352422	0.901060834256	0.908755123296	0.900922071083	0.89573366314	0.85516922215	0.911372536346	0.743279196689	0.933182019567	0.936784943053	0.881994533424	0.922343136736	0.890847420964	0.949198785506	0.882685758793	0.876689403385	0.861759161241	0.94051444558	0.888420322152	0.76282232806	0.795375677503	0.919278735615	0.855847792511	0.768559225782	0.926684509654	0.91550082045	0.86335110638	0.906759912716	0.929158272336	0.777348072408	0.889293703838	0.874130682789	0.869578282396	0.839534793755	0.8880424931	0.89812420749	0.925372277652	0.896119321511	0.935483490271	0.886215565216	0.878281369703	0.8820168786	0.894403276866	0.86941770974	0.900847404178	0.898817575675	0.617942505264	0.717508597938	0.627450808971	0.643684376266	0.672983953124	0.855389081081	0.671192337429	0.632134964466	0.646748057482	0.825219222926	0.658835501812	0.597313268518	0.659211098209	0.790210867741	0.64688408722	0.791355168533	0.903052118076	0.707760643037	0.610240546846	0.678180397875	0.686773767077	0.663663158817	0.63547511864	0.622775028934	0.909668708726	0.757952412268	0.650716274176	0.602036277051	0.646373209733	0.891450374688	0.680304249525	0.640701484087	0.637631348237	0.661423727561	0.700009168447	0.765228950895	0.807462516772	0.664659250886	0.779614111805	0.818722211007	0.642913364926	0.630064976338	0.85124120346	0.633795015249	0.720923070006	0.638695220763	0.646483342722	0.59791635496	0.675999825347	0.620763221345	0.626955953598	0.72090177019	0.688932143624	0.613806578003	0.846667855445	0.580236638403	0.587320432338	0.652053148601	0.746373215091	0.604256545933	0.646273720954	0.650516233151	0.667854089523	0.756514743426	0.673904539031	0.635204314681	0.717917523753	0.669445005626	0.829495141183	0.647989825269	0.684236807104	0.605544741328	0.893475156196	0.664228421326	0.644862666478	0.737482857078	0.673300917892	0.654883665082	0.806272471219	0.763558405164	0.636801675486	0.910365456778	0.661024885186	0.626156625755	0.928355478508
TC7B	0.643293860271	0.679238066425	0.89566410667	0.607838869932	0.667895754629	0.677922710502	0.668300310754	0.889871512072	0.896539756917	0.0	0.675596037297	0.899238177762	0.896771181585	0.910547130625	0.609456317279	0.674746059922	0.908085570521	0.679726592176	0.896464991196	0.665987243982	0.484616257416	0.931217151485	0.489167100143	0.660194474032	0.672633195061	0.631903175047	0.894698935258	0.752992485335	0.739288873715	0.663902070016	0.661447235454	0.922907993067	0.771666513929	0.912137206171	0.913290552617	0.913910212294	0.71605478027	0.917337820056	0.745336877476	0.759453913528	0.789047773891	0.714693334088	0.742817484004	0.708985942488	0.707836611003	0.699089454694	0.684473539688	0.697167132865	0.744213805561	0.810786442774	0.664687909282	0.700667162035	0.694759361043	0.665463345533	0.917063442414	0.698632739573	0.706792839416	0.737309177483	0.807741231741	0.689499673861	0.921597473436	0.922030094964	0.810929876988	0.925520912877	0.774017751176	0.909830809346	0.794935120799	0.911142727681	0.871482898753	0.81653524992	0.735600644459	0.824643950522	0.883790951646	0.868917842998	0.780477625133	0.9087671458	0.915757763776	0.808024970409	0.77060474306	0.901798767194	0.751068863598	0.741800358315	0.804365997506	0.891860137243	0.813168883894	0.787445526051	0.882304127873	0.871639140434	0.832954786242	0.74021445999	0.767594558508	0.807652377794	0.918441491106	0.874749463921	0.714240027471	0.860504293101	0.819922619473	0.842431001325	0.838899630615	0.795037306566	0.759186851772	0.771930699316	0.911824623529	0.767974578158	0.76894834788	0.868229351022	0.890211928346	0.757215486685	0.867926442856	0.797419982843	0.865464673526	0.893854310265	0.908093202547	0.837476254792	0.862520769501	0.81420917326	0.791163512602	0.807185058293	0.913154925536	0.740828109507	0.909508853609	0.906033846986	0.896839534396	0.789645815332	0.922462503212	0.897524856754	0.903396277483	0.903866500892	0.779315273407	0.818217051765	0.901409829056	0.813417291628	0.860979972548	0.758099838824	0.902354091981	0.907083393596	0.886557367681	0.724115607559	0.845140128795	0.870100945931	0.788485534271	0.901225664688	0.906515278103	0.761108079979	0.794950126524	0.90968751621	0.722649001046	0.900381231524	0.910283041649	0.897675403812
