	WV7A	PM7C	TL7A	E-s-PM-3-Aug	WV7B	DU7C	DU7A	FR7A	FR7C	TC7B	PM7A	Tca7B	Tca7C	TL7B	TI7A	E-b-DU-1-Jul-a	TL7C	E-b-WV-3-Aug	FR7B	DU7B	TC7A	E-f-TL-3-Jul-a	TC7C	E-b-WV-2-Aug	E-b-DU-3-Jul-a	E-s-PM-2-Aug	Tca7A	E-b-WV-1-Aug	E-s-PM-2-Jul-a	E-b-DU-2-Jul-a	E-s-PM-1-Aug	E-f-TL-2-Jul-a	E-s-PM-3-Jul-a	E-f-TL-2-Aug	E-f-TL-3-Aug	E-f-TL-1-Aug	E-s-PM-1-Jul-a	E-f-TL-1-Jul-a	E-BP-2016-3	E-WC-2016-3	E-JP-2016-2	E-VP-2016-2	E-LH-2016-1	E-JP-2016-1	E-VP-2016-3	E-BP-2016-2	E-TB-2016-1	E-CB-2016-2	E-DU-2016-3	E-DU-2016-1	E-TB-2016-3	E-VP-2016-1	E-JP-2016-3	E-LH-2016-3	E-BL-2016-3	E-CB-2016-1	E-PM-2016-3	E-CB-2016-3	E-WC-2016-1	E-LH-2016-2	E-BL-2016-2	E-TL-2016-1	E-DU-2016-2	E-CR-2016-1	E-WC-2016-2	R.wp.5.26.r1	S.st.1.5.27.r1	R.mt.5.26.r1	R.jt.4.28.r1	S.st.4.4.24.r1	S.st.7.4.24.r1	S.st.3.4.24.r3	R.ls.4.28.r3	R.jt.4.28.r2	S.st.5.5.27.r2	R.ds.6.23.r.2	R.wp.5.26.r3	S.st.2.6.19.r2	S.st.5.4.24.r3	R.mt.6.23.r.3	S.st.1.4.24.r1	S.st.6.6.19.r2	S.st.4.5.27.r3	R.ls.6.23.r.2	S.st.4.4.24.r2	S.st.1.5.27.r2	R.ls.4.28.r1	R.Jt.6.23.r.3	S.st.1.6.19.r2	S.st.6.6.19.r1	S.st.5.4.24.r2	S.st.2.6.19.r3	R.mt.6.23.r.2	S.st.3.5.27.r2	S.st.6.5.27.r1	R.wp.4.28.r3	S.st.1.6.19.r3	S.st.3.4.24.r1	S.st.2.5.27.r2	S.st.4.5.27.r1	S.st.1.4.24.r2	S.st.6.4.24.r1	R.mt.4.28.r2	S.st.1.4.24.r3	S.st.6.4.24.r3	S.st.3.5.27.r1	R.ls.4.28.r2	S.st.5.6.19.r3	R.wp.4.28.r2	S.st.2.4.24.r3	R.jt.4.28.r3	R.ds.4.28.r3	R.wp.6.23.r.3	S.st.2.5.27.r3	R.Jt.6.23.r.1	S.st.2.6.19.r1	S.st.2.4.24.r1	S.st.2.4.24.r2	R.mt.5.26.r3	S.st.7.4.24.r2	R.wp.6.23.r.1	R.ls.6.23.r.1	R.J.5.26.r3	S.st.3.6.19.r1	R.mt.5.26.r2	R.ls.6.23.r.3	R.ls.5.26.r1	R.ds.4.28.r2	S.st.5.4.24.r1	S.st.4.4.24.r3	R.ds.4.28.r1	S.st.1.6.19.r1	S.st.3.5.27.r3	S.st.7.4.24.r3	R.ls.5.26.r3	R.ds.6.23.r.3	R.Jt.6.23.r.2	S.st.6.5.27.r2	S.st.2.5.27.r1	R.wp.4.28.r1	S.st.4.5.27.r2	R.J.5.26.r1	R.ls.5.26.r2	S.st.6.4.24.r2	S.st.1.5.27.r3	R.wp.6.23.r.2	S.st.6.6.19.r3	R.mt.6.23.r.1	R.J.5.26.r2	R.wp.5.26.r2
WV7A	0.0	0.217099859401	0.434319147209	0.235965837834	0.0299830794518	0.152574551723	0.14199047566	0.43229698922	0.423207745308	0.210830556005	0.199344199186	0.440080301465	0.440975217742	0.446624692992	0.206603792674	0.132943530197	0.43134378384	0.279139165362	0.441032076458	0.145052086425	0.199765419055	0.442683071449	0.180397279914	0.241476698864	0.15187050741	0.260937366243	0.44500639879	0.268808333951	0.277407598538	0.132464592775	0.260479352141	0.44698129076	0.265756663419	0.437540668354	0.43013119095	0.414658949123	0.272874642972	0.467842150516	0.204210265442	0.28395967988	0.344904173487	0.206643570256	0.217798122582	0.264424842345	0.253652734476	0.226525882965	0.237811292436	0.267055193091	0.195918642074	0.278021393537	0.178813896306	0.227271636624	0.185932931775	0.188717264867	0.567355554895	0.310826908013	0.24942097574	0.283449574731	0.274039507214	0.201496198168	0.506421610493	0.485975501403	0.28576181199	0.54003292653	0.198865993326	0.438767417691	0.292503190576	0.432959414678	0.42387849734	0.343858158744	0.273810773625	0.393218954849	0.421883814318	0.418252621796	0.462778324091	0.427780984617	0.441442254476	0.377223110775	0.245690641239	0.467823678812	0.269219009948	0.576020629653	0.289944853117	0.434420632969	0.344840076598	0.290571834494	0.423647814655	0.44507283408	0.40887533491	0.542574336841	0.254891255168	0.373918960458	0.466752904485	0.429781191174	0.348106058765	0.435992126736	0.41048027151	0.393378123399	0.407523922805	0.275170960988	0.256916922223	0.259635916738	0.438092928367	0.248193152188	0.24133279397	0.430609356443	0.419220890076	0.347866551652	0.434563204619	0.304800580329	0.422801247123	0.431024953849	0.441166201478	0.398534242488	0.450152999064	0.374797679917	0.29311284445	0.29870135925	0.437999615007	0.301869009822	0.44738999181	0.431589055167	0.436222747779	0.238463337302	0.432644323345	0.441171200391	0.43910873009	0.434197816223	0.253317077849	0.342137091538	0.433961321365	0.410770768379	0.431636929971	0.303908262899	0.437482998099	0.429431982318	0.441815446505	0.347235842967	0.406042155511	0.434665425985	0.278733629395	0.44061873197	0.444270464961	0.24020118616	0.318845224922	0.445925024066	0.438781756279	0.453582417253	0.412174688669	0.346201375575
PM7C	0.217099859401	0.0	0.461077199925	0.301804639012	0.231147581087	0.279713552915	0.275825258694	0.525380933563	0.512494433597	0.167562048486	0.0342363558521	0.461560178174	0.461049256374	0.479967130013	0.217011214227	0.239777354974	0.488203051906	0.350929023799	0.529498865721	0.285798076584	0.183604630676	0.476865578556	0.151860986097	0.361015540341	0.243805530518	0.34259780879	0.463133430019	0.358681339664	0.3137620599	0.230380402616	0.33155942287	0.498819894481	0.320152380655	0.508864261122	0.502306782332	0.488421054786	0.302076332649	0.530528844836	0.267311411436	0.293990271829	0.217722297187	0.166837053635	0.262555350351	0.322048473692	0.324048288945	0.116116907374	0.306422698267	0.148407909652	0.251198350778	0.298896680459	0.14781812381	0.145935367451	0.159118356104	0.134027587429	0.616478421157	0.155789227126	0.132803468883	0.146260003587	0.248060398638	0.175213427955	0.570642031859	0.565126904653	0.297053600918	0.603385210362	0.176190387175	0.493144194504	0.306847946999	0.50189261708	0.486928336633	0.415499235089	0.323201141005	0.458347366949	0.487500648191	0.482978699113	0.528722594025	0.521247377619	0.492405047638	0.468543585076	0.314323315005	0.532925659484	0.34365355422	0.63127390246	0.376458556173	0.516320859416	0.413552840856	0.313325667258	0.494267308899	0.53423056981	0.489489444927	0.600936579642	0.329538290598	0.457635348045	0.534481566526	0.500045991585	0.40652785553	0.502716143915	0.486064830795	0.464380859928	0.435281521601	0.355005491129	0.337890534564	0.264229487373	0.492814641634	0.329111103286	0.27542585963	0.497563072267	0.490621285964	0.411048568205	0.491608834521	0.379164200648	0.484476756847	0.503885811253	0.523739821785	0.435755143263	0.533658346903	0.461450678406	0.366834723983	0.377120195911	0.500227701267	0.294438854097	0.529849252877	0.518531160181	0.501853551037	0.305798398124	0.505123772335	0.523499989133	0.486999582625	0.505956220566	0.254906757706	0.414932701342	0.50657494038	0.482730007762	0.5012871835	0.299090581829	0.507341926625	0.513854959348	0.531376355128	0.427171417062	0.4555216502	0.497626573955	0.36368060629	0.511117437578	0.505644430426	0.276447363143	0.279441997752	0.523868448633	0.50062000603	0.526362604213	0.472750468911	0.425435037744
TL7A	0.434319147209	0.461077199925	0.0	0.462381290851	0.439205701191	0.397386538035	0.394190358073	0.228346043098	0.206880076066	0.425749036966	0.456933558921	0.0542529783524	0.0762242564862	0.0736034580577	0.418847001404	0.422012733792	0.0798847270095	0.499443073715	0.222524605379	0.389715423694	0.421867714181	0.259132659617	0.421304213747	0.483167979159	0.423963461976	0.456647235684	0.075118263805	0.479232593771	0.460199612443	0.420035955859	0.469733306091	0.258803053526	0.465758917038	0.199255844918	0.19797966182	0.196761046202	0.452290288037	0.321297664237	0.318988689375	0.404324104958	0.470679796043	0.388528619836	0.308972939771	0.467241648863	0.466737584565	0.423231992243	0.448544073247	0.465660200128	0.325710499077	0.398987443276	0.391962420779	0.415961989499	0.386813501901	0.402070389579	0.469693407623	0.477672838375	0.430074566286	0.469758947755	0.390044938071	0.413017530302	0.339806836635	0.346896710819	0.421549934404	0.383147337398	0.394014449957	0.189994895194	0.238100119193	0.20005911057	0.188397800551	0.221839040613	0.426129102158	0.194339818044	0.18159120564	0.186067497557	0.49638967913	0.22843533471	0.200553593392	0.250922230817	0.365106414663	0.290371734594	0.407680483443	0.603670789864	0.272500031237	0.222093676458	0.218013515632	0.242085729522	0.188333229625	0.235188627725	0.2283624598	0.577612913827	0.368881205769	0.241630116587	0.293050745727	0.214556566768	0.461837040159	0.186539219324	0.21519666782	0.205657588833	0.192935457777	0.260999564294	0.391566671836	0.365678359285	0.187234791121	0.382830889079	0.377389559011	0.186157831968	0.193209289994	0.501629652634	0.176646446145	0.242004779267	0.184855283913	0.18339884852	0.233810184868	0.185218650376	0.238842601	0.244743228556	0.248807791591	0.254686187889	0.1895152091	0.450460715709	0.232273906968	0.229420970586	0.219352634621	0.362599920103	0.199735142866	0.234513874719	0.17488395497	0.202485621283	0.35953514589	0.225834730729	0.196721674702	0.214775301358	0.184551909144	0.455375907126	0.193751697984	0.227160277948	0.224442652064	0.489012500218	0.185666898957	0.179491813138	0.265158575327	0.224063449112	0.206951026508	0.381973690045	0.271220862699	0.24935463944	0.512377065592	0.257337820899	0.167660287652	0.356503746233
E-s-PM-3-Aug	0.235965837834	0.301804639012	0.462381290851	0.0	0.23589494398	0.274561092852	0.262514514821	0.440922927172	0.441556491856	0.281537695119	0.298298588312	0.45476060041	0.459198647426	0.463581562112	0.299939730443	0.194056959683	0.448367373525	0.195457486929	0.450887520381	0.265940632144	0.278021395292	0.465248963795	0.260389014625	0.19863571971	0.177393480019	0.1199732506	0.455431237161	0.196662559868	0.157531407138	0.199188820958	0.0758590375335	0.474229105716	0.166395882334	0.445177536842	0.440710660813	0.431505778438	0.156398989347	0.491901427547	0.27476438339	0.294084051721	0.374398833532	0.267987473094	0.285568398744	0.186012493025	0.185846199104	0.291027722758	0.16415214131	0.304024783523	0.272228774165	0.295019623245	0.274305366569	0.286778024235	0.269544571258	0.278630882254	0.550839522453	0.319734732408	0.302115689816	0.301903316985	0.304488683214	0.259228920188	0.491770434784	0.504175628783	0.300518980666	0.545824474759	0.281016805472	0.441923411711	0.326787346854	0.437917886983	0.437117150815	0.366363235011	0.291505830742	0.410796806566	0.432895819017	0.431652307412	0.434491522844	0.443624722622	0.440514059069	0.398455879881	0.288344727738	0.451421204945	0.338544474464	0.57101906679	0.322180003373	0.441032826574	0.366721802089	0.335257202707	0.434811051892	0.461247080575	0.417493042774	0.543077841375	0.299430741558	0.384821775024	0.458163407126	0.436375629464	0.340271537877	0.450633463791	0.417529496059	0.406062920784	0.414797718213	0.322776878847	0.32734892309	0.290270074709	0.449796943165	0.319543685374	0.286936166764	0.440450118601	0.42969251117	0.380661118762	0.447468533242	0.338354299388	0.435381928556	0.440872150629	0.451192806036	0.408851555796	0.457392892296	0.39344679975	0.329159869593	0.327253142034	0.444756470391	0.312118222325	0.45676789482	0.44450744158	0.435367932203	0.27103196757	0.439661496246	0.444225802907	0.445116391997	0.442174508079	0.283699630298	0.366844044176	0.443628803158	0.417290776588	0.442520443125	0.318436193413	0.44464138987	0.436757689622	0.456170137249	0.38175975593	0.418556623265	0.448003813949	0.321507185076	0.44344375784	0.44400130273	0.285750224499	0.357881625972	0.447290049706	0.424832512586	0.454166150388	0.433352249547	0.380206258963
WV7B	0.0299830794518	0.231147581087	0.439205701191	0.23589494398	0.0	0.143957454186	0.13361395263	0.427181409882	0.419157804652	0.219760508672	0.213351646638	0.446642468281	0.444892331279	0.450440369612	0.217571604812	0.139342473622	0.436055401818	0.270034933188	0.435850765968	0.137179735578	0.208590802327	0.45080413808	0.189781731507	0.23484305793	0.156885518787	0.252883485886	0.450742637493	0.259633941382	0.282614706357	0.137161929796	0.254361598817	0.454792702688	0.271239294261	0.4356491115	0.428175489891	0.418252642894	0.278528115993	0.475731402414	0.212158447992	0.295622021081	0.355678753788	0.219148259537	0.226522122788	0.26375569132	0.24610865008	0.241648466154	0.23737626531	0.282149680233	0.202903506793	0.289668029857	0.191491751949	0.239082079286	0.197312782748	0.202297147154	0.567946247723	0.325743086111	0.261677596438	0.296921579203	0.286402171363	0.211990413006	0.50314206491	0.487720597791	0.285113795263	0.537169474481	0.210740862079	0.444160918156	0.30099612601	0.438422166122	0.426959979864	0.346732412492	0.275036394164	0.39647300974	0.425319076596	0.421605927392	0.467136380894	0.427383910936	0.44687007103	0.376829646101	0.250638415222	0.464752772946	0.260847093627	0.580081782833	0.289919970888	0.432095549529	0.348285655281	0.29810188943	0.426979011471	0.444574971313	0.408384451395	0.546461757321	0.252372988383	0.373167705917	0.466000942377	0.435132508787	0.353051735135	0.439196925626	0.409246086496	0.394828343311	0.413670031985	0.278981225066	0.248493294193	0.269522828752	0.443315894297	0.239774418822	0.250129778811	0.434040909698	0.422824425397	0.35185200186	0.437950466819	0.308272204383	0.425979764379	0.432465887878	0.440867662575	0.402929584852	0.447710465162	0.372574719378	0.296766447797	0.301419140258	0.443419335195	0.307563109935	0.447000837399	0.430209547753	0.441526969205	0.247150500755	0.437981769844	0.436109569777	0.444441539733	0.432066291558	0.263361824085	0.345150826472	0.431796734532	0.408647923183	0.435022292187	0.307438569313	0.440865870857	0.429154070247	0.441332647724	0.352142945717	0.409949354883	0.43810951123	0.282158564492	0.44604098305	0.449639272436	0.251378062221	0.331009897433	0.445227554413	0.442929899848	0.453222829471	0.41556287306	0.344061840934
DU7C	0.152574551723	0.279713552915	0.397386538035	0.274561092852	0.143957454186	0.0	0.0225106805608	0.385655356358	0.37154119264	0.285069611194	0.267415879067	0.410393032164	0.397472409084	0.398100097806	0.265837517441	0.194459205502	0.401052950746	0.271914782945	0.384521526927	0.0302696561627	0.274238991716	0.439107933763	0.256495505736	0.266683000774	0.201413211414	0.280636437235	0.411083270689	0.266772067594	0.318779005253	0.188208166716	0.286386787953	0.436782483557	0.312773378712	0.372720302533	0.375300718897	0.370852091446	0.313824606898	0.463957593312	0.197618021945	0.331013664496	0.3769467409	0.227786013288	0.215917121666	0.294539794099	0.271212794144	0.262027630424	0.266869809695	0.328424397602	0.184744510178	0.319948059844	0.203244991335	0.253450542452	0.204658460847	0.213596522574	0.542917558201	0.351707108363	0.275276152489	0.327394964341	0.319356046355	0.218417788468	0.4569458263	0.472316340493	0.300115271307	0.46721950662	0.224841476121	0.403029956307	0.286565668745	0.394236720067	0.377579008854	0.298320259891	0.287575186968	0.344652517551	0.375480975899	0.374639680901	0.479303616958	0.385379904086	0.408248063109	0.334905978771	0.251828238344	0.426904458233	0.259550448956	0.597938937278	0.253035846655	0.386125536811	0.304005792746	0.284947381141	0.37541682378	0.397055376849	0.363291238889	0.562099338908	0.247074720505	0.328505664157	0.429567322832	0.390683941289	0.390626555621	0.389235678611	0.365284328662	0.34277801931	0.378904037701	0.23280591065	0.243051275976	0.278237574598	0.404484316988	0.224171844724	0.257004329646	0.388545892314	0.369951240879	0.366565940934	0.390928209204	0.273995047945	0.378941386461	0.375348229819	0.401025454467	0.363306822132	0.400298993526	0.327858798054	0.260795769771	0.270138716277	0.400070034886	0.330926687797	0.399711141619	0.386597847191	0.406619444599	0.269950195218	0.392991915437	0.381861965274	0.403451955239	0.372621639732	0.271644988569	0.298813667756	0.373542724628	0.361745308519	0.386818895351	0.333265205749	0.394133499606	0.386859428351	0.394619965966	0.379597469945	0.363865483189	0.392639985565	0.232879770008	0.409763467118	0.408704987362	0.260924696889	0.33266073346	0.407133183843	0.463367172516	0.412277199486	0.379025180737	0.294986702208
DU7A	0.14199047566	0.275825258694	0.394190358073	0.262514514821	0.13361395263	0.0225106805608	0.0	0.386519132011	0.369145277653	0.274348931097	0.263560910217	0.40622644918	0.394239983472	0.39491959122	0.257355955318	0.180986466142	0.398009954831	0.268109817117	0.385407343949	0.0237296515739	0.261595831587	0.435678508533	0.246681502492	0.263655130474	0.191755072587	0.270434674514	0.407878032674	0.262591058646	0.304162729902	0.179908546992	0.274553683587	0.433711314178	0.298681230206	0.373506987292	0.373259774416	0.37006031912	0.299770818242	0.460154099257	0.18936721801	0.325412254806	0.372119134433	0.224822198292	0.207288675236	0.282384997529	0.259138384124	0.257671898293	0.254445185563	0.321501083837	0.17681287135	0.313577416506	0.199870303647	0.24933290803	0.200252335242	0.210145621588	0.542603862633	0.345332347745	0.270886097166	0.321388921809	0.316091477478	0.216219026955	0.456728154965	0.474039897231	0.295262032065	0.472156270855	0.220463352904	0.399422966984	0.279846911048	0.391828684907	0.37566865256	0.295936795217	0.279040556261	0.343453289734	0.37359154015	0.372607629041	0.479074346242	0.385107903511	0.404636295249	0.337189449789	0.243675380595	0.425856965798	0.258019096138	0.598057320603	0.250835234706	0.384468582698	0.301130696752	0.278244956644	0.373540694412	0.398883710102	0.361318462493	0.562137593251	0.238862087512	0.326880017358	0.428300484838	0.388270588085	0.382550521125	0.387316812312	0.363212433822	0.34170556311	0.37505829294	0.229512531241	0.239914838631	0.272988433156	0.401170004976	0.224389298951	0.252554806977	0.386516356105	0.368007680959	0.370857491574	0.388765765692	0.270947503966	0.376908321549	0.375240534195	0.397624816119	0.360398191905	0.401133368178	0.329179719226	0.257932482865	0.267165076047	0.396840103875	0.326408325261	0.399274386553	0.384876822454	0.403274138299	0.264352235109	0.391032671342	0.378786689979	0.399945363389	0.372907222806	0.26657305122	0.296281322606	0.373795046126	0.359769286751	0.384929648668	0.328766697672	0.392223866571	0.38340389718	0.395502294114	0.380724209775	0.362318871745	0.390754802801	0.230222284812	0.405542391942	0.405485031214	0.256166530028	0.32376687522	0.40269057159	0.460001180591	0.409226321479	0.373737225059	0.297584583265
FR7A	0.43229698922	0.525380933563	0.228346043098	0.440922927172	0.427181409882	0.385655356358	0.386519132011	0.0	0.0800255084312	0.481626564181	0.520378530954	0.225286275387	0.24130178266	0.22967710868	0.464022079595	0.423750449179	0.191398873412	0.464048505357	0.0513369448938	0.376846998858	0.47674483852	0.333142148579	0.478644825894	0.43315137667	0.428678935437	0.436322411003	0.230525183106	0.444696258352	0.469479689248	0.426089025365	0.443975062524	0.312011924366	0.467988621721	0.203224356983	0.211517926781	0.223364922705	0.46699728474	0.355958143168	0.345116796082	0.390607146257	0.53853334097	0.450160374835	0.347708598794	0.466036957241	0.45223185734	0.478451894276	0.448068698954	0.530592918656	0.348942713105	0.393919363189	0.456306624175	0.473431049308	0.439749618331	0.466055380419	0.38713856717	0.550043900803	0.49631430446	0.530209496383	0.416746372143	0.454308796921	0.236657397598	0.288003354552	0.380809825207	0.322167632993	0.440429981193	0.156258516234	0.267515014	0.140715995458	0.169380993123	0.19060787534	0.434229686744	0.170712026294	0.156607146062	0.166336502744	0.455706596899	0.102215763385	0.167290670441	0.128408545457	0.373265438802	0.161999798538	0.400203512558	0.570939104474	0.218956636434	0.130771152183	0.192169651698	0.262358382108	0.152391062597	0.0926209389444	0.125024619513	0.541198965125	0.367153480933	0.135951114271	0.175986267193	0.148596548762	0.443860694444	0.158468682778	0.125970610552	0.167955301617	0.207380964777	0.235679302928	0.381977521228	0.393269939146	0.172171006579	0.371136711955	0.402489623571	0.135836397942	0.158009416172	0.460440531948	0.16303947241	0.233632681647	0.165927638397	0.147666159772	0.116915915619	0.191042812885	0.0981918859179	0.125622382275	0.24106598039	0.233331311425	0.145732487032	0.458470546365	0.105814220308	0.126764572432	0.160434374513	0.338014521289	0.136289841475	0.120184309763	0.171916876578	0.152616144317	0.387564799477	0.193444306321	0.151377097017	0.131992370844	0.135396175864	0.458046695543	0.14187665894	0.121255042276	0.0887245246017	0.439080768664	0.171014457448	0.157705555999	0.233723585717	0.156926594434	0.161628354191	0.405159793965	0.327827638463	0.130793061597	0.486355201918	0.155019985358	0.182307407169	0.308853087867
FR7C	0.423207745308	0.512494433597	0.206880076066	0.441556491856	0.419157804652	0.37154119264	0.369145277653	0.0800255084312	0.0	0.466964410783	0.507329262862	0.21179135033	0.22157853249	0.206825888476	0.445235131287	0.424490038495	0.174099993919	0.468169466539	0.0674506324442	0.359863458091	0.459945313705	0.333108633014	0.465948981722	0.441002733467	0.42936438232	0.433664074995	0.217885197543	0.447519384907	0.468928581417	0.426996725736	0.442357429327	0.312684444252	0.46717536072	0.1960870167	0.200584066365	0.207653386897	0.46556304538	0.356308689998	0.330739400399	0.390780984097	0.525077533287	0.43733290945	0.333466710121	0.463577940322	0.449126919603	0.465361998966	0.445311935943	0.518378008806	0.334823617147	0.383117921848	0.443447673982	0.460148523064	0.426622082168	0.45323151558	0.41301532526	0.537571470259	0.484026907193	0.51752504014	0.406885183463	0.440685381613	0.275537141434	0.319573239897	0.376664432502	0.333009568238	0.42803929255	0.156756122121	0.259085376242	0.154030116111	0.157093852295	0.179093323187	0.419907010076	0.15562388801	0.154337638775	0.15014255485	0.462767917141	0.130004058107	0.17601691151	0.154032443935	0.359206256939	0.192816479694	0.379212408873	0.576039399166	0.214187997927	0.144781353774	0.179655278965	0.251029618649	0.153585579974	0.118991282433	0.141752128175	0.546525457739	0.353969709225	0.154390251531	0.187877418003	0.166920797581	0.438739949335	0.156314318823	0.139411345087	0.15060620186	0.218467270336	0.222055566337	0.360359096525	0.377778752174	0.171848087087	0.349991497248	0.387618283377	0.152026627876	0.151156508882	0.465702032102	0.160793820646	0.219938221126	0.155002680591	0.146524326369	0.127159202183	0.19947989072	0.124621945903	0.145747021236	0.227647066641	0.219132269689	0.15115190021	0.442734174002	0.12148281992	0.141604715344	0.174495670222	0.328650870981	0.145634459525	0.139476527525	0.168943306268	0.153264151459	0.3727746757	0.181188597828	0.149834934501	0.143087572108	0.139323163882	0.441489790659	0.153777776823	0.139474523889	0.110078011618	0.445923461344	0.184743326263	0.157006612464	0.221445770684	0.164719700293	0.176572091648	0.390942685418	0.316386023593	0.150971786681	0.483002926925	0.15695638069	0.16913705309	0.297783792174
TC7B	0.210830556005	0.167562048486	0.425749036966	0.281537695119	0.219760508672	0.285069611194	0.274348931097	0.481626564181	0.466964410783	0.0	0.151565817252	0.432343990727	0.424766289162	0.443692319064	0.139765957834	0.262901770769	0.456879061226	0.3396836923	0.483937845913	0.273912951169	0.0286341103658	0.463369893359	0.0496377594004	0.336076112236	0.270168797086	0.276632183253	0.433331912336	0.330040479375	0.281034505574	0.259755359418	0.287719058218	0.484793167465	0.282740169315	0.473876939213	0.468594273796	0.453959987923	0.264036311313	0.518393799295	0.258684417023	0.35779198661	0.322260770029	0.2261906788	0.242501850837	0.312031991044	0.322202008554	0.205631297781	0.302652367864	0.197889843907	0.271537901174	0.339557884649	0.188669258888	0.208525951766	0.219454070664	0.185146598841	0.598000767021	0.250097586972	0.23197990977	0.225404892409	0.331668369585	0.249916483716	0.544089044896	0.55078262175	0.387491752193	0.567152995146	0.267562341308	0.460363923132	0.27994406258	0.464771268846	0.44797805472	0.376564478438	0.316505284817	0.421980771642	0.447538993725	0.443376287607	0.513147151252	0.480890309302	0.46343727316	0.434024233017	0.299859515174	0.508155925413	0.264113022852	0.618198158297	0.3432676863	0.472488507819	0.373686866954	0.283363667048	0.453970709552	0.493832695868	0.453275354824	0.585093868213	0.30809180537	0.420149816148	0.51151339984	0.464667506371	0.391117000214	0.461721760107	0.449006201372	0.42836825208	0.40528288253	0.320636274857	0.25829970147	0.313588688032	0.459247017515	0.270714950221	0.307755908496	0.456560889842	0.450837148458	0.449512769237	0.451458772072	0.335756246054	0.444487183275	0.462125328186	0.490183742225	0.40177212688	0.496131316769	0.424826497323	0.325610291627	0.334121712345	0.464537127357	0.364236304899	0.493753718165	0.4779346736	0.470973933488	0.357156229355	0.468498996829	0.476504290571	0.453430583853	0.465754627502	0.299466164896	0.374992508386	0.465142726541	0.447194481284	0.457777053587	0.368614310651	0.467098849931	0.477604680603	0.491098098255	0.414747017778	0.422779815796	0.455193463554	0.329536702574	0.47817864227	0.477441686095	0.29694832413	0.265023312192	0.493630571197	0.47818184851	0.497070174906	0.431352102249	0.37869596189
