	WV7A	PM7C	TL7A	E-s-PM-3-Aug	WV7B	DU7C	DU7A	FR7A	FR7C	TC7B	PM7A	Tca7B	Tca7C	TL7B	TI7A	E-b-DU-1-Jul-a	TL7C	E-b-WV-3-Aug	FR7B	DU7B	TC7A	E-f-TL-3-Jul-a	TC7C	E-b-WV-2-Aug	E-b-DU-3-Jul-a	E-s-PM-2-Aug	Tca7A	E-b-WV-1-Aug	E-s-PM-2-Jul-a	E-b-DU-2-Jul-a	E-s-PM-1-Aug	E-f-TL-2-Jul-a	E-s-PM-3-Jul-a	E-f-TL-2-Aug	E-f-TL-3-Aug	E-f-TL-1-Aug	E-s-PM-1-Jul-a	E-f-TL-1-Jul-a	E-BP-2016-3	E-WC-2016-3	E-JP-2016-2	E-VP-2016-2	E-LH-2016-1	E-JP-2016-1	E-VP-2016-3	E-BP-2016-2	E-TB-2016-1	E-CB-2016-2	E-DU-2016-3	E-DU-2016-1	E-TB-2016-3	E-VP-2016-1	E-JP-2016-3	E-LH-2016-3	E-BL-2016-3	E-CB-2016-1	E-PM-2016-3	E-CB-2016-3	E-WC-2016-1	E-LH-2016-2	E-BL-2016-2	E-TL-2016-1	E-DU-2016-2	E-CR-2016-1	E-WC-2016-2	R.wp.5.26.r1	S.st.1.5.27.r1	R.mt.5.26.r1	R.jt.4.28.r1	S.st.4.4.24.r1	S.st.7.4.24.r1	S.st.3.4.24.r3	R.ls.4.28.r3	R.jt.4.28.r2	S.st.5.5.27.r2	R.ds.6.23.r.2	R.wp.5.26.r3	S.st.2.6.19.r2	S.st.5.4.24.r3	R.mt.6.23.r.3	S.st.1.4.24.r1	S.st.6.6.19.r2	S.st.4.5.27.r3	R.ls.6.23.r.2	S.st.4.4.24.r2	S.st.1.5.27.r2	R.ls.4.28.r1	R.Jt.6.23.r.3	S.st.1.6.19.r2	S.st.6.6.19.r1	S.st.5.4.24.r2	S.st.2.6.19.r3	R.mt.6.23.r.2	S.st.3.5.27.r2	S.st.6.5.27.r1	R.wp.4.28.r3	S.st.1.6.19.r3	S.st.3.4.24.r1	S.st.2.5.27.r2	S.st.4.5.27.r1	S.st.1.4.24.r2	S.st.6.4.24.r1	R.mt.4.28.r2	S.st.1.4.24.r3	S.st.6.4.24.r3	S.st.3.5.27.r1	R.ls.4.28.r2	S.st.5.6.19.r3	R.wp.4.28.r2	S.st.2.4.24.r3	R.jt.4.28.r3	R.ds.4.28.r3	R.wp.6.23.r.3	S.st.2.5.27.r3	R.Jt.6.23.r.1	S.st.2.6.19.r1	S.st.2.4.24.r1	S.st.2.4.24.r2	R.mt.5.26.r3	S.st.7.4.24.r2	R.wp.6.23.r.1	R.ls.6.23.r.1	R.J.5.26.r3	S.st.3.6.19.r1	R.mt.5.26.r2	R.ls.6.23.r.3	R.ls.5.26.r1	R.ds.4.28.r2	S.st.5.4.24.r1	S.st.4.4.24.r3	R.ds.4.28.r1	S.st.1.6.19.r1	S.st.3.5.27.r3	S.st.7.4.24.r3	R.ls.5.26.r3	R.ds.6.23.r.3	R.Jt.6.23.r.2	S.st.6.5.27.r2	S.st.2.5.27.r1	R.wp.4.28.r1	S.st.4.5.27.r2	R.J.5.26.r1	R.ls.5.26.r2	S.st.6.4.24.r2	S.st.1.5.27.r3	R.wp.6.23.r.2	S.st.6.6.19.r3	R.mt.6.23.r.1	R.J.5.26.r2	R.wp.5.26.r2
WV7A	0.0	0.22824045	0.43199243	0.24992773	0.07805483	0.19163134	0.17369969	0.43587054	0.43556508	0.19211378	0.21961543	0.4310791	0.4422494	0.44973754	0.19176975	0.13900918	0.43292173	0.2895533	0.45687285	0.16724807	0.18548668	0.44283328	0.17888194	0.25262341	0.16115757	0.28229099	0.44653822	0.26823887	0.28068745	0.15559341	0.26733152	0.4459002	0.26166463	0.44374924	0.43510047	0.42035846	0.2607965	0.47036509	0.20617289	0.2892697	0.35331475	0.20724905	0.23107212	0.26441227	0.26215149	0.23993985	0.23987961	0.2670774	0.2005142	0.27541204	0.18057143	0.22879914	0.19558099	0.20135375	0.56823096	0.31923137	0.2549298	0.28068065	0.28146025	0.21034146	0.50423433	0.48446018	0.31424663	0.54536253	0.2054165	0.43548158	0.29602405	0.43397437	0.42804691	0.34553513	0.27747793	0.40083636	0.42335791	0.42261372	0.47013639	0.43233874	0.44316032	0.38671908	0.25951267	0.47771652	0.27148839	0.58777574	0.30155801	0.43161278	0.34752748	0.29081331	0.43293984	0.45395577	0.41640814	0.53970798	0.27349454	0.39256672	0.46825877	0.43922041	0.35340206	0.44070213	0.41186982	0.41218489	0.41052403	0.27808206	0.27627195	0.26426303	0.44371846	0.26300436	0.2630586	0.42494935	0.42110011	0.36969323	0.43018522	0.31008338	0.41713907	0.43628784	0.44311872	0.40241062	0.4674368	0.38549673	0.30157237	0.29765953	0.43816123	0.30403503	0.44267484	0.43998386	0.43526887	0.24867827	0.43605697	0.44817669	0.44351253	0.43771942	0.27003982	0.35113856	0.43789889	0.43386959	0.43363608	0.32404883	0.44493652	0.43363698	0.4527304	0.35736791	0.39494917	0.44968891	0.29188534	0.44829194	0.44667691	0.2508399	0.32386641	0.45820392	0.44526217	0.45378875	0.41492519	0.35548088
PM7C	0.22824045	0.0	0.4626335	0.30479264	0.22399514	0.28281285	0.27449022	0.51890629	0.51788677	0.19073399	0.05746392	0.45783255	0.46285419	0.48191557	0.23199902	0.25753005	0.48655542	0.34011021	0.53252326	0.28007254	0.18846921	0.48081639	0.17639029	0.35514156	0.23673884	0.35352392	0.46445417	0.35065794	0.32643402	0.22191936	0.33247555	0.50428381	0.31906658	0.50990319	0.50114902	0.49220457	0.29048923	0.53357322	0.2671404	0.29103415	0.21472636	0.18142504	0.26818237	0.31255766	0.31000254	0.12581318	0.2930386	0.16680991	0.24774871	0.29742855	0.16248926	0.15513117	0.15763012	0.1331454	0.61578389	0.16146396	0.13953643	0.13769316	0.24756446	0.17125641	0.56682034	0.56271381	0.2950499	0.60315314	0.17465561	0.49825025	0.31595666	0.5047545	0.48349472	0.40420554	0.31571888	0.46441561	0.4910446	0.48415581	0.53452256	0.52075415	0.49346619	0.46422755	0.30695738	0.53914651	0.34088282	0.63834137	0.37714692	0.50533021	0.40714879	0.3003292	0.49818357	0.5369943	0.49273567	0.59231241	0.33134441	0.46740645	0.53704892	0.50784946	0.40397117	0.50509388	0.48000505	0.47664898	0.43921976	0.35452579	0.35968378	0.27197822	0.48944167	0.33532673	0.28358883	0.49255252	0.48834028	0.42622908	0.48555625	0.37277293	0.48620502	0.50303575	0.52360213	0.44039683	0.54140287	0.46378766	0.36542272	0.36391442	0.49816788	0.26591562	0.52192029	0.52157337	0.5004987	0.3104182	0.50517436	0.524305	0.48954698	0.50602457	0.24394105	0.41252889	0.50529312	0.49961266	0.50115337	0.29476468	0.51028225	0.51255423	0.53342811	0.43221738	0.44026476	0.49803102	0.36593919	0.51319585	0.50822368	0.28265173	0.28106498	0.53029291	0.50142382	0.52430394	0.47599024	0.42488717
TL7A	0.43199243	0.4626335	0.0	0.46644784	0.44222728	0.39618833	0.40199576	0.21743119	0.21532501	0.42731065	0.46293692	0.08466559	0.10136441	0.08267561	0.42432624	0.42738501	0.0889442	0.50102413	0.23081162	0.37291686	0.42182709	0.26822533	0.41694355	0.48153912	0.41441944	0.46823286	0.10917961	0.47096276	0.47204378	0.42949624	0.47475161	0.26765167	0.46351824	0.20656015	0.20332234	0.20885823	0.45226771	0.3299688	0.32659498	0.40038227	0.47686618	0.37726208	0.30749103	0.45605492	0.47116588	0.42269544	0.45016846	0.46609713	0.33768733	0.39306039	0.39568766	0.41449855	0.38699226	0.41200786	0.48150793	0.48897446	0.43151859	0.47467238	0.38633462	0.41518771	0.34291584	0.34742965	0.42369546	0.38578974	0.39884109	0.20342185	0.24598576	0.20830524	0.18732006	0.22037178	0.41628046	0.20549811	0.19112766	0.19042461	0.50706704	0.22474869	0.20734861	0.25990743	0.37035818	0.30055459	0.3957057	0.60045695	0.26483342	0.23249903	0.22852035	0.25047524	0.18746285	0.24362166	0.23715073	0.57566921	0.37303175	0.25720275	0.30208624	0.21883814	0.45482389	0.18855566	0.22432247	0.2085169	0.19122722	0.26300015	0.38112078	0.36779164	0.21557901	0.38537243	0.38415153	0.20070182	0.19144948	0.50985548	0.18427291	0.24956999	0.19891664	0.18629027	0.24275311	0.19966029	0.26775801	0.2510029	0.2647175	0.25918276	0.1974296	0.4365292	0.24989815	0.23101967	0.21014382	0.36603004	0.2162738	0.24256052	0.19660992	0.20668241	0.35899031	0.22550121	0.20011734	0.22960824	0.19122445	0.45333802	0.20859533	0.22938167	0.22715377	0.48906978	0.19303656	0.17862304	0.25825949	0.23698689	0.21482938	0.37895737	0.2834917	0.25959049	0.51458314	0.25177978	0.17678926	0.35447835
E-s-PM-3-Aug	0.24992773	0.30479264	0.46644784	0.0	0.25949142	0.29651185	0.27231414	0.43975435	0.44918533	0.28373879	0.31163036	0.45213115	0.46604957	0.46919515	0.29942586	0.19579801	0.45335356	0.20340327	0.45544118	0.28037056	0.28790207	0.46829625	0.26868427	0.19688528	0.19940876	0.13923416	0.45485991	0.20574024	0.1671175	0.20781626	0.09567517	0.47734851	0.1772622	0.44480221	0.4398112	0.43289969	0.17121189	0.4920201	0.27091956	0.29764093	0.37925806	0.26835044	0.29290951	0.19104136	0.1916372	0.30207708	0.1708706	0.31019267	0.27279473	0.29233013	0.27293868	0.27833761	0.27914862	0.28713972	0.54255901	0.32722478	0.29975015	0.29852202	0.31638736	0.26974277	0.48220848	0.49966279	0.30395	0.54189184	0.28225703	0.43824013	0.32810276	0.4403767	0.44523636	0.36943006	0.28992988	0.41110153	0.43001394	0.43647075	0.43294076	0.44516667	0.44289157	0.39249167	0.29268378	0.46052373	0.3330603	0.57586989	0.33137404	0.43014823	0.36291187	0.33662632	0.44085325	0.46189658	0.42100901	0.53379241	0.30582003	0.39346321	0.45893794	0.44172448	0.34298807	0.45271094	0.40903759	0.41652056	0.41987776	0.32907455	0.34226144	0.28520494	0.45023923	0.33147775	0.29982153	0.43309396	0.43186832	0.39548412	0.44637005	0.33923835	0.42568626	0.44232385	0.45018471	0.41027921	0.46235061	0.398115	0.33397506	0.32441464	0.44330858	0.31023348	0.44212715	0.44599201	0.43687522	0.27246676	0.4391459	0.4411252	0.44670104	0.43760773	0.29252735	0.37337761	0.43991454	0.43123216	0.43866547	0.32447624	0.44867951	0.43404403	0.45759537	0.39450252	0.40691004	0.46458722	0.33283899	0.43779443	0.44593254	0.29615317	0.37137614	0.45610215	0.42879004	0.45291996	0.43851216	0.38072713
WV7B	0.07805483	0.22399514	0.44222728	0.25949142	0.0	0.15889895	0.1442671	0.43110073	0.43154923	0.22058741	0.21880772	0.44204033	0.45155219	0.45799481	0.21271648	0.17008321	0.4434475	0.28116253	0.45178496	0.15072868	0.21606007	0.45940947	0.20520773	0.25339558	0.17753524	0.28037486	0.45956509	0.26357208	0.30357942	0.16828736	0.27112729	0.46211545	0.28329702	0.44099853	0.43309292	0.41930133	0.28406121	0.48221078	0.2243568	0.29672421	0.34493784	0.21035438	0.24947373	0.27642902	0.25838324	0.2375544	0.2494146	0.27873787	0.21564853	0.28952337	0.19659626	0.23049279	0.19367296	0.20465144	0.57186873	0.32397812	0.25155583	0.2812588	0.28465986	0.20880441	0.5052002	0.49112709	0.28447192	0.54157606	0.19282415	0.44771951	0.31513258	0.44558186	0.43639886	0.3528087	0.28413858	0.40276085	0.43067722	0.43228465	0.48641628	0.43154103	0.45532537	0.38813677	0.26788604	0.47877967	0.26409456	0.60099561	0.30597712	0.43880495	0.35298363	0.30456418	0.43850217	0.45378596	0.41599373	0.55626831	0.26948281	0.39798551	0.47176808	0.44702698	0.36687103	0.4521915	0.41305539	0.4107554	0.42134922	0.28532543	0.2689422	0.25425302	0.45577575	0.25745875	0.27119653	0.43348542	0.4288043	0.3787594	0.43914615	0.31722685	0.4254367	0.43501493	0.44399721	0.41197773	0.46863837	0.3869177	0.30471566	0.30640546	0.45044188	0.30415352	0.44482645	0.43728159	0.4480545	0.2547007	0.44867712	0.44555494	0.45597702	0.43529853	0.27003887	0.35536461	0.4333926	0.43203472	0.43716997	0.30698306	0.45118767	0.43739899	0.44967787	0.37079288	0.40393	0.45737022	0.29499221	0.45209863	0.46102696	0.26761069	0.3458252	0.45938747	0.4594981	0.4578036	0.42373466	0.34905045
DU7C	0.19163134	0.28281285	0.39618833	0.29651185	0.15889895	0.0	0.05431789	0.37968694	0.37142132	0.29389138	0.27994147	0.410198	0.401458	0.40641054	0.26643483	0.21769	0.40696175	0.2767288	0.38801253	0.07615381	0.28558322	0.4448877	0.2701541	0.27748483	0.22269649	0.29529277	0.41931014	0.26729045	0.33317649	0.21820375	0.30190812	0.43977694	0.32492939	0.37500358	0.38003571	0.37214186	0.31738668	0.46972299	0.22298863	0.3447976	0.38580021	0.22626873	0.24172206	0.30270387	0.27867129	0.27181275	0.27342361	0.33490812	0.20789794	0.32325958	0.21098511	0.25603756	0.21889461	0.23023493	0.5446357	0.36550375	0.282134	0.32785173	0.32592851	0.23301374	0.45480131	0.47036256	0.30924379	0.46729091	0.22249634	0.40385662	0.30193821	0.40158289	0.38503777	0.30602643	0.29171021	0.34353104	0.37632401	0.38063938	0.48996143	0.3861081	0.41533462	0.33393658	0.26924911	0.43234908	0.26831201	0.60906902	0.26961927	0.39389722	0.31085692	0.29589175	0.38911686	0.40026149	0.36823376	0.55929748	0.25671808	0.34824754	0.43046255	0.39905023	0.3997547	0.39796785	0.3705319	0.35059033	0.39170989	0.24243596	0.25702049	0.28026787	0.4196068	0.23237322	0.27865446	0.38588873	0.37650477	0.38411169	0.3906621	0.28741248	0.37427603	0.37755346	0.40285908	0.3759662	0.41407386	0.33657937	0.26735135	0.27321953	0.40893513	0.33904233	0.40519408	0.38856148	0.40961417	0.27765813	0.40358315	0.38587373	0.41379793	0.37147234	0.2971927	0.30511796	0.37505359	0.37502999	0.38841226	0.34095851	0.40378942	0.38870674	0.3917607	0.38920571	0.36141859	0.41042533	0.2434575	0.4154526	0.42047311	0.2774056	0.35373887	0.41563588	0.46670509	0.41298457	0.38396799	0.29683662
DU7A	0.17369969	0.27449022	0.40199576	0.27231414	0.1442671	0.05431789	0.0	0.38594725	0.37719733	0.26944165	0.27319282	0.41221839	0.40552535	0.41133441	0.2511866	0.20416221	0.41323468	0.26533419	0.39727332	0.07714966	0.26645273	0.44746829	0.25179165	0.26867372	0.20528676	0.2716312	0.42316221	0.25678628	0.31503262	0.20843782	0.27854163	0.44344805	0.30781966	0.38264229	0.3852357	0.37853009	0.29660383	0.47159304	0.2130504	0.34221533	0.38087718	0.22202612	0.23301697	0.28904006	0.26436742	0.26796432	0.257752	0.32803801	0.19652337	0.32057277	0.20107754	0.25075689	0.21109552	0.22311238	0.54355683	0.35723144	0.27397381	0.3206024	0.32567046	0.22448257	0.45642948	0.47841603	0.3060576	0.4779025	0.21452893	0.40777899	0.29830166	0.4055621	0.38995816	0.30926944	0.28585884	0.35344313	0.38224812	0.38627023	0.49304448	0.39593853	0.41813845	0.34543745	0.26104058	0.43504127	0.26220984	0.61211605	0.27106442	0.39894381	0.31280007	0.2916953	0.39507783	0.41207698	0.37467141	0.56091173	0.24800345	0.35472883	0.43401266	0.4059344	0.39447403	0.40486474	0.37404635	0.35774456	0.3893917	0.23937453	0.25503634	0.27700536	0.42125585	0.23338975	0.27441171	0.39140278	0.38321282	0.38568084	0.39689979	0.28853617	0.38035928	0.38490395	0.40898339	0.37625867	0.42142955	0.34784036	0.26987366	0.27482196	0.41136064	0.33974002	0.40670013	0.39725947	0.41407642	0.27455044	0.40731442	0.38871694	0.41648098	0.38024693	0.29115987	0.30973547	0.38337192	0.38168372	0.39389905	0.34299232	0.41032703	0.39541527	0.40078391	0.38981406	0.36481238	0.41608634	0.24497519	0.41373877	0.42135354	0.26978829	0.343919	0.42046543	0.46693596	0.41814894	0.38445402	0.30017579
FR7A	0.43587054	0.51890629	0.21743119	0.43975435	0.43110073	0.37968694	0.38594725	0.0	0.10999264	0.47202064	0.51829289	0.22538788	0.23352658	0.21465332	0.45504091	0.42005666	0.19194253	0.4723361	0.07904033	0.36940509	0.4683294	0.33375058	0.463507	0.43515471	0.42522435	0.43388893	0.23107996	0.43638421	0.47174395	0.44047029	0.44241878	0.30436838	0.45933769	0.1899145	0.19993605	0.20676414	0.46888766	0.35362735	0.35112411	0.3952984	0.53664641	0.43033399	0.33941748	0.45696885	0.45394039	0.46896921	0.44883397	0.52229488	0.35697788	0.39268866	0.44795165	0.46592436	0.43454889	0.46587127	0.40139186	0.55157337	0.48792904	0.52501687	0.42309703	0.45275982	0.24388265	0.29106444	0.38383685	0.32616483	0.43343132	0.15719746	0.26639667	0.14829249	0.17249465	0.19706669	0.42264141	0.15200048	0.14813915	0.1658237	0.46914329	0.1131194	0.18054262	0.15022242	0.38087919	0.18619866	0.39555209	0.57250278	0.22034539	0.14788212	0.18939312	0.27548631	0.14584318	0.12384883	0.14000834	0.54721592	0.36859294	0.16054564	0.19800593	0.16294253	0.44272812	0.15129897	0.15185896	0.14953567	0.20585957	0.23802122	0.36270775	0.38422071	0.1930896	0.37350266	0.405614	0.14361779	0.15175565	0.47235553	0.16459172	0.23104472	0.14730587	0.14459734	0.13055846	0.19295408	0.14998656	0.14461763	0.24562659	0.24074907	0.15555147	0.45872781	0.13864306	0.1335997	0.16497225	0.33718569	0.16323987	0.12483099	0.17803909	0.14485122	0.39414978	0.19458664	0.13701663	0.14649351	0.13121878	0.45881621	0.15957398	0.13407364	0.10599822	0.44442031	0.18470281	0.16310199	0.2287697	0.17358906	0.18094991	0.40184582	0.34007733	0.15672726	0.48802947	0.16371621	0.17776733	0.30683664
FR7C	0.43556508	0.51788677	0.21532501	0.44918533	0.43154923	0.37142132	0.37719733	0.10999264	0.0	0.4686056	0.51722741	0.23434476	0.2326716	0.20729158	0.44617229	0.42513334	0.20196909	0.47486726	0.10011455	0.36287203	0.46713726	0.35549528	0.46278394	0.44099977	0.43166281	0.44034197	0.2460399	0.44035181	0.48281259	0.44637431	0.45043202	0.32899584	0.47011235	0.19800042	0.20794411	0.2065763	0.47725054	0.37367505	0.35138165	0.41403972	0.53776275	0.42890363	0.34158536	0.46196245	0.45814895	0.46971871	0.45292511	0.5255133	0.35543736	0.39713484	0.44603245	0.4643237	0.43129623	0.46554667	0.43168494	0.55364815	0.48961136	0.52420757	0.42374011	0.44939022	0.28527709	0.33276374	0.40257923	0.33219941	0.43289914	0.18951252	0.28304611	0.19211189	0.18002095	0.20948883	0.41818595	0.1728646	0.17665411	0.1753528	0.48331087	0.15829288	0.21990448	0.18701078	0.37696039	0.2190548	0.38130087	0.58321734	0.23777621	0.19125684	0.20434348	0.28458587	0.18826126	0.15979373	0.17515044	0.55623964	0.36805022	0.19902782	0.21630063	0.20148367	0.45031888	0.17683521	0.18448892	0.16266781	0.24837441	0.24417598	0.34942451	0.37989117	0.23125576	0.35872178	0.40295792	0.19192459	0.18163943	0.48418291	0.1857327	0.23670428	0.17582137	0.1679636	0.17086886	0.2398872	0.1849367	0.18449931	0.24598755	0.24615933	0.18658913	0.45295575	0.18050392	0.16078266	0.20616987	0.34637445	0.19829861	0.15811995	0.21672491	0.17031384	0.38917218	0.20585218	0.16392983	0.18074317	0.17163818	0.45359805	0.1959236	0.17449658	0.13772498	0.46114105	0.22877817	0.19788825	0.23782424	0.20259906	0.21584063	0.39760304	0.35304917	0.19278264	0.49636873	0.18785859	0.18646879	0.30136888
TC7B	0.19211378	0.19073399	0.42731065	0.28373879	0.22058741	0.29389138	0.26944165	0.47202064	0.4686056	0.0	0.17716253	0.42942444	0.42756124	0.44320688	0.15381035	0.27408272	0.45577917	0.3368151	0.48364559	0.27244423	0.04380668	0.4674008	0.06169426	0.32516311	0.26323061	0.28535083	0.44516814	0.32520177	0.29306667	0.25980129	0.28217044	0.48943702	0.28060821	0.47267802	0.46558825	0.45586542	0.25800034	0.52125143	0.26533089	0.3522187	0.33261741	0.22769697	0.24160724	0.29853791	0.32248567	0.22520403	0.29566305	0.21184796	0.27095262	0.33689238	0.19122271	0.22635144	0.22629855	0.20336653	0.59704608	0.26823193	0.25243574	0.23369115	0.32369759	0.2562584	0.53900533	0.5502959	0.39747449	0.56493187	0.27133682	0.46613356	0.29407479	0.46814717	0.44042573	0.36633895	0.31354341	0.42466658	0.44951761	0.44187368	0.52197155	0.48137552	0.46650984	0.43341824	0.30902219	0.51187754	0.25579757	0.6282719	0.34410883	0.46760162	0.3675065	0.27198059	0.45844888	0.49744243	0.45644552	0.58343692	0.30641392	0.435756	0.51313759	0.47221969	0.39119494	0.46239979	0.4463452	0.43893831	0.41055177	0.31460538	0.27046871	0.32355911	0.46231232	0.2801349	0.3166248	0.45021521	0.44618761	0.46152723	0.44250456	0.33138478	0.44352687	0.46090564	0.48972708	0.40814082	0.50773142	0.43508575	0.32775833	0.32080929	0.46588715	0.34151339	0.49069696	0.48042912	0.47112999	0.35566171	0.47280771	0.47587519	0.46128559	0.46309396	0.30229702	0.37691222	0.45956725	0.46224967	0.45833298	0.37227509	0.475634	0.47606394	0.48745402	0.42472263	0.41025593	0.45841099	0.33062168	0.48039166	0.48366367	0.3006086	0.27766875	0.50062604	0.48496455	0.49440919	0.43313093	0.37667264
