	D7A	D7B	D7C	E-BA-2016-1	E-BA-2016-2	E-BA-2016-3	E-BL-2016-1	E-BL-2016-2	E-BL-2016-3	E-BP-2016-1	E-BP-2016-2	E-BP-2016-3	E-CB-2016-2	E-CB-2016-3	E-CR-2016-1	E-CR-2016-2	E-CR-2016-3	E-DU-2016-1	E-DU-2016-2	E-DU-2016-3	E-JP-2016-1	E-JP-2016-2	E-JP-2016-3	E-LH-2016-1	E-LH-2016-2	E-LH-2016-3	E-PM-2016-1	E-PM-2016-2	E-PM-2016-3	E-TB-2016-1	E-TB-2016-2	E-TB-2016-3	E-TL-2016-1	E-TL-2016-2	E-TL-2016-3	E-VP-2016-1	E-VP-2016-2	E-VP-2016-3	E-WC-2016-1	E-WC-2016-2	E-WC-2016-3	E-b-DU-1-Jul-a	E-b-DU-2-Jul-a	E-b-DU-3-Jul-a	E-b-WV-1-Aug	E-b-WV-2-Aug	E-b-WV-3-Aug	E-f-TL-1-Aug	E-f-TL-1-Jul-a	E-f-TL-2-Aug	E-f-TL-2-Jul-a	E-f-TL-3-Aug	E-f-TL-3-Jul-a	E-s-PM-1-Aug	E-s-PM-1-Jul-a	E-s-PM-2-Aug	E-s-PM-2-Jul-a	E-s-PM-3-Aug	E-s-PM-3-Jul-a	F7A	F7B	F7C	P7A	P7C	R-Ds-6-23-r1	R-Ds-6-23-r2	R-Ds-6-23-r3	R-J-5-26-r1	R-J-5-26-r2	R-J-5-26-r3	R-Jt-6-23-r1	R-Jt-6-23-r2	R-Jt-6-23-r3	R-Ls-6-23-r1	R-Ls-6-23-r2	R-Ls-6-23-r3	R-Mt-6-23-r1	R-Mt-6-23-r2	R-ds-4-28-r1	R-ds-4-28-r2	R-jt-4-28-r1	R-jt-4-28-r2	R-jt-4-28-r3	R-ls-4-28-r1	R-ls-4-28-r2	R-ls-4-28-r3	R-ls-5-26-r1	R-ls-5-26-r2	R-ls-5-26-r3	R-mt-4-28-r1	R-mt-4-28-r2	R-mt-4-28-r3	R-mt-5-26-r1	R-mt-5-26-r2	R-mt-5-26-r3	R-wp-4-28-r1	R-wp-4-28-r2	R-wp-4-28-r3	R-wp-5-26-r1	R-wp-5-26-r3	R-wp-6-23-r1	R-wp-6-23-r2	R-wp-6-23-r3	S-st-1-4-24-r2	S-st-1-4-24-r3	S-st-1-5-27-r1	S-st-1-5-27-r2	S-st-1-5-27-r3	S-st-1-6-19-r1	S-st-1-6-19-r2	S-st-1-6-19-r3	S-st-2-4-24-r1A	S-st-2-4-24-r1B	S-st-2-5-27-r1	S-st-2-5-27-r2	S-st-2-5-27-r3	S-st-2-6-19-r1	S-st-2-6-19-r2	S-st-2-6-19-r3	S-st-3-4-24-r1	S-st-3-4-24-r3	S-st-3-5-27-r1	S-st-3-5-27-r2	S-st-3-5-27-r3	S-st-3-6-19-r1	S-st-3-6-19-r2	S-st-3-6-19-r3	S-st-4-4-24-r1	S-st-4-4-24-r2	S-st-4-4-24-r3	S-st-4-5-27-r1	S-st-4-5-27-r2	S-st-4-5-27-r3	S-st-4-6-19-r1	S-st-4-6-19-r2	S-st-4-6-19-r3	S-st-5-4-24-r1	S-st-5-4-24-r2	S-st-5-4-24-r3	S-st-5-5-27-r1	S-st-5-5-27-r2	S-st-5-5-27-r3	S-st-5-6-19-r1	S-st-5-6-19-r2	S-st-5-6-19-r3	S-st-6-4-24-r1	S-st-6-4-24-r3	S-st-6-5-27-r1	S-st-6-5-27-r2	S-st-6-5-27-r3	S-st-6-6-19-r1	S-st-6-6-19-r2	S-st-6-6-19-r3	S-st-7-4-24-r1	T7A	T7B	T7C	TC7B	TC7C	TI7A	TI7B	Tca7A	Tca7B	Tca7C	WV7A	WV7B	WV7C
D7A	0.0	0.172725092745	0.202905335004	0.914162263651	0.935438757619	0.940344617527	0.999777153808	0.999969396967	0.999966820949	0.892450398293	0.885595296423	0.876327168639	0.968594292617	0.986301002627	0.998895207149	0.998382820785	0.997009100359	0.842323913627	0.847845765682	0.860690802503	0.854507985574	0.874498454252	0.84996319852	0.837377543331	0.819918735892	0.868097537226	0.98793759014	0.940410958904	0.942925454701	0.868366880146	0.846513293012	0.870782953825	0.99956579633	0.999476276984	0.999210383458	0.910312862109	0.873092545834	0.887929507616	0.828156848212	0.832577230503	0.863383385923	0.803820731172	0.826405489535	0.828544580578	0.614133550587	0.671622268304	0.729067463766	0.999103515088	0.999650705865	0.998862241384	0.999461680125	0.999194003385	0.99953266532	0.685544885785	0.837529372273	0.698831877364	0.807506769164	0.804822396279	0.784180552626	0.997742663657	0.99871534097	0.997444888418	0.712389380531	0.669267698161	0.998462974145	0.999091924262	0.998276580959	0.997566948922	0.998447082357	0.997824865414	0.994063772049	0.993415252369	0.993932540886	0.992093003967	0.998442708049	0.997965492641	0.99780073862	0.998608566592	0.998656329836	0.998856352317	0.989962889611	0.993850096092	0.994497558291	0.986611941757	0.9869964701	0.985874212371	0.998518912789	0.997846311809	0.998020503417	0.999367876262	0.994626888585	0.999663611134	0.998378165473	0.998467115988	0.997967479675	0.994937631622	0.994151988622	0.994678844436	0.998986068582	0.997346412439	0.997800653695	0.994976841281	0.982649551137	0.872052090284	0.869265123833	0.841459223686	0.847249659774	0.91416712475	0.925326535624	0.929052489792	0.930673279391	0.849314782318	0.81924495117	0.921040818023	0.940463924703	0.949017673501	0.892342335882	0.894765461778	0.898923054897	0.949534873236	0.941940381183	0.978923118398	0.978773801436	0.980279410064	0.924234843706	0.910211975085	0.947081337944	0.855976893285	0.868274109443	0.874201544052	0.840359230442	0.848173486287	0.825794337314	0.933483230279	0.927678441634	0.923500481129	0.924438883834	0.938992970514	0.935570929809	0.944299467504	0.966501265028	0.966836876799	0.928438491179	0.916620860664	0.91346722125	0.931954413316	0.964433434341	0.9463514377	0.923562793432	0.928139764861	0.93588868585	0.942908325288	0.93352922717	0.934807916182	0.990582865537	0.991369611348	0.990807379846	0.927273093868	0.896965079365	0.96022831891	0.980858687453	0.99295346144	0.989690638094	0.99505653096	0.536680511014	0.540876642759	0.51852659337
D7B	0.172725092745	0.0	0.135017927267	0.930535302384	0.944398443792	0.94643835974	0.999677601354	0.99993067591	0.999885987915	0.880072591622	0.8719605139	0.859972119406	0.947795209724	0.981508864692	0.99862701078	0.99893784944	0.99656634167	0.847090954828	0.834462817385	0.86045425897	0.839401056958	0.892425616571	0.845061102043	0.845246219209	0.80512132769	0.862395235465	0.985672675746	0.941832019571	0.947703430121	0.850170717011	0.835799207398	0.862125842915	0.999674473868	0.99943870678	0.99928485396	0.889568132518	0.848516837327	0.869918699187	0.832074747216	0.837269025994	0.881690547515	0.792815600411	0.812017269379	0.811722763972	0.595729076055	0.668659265585	0.706748982742	0.999057002569	0.999606924677	0.998951728802	0.999427999428	0.99928131878	0.999385560676	0.687646574127	0.842858703967	0.692673845032	0.811408079987	0.823181985973	0.789795468154	0.998667251206	0.998856826134	0.997906712173	0.735604893521	0.699604212786	0.999063789949	0.999214496601	0.99844423169	0.997738051806	0.99839023605	0.997895445745	0.993646091177	0.992670044195	0.99349418022	0.991744991343	0.998260896096	0.998295145574	0.998174867431	0.998590278561	0.998179577131	0.99867026555	0.988411417234	0.993822906297	0.993326659993	0.987325327165	0.987349250032	0.986700796797	0.998425796623	0.997922725384	0.99780371557	0.999534558995	0.994299004453	0.999309186253	0.998194968793	0.998926822725	0.997386775612	0.99511154777	0.993756324413	0.9944991781	0.999327892463	0.997644128832	0.997855450442	0.994633173695	0.991683031073	0.871027966647	0.855247067349	0.847172877769	0.847333548998	0.914210570968	0.934477178743	0.938861230329	0.939490594152	0.859337216035	0.824050101462	0.927981036427	0.949520383693	0.949537055593	0.893632789843	0.906056661685	0.906973374389	0.942704795544	0.936615720281	0.99026408665	0.997094513758	0.990694590516	0.930856932696	0.915642062268	0.953578144121	0.87472089219	0.886412490101	0.881477103748	0.849392238631	0.864222296519	0.839711738177	0.94093054966	0.932198411109	0.926635006178	0.917772940491	0.932652007146	0.928932233642	0.948116284566	0.975000265052	0.974554503933	0.933571272489	0.919098822325	0.914951721447	0.923896759834	0.952074125353	0.951244387155	0.920800030594	0.931091569994	0.944487852961	0.950762315806	0.942132483628	0.918623575913	0.989677946086	0.990633591203	0.990116827102	0.918505571335	0.882414166561	0.956919060052	0.965379874596	0.992423679715	0.989389095308	0.994514675966	0.567465581119	0.604647818976	0.562209590833
D7C	0.202905335004	0.135017927267	0.0	0.920863716014	0.942294563616	0.920394756398	0.999569905686	0.999924570998	0.999916590208	0.866586675808	0.859796514007	0.847520034655	0.969169124603	0.987476116312	0.998903041014	0.998732512635	0.996565513997	0.836105444845	0.826001313198	0.829180748775	0.821943539031	0.886453557747	0.819447176864	0.808769045808	0.784864814643	0.837007384166	0.985047399743	0.924739903144	0.929486070254	0.841209735682	0.812760736196	0.841229893861	0.999471542567	0.999302964451	0.999339743325	0.884127550524	0.843838420324	0.858304155884	0.82657260435	0.801133603239	0.866585212045	0.804759248931	0.809139315642	0.801185632919	0.58168238848	0.631425338019	0.681328645039	0.998909142093	0.999467962474	0.99886186324	0.999313505071	0.999130700752	0.999371173258	0.64843768313	0.814913607771	0.665703864561	0.782475596373	0.784279528506	0.770751122602	0.998433769459	0.998379315543	0.997747122684	0.741411741412	0.706212016449	0.998393498393	0.998930141106	0.998284554716	0.997686939182	0.998429228908	0.997806096252	0.992538113515	0.992467105809	0.992623972091	0.990602819154	0.997831835877	0.997412065456	0.997212543554	0.998116760829	0.998293650794	0.998772137937	0.987602056244	0.993044889443	0.99252252828	0.987800948815	0.988104985093	0.987143058662	0.998326585695	0.997838318034	0.998087519872	0.99911227154	0.99425915801	0.999322298087	0.998432411249	0.998511627907	0.997302140168	0.993901945441	0.993335146899	0.994480075107	0.999080832657	0.997041420118	0.997516509567	0.993713387627	0.978422744965	0.885983137407	0.866259522147	0.852118384374	0.836381404439	0.914310954064	0.920432810536	0.926679160873	0.926311642908	0.878628031602	0.833923877015	0.923958246501	0.940425531915	0.948068877068	0.888149412872	0.890790319498	0.882231895528	0.943339850234	0.9391989479	0.976357836699	0.974797095258	0.978962877086	0.919391100114	0.902687604927	0.945452458709	0.878956486551	0.893844060041	0.901015582913	0.858849124812	0.866939789915	0.834079031926	0.930011359126	0.921737273051	0.916321338859	0.919532951997	0.936596933873	0.930364832019	0.942258048563	0.964239104974	0.964565401994	0.919280969129	0.907454273553	0.906895571011	0.923630749476	0.951471661396	0.937688655634	0.918219482417	0.918817593758	0.930462690559	0.937727445549	0.924822179534	0.921628319966	0.988204189546	0.989670777628	0.989104486748	0.929595947968	0.894410405407	0.956261335358	0.983940439299	0.992028669994	0.988600756348	0.993688723058	0.550481988838	0.604476211917	0.54801304793
E-BA-2016-1	0.914162263651	0.930535302384	0.920863716014	0.0	0.196747611029	0.807504207504	0.999635738136	0.999914155722	0.999475470534	0.902020513611	0.865371321812	0.885762081784	0.97018552797	0.968715648493	0.997458050264	0.998324602093	0.993802000876	0.892937153638	0.906592044207	0.929097087202	0.89786303848	0.825562341725	0.862849395077	0.871296922997	0.876360237666	0.902702702703	0.749239607976	0.801702737375	0.790985165462	0.928041399877	0.913041968966	0.928491201797	0.999646897451	0.999421102343	0.999632634318	0.950347025644	0.937387693168	0.936631193546	0.738118825136	0.856512839288	0.745621819903	0.946273388626	0.945763144461	0.940546769318	0.907600638211	0.908435096905	0.929545930448	0.999538670285	0.999563145896	0.99949536719	0.999600697448	0.999670815239	0.999534245866	0.806770264595	0.881937406855	0.895668403453	0.874889176344	0.87897047087	0.871444432695	0.999364336382	0.999570987301	0.999078329216	0.935786489335	0.912450224165	0.998648466009	0.999186349265	0.998186118471	0.996179902707	0.998484980193	0.998827667057	0.99527566495	0.995566100113	0.995847337754	0.992742124294	0.998765193903	0.998778587898	0.998331405601	0.998950946246	0.998963149306	0.99904396013	0.996215604442	0.996340347667	0.996511483035	0.998315726437	0.997965611481	0.99758849367	0.998724770239	0.998459788636	0.998587416066	0.999746211297	0.995623156164	0.999472900497	0.997358660841	0.9992390966	0.998316624833	0.994993045897	0.996079476248	0.993616475573	0.999294388532	0.997905612957	0.998314646861	0.994260291237	0.985904951977	0.94362994304	0.945378740549	0.959568230729	0.951158827896	0.957759256981	0.973795247613	0.964225813255	0.963138901914	0.948183531617	0.928544652383	0.982424237569	0.96697365374	0.983873560139	0.979828175918	0.957351893904	0.953949320515	0.964744942461	0.962441314554	0.973487178892	0.973729704078	0.973512591552	0.960531907175	0.946752521592	0.96740220217	0.954222819799	0.938323383674	0.957182627111	0.986335783746	0.973004087762	0.959370627259	0.961549153259	0.961418778491	0.94776034776	0.935898950429	0.959569291695	0.962130419241	0.915265874933	0.91351452847	0.92078467007	0.917589282401	0.923247847422	0.903139527479	0.93369225721	0.975357774562	0.953738932976	0.948642863259	0.909995709098	0.885639998742	0.881071286516	0.866491620561	0.973541633019	0.994107817045	0.994569143102	0.994453364472	0.991150442478	0.989770803568	0.989017143213	0.996156836284	0.995546577723	0.994762515243	0.996520446097	0.926118459346	0.935046002333	0.928060121751
E-BA-2016-2	0.935438757619	0.944398443792	0.942294563616	0.196747611029	0.0	0.852516051491	0.999485066941	0.999733730317	0.999406826652	0.929160796941	0.897908050835	0.916126801846	0.977916167665	0.975270479134	0.996752093377	0.998036889224	0.994258213944	0.915881703216	0.927100345421	0.948673297718	0.930450642146	0.856890175269	0.894871685384	0.913518123667	0.903172964416	0.922210203714	0.800069805813	0.844673539519	0.834223541048	0.948604697852	0.936966009411	0.950898728628	0.99921261666	0.999336489263	0.999333837226	0.97057265806	0.962684072276	0.965245523559	0.719766204948	0.909280672361	0.696578164482	0.954619047048	0.954996883992	0.949867783164	0.936422826503	0.937593796898	0.955194353847	0.99937520971	0.999558036753	0.999310082314	0.999726838152	0.999433007676	0.999511236017	0.855482049437	0.925490736449	0.930151641047	0.922140999853	0.914111600821	0.916524297109	0.999194611217	0.999298305044	0.998855230715	0.948288346775	0.927735922698	0.998804243545	0.999149461832	0.998178841008	0.996538881156	0.99811272197	0.999006060271	0.996641742096	0.996082882642	0.997371586404	0.993505261631	0.998983133276	0.998924314789	0.997892099957	0.99907270951	0.998619557798	0.99864751979	0.996275820258	0.996661466459	0.99756926766	0.997107023411	0.997731272396	0.997935407757	0.998939176222	0.998373364356	0.998410652162	0.999675960703	0.995494409925	0.999413198519	0.997663912271	0.998934330639	0.998359869799	0.995949230354	0.995654277396	0.994033898305	0.99954943454	0.998079408173	0.998404718167	0.996462474232	0.98922786704	0.942972858843	0.946884598508	0.974150128102	0.967652648866	0.972295560707	0.983675295995	0.980106502342	0.980257518475	0.906748314249	0.876350701085	0.985489968014	0.981648440437	0.986289178072	0.98390638112	0.979920139526	0.978410891892	0.971053918937	0.965004008505	0.98851086209	0.989488505667	0.986903798076	0.976119840311	0.965986254154	0.980468127172	0.965658127208	0.938606469147	0.95829963568	0.987462894479	0.984373939472	0.973390680492	0.976505425571	0.978420725721	0.966295306969	0.925635720918	0.957392362228	0.961480062181	0.882951537131	0.91644024018	0.886413826212	0.936388508892	0.942019629402	0.91633238894	0.932008588389	0.979033626222	0.968697654941	0.95612998865	0.924141115626	0.862975432884	0.841084107442	0.884064273943	0.969592755703	0.99869538251	0.999016996811	0.998651794272	0.991155989456	0.989627161008	0.989507992365	0.995278237868	0.998657312611	0.998762912984	0.999449855587	0.947515016685	0.953039992364	0.949415006471
E-BA-2016-3	0.940344617527	0.94643835974	0.920394756398	0.807504207504	0.852516051491	0.0	0.998047510576	0.999389704312	0.999422320107	0.732383858935	0.713937324716	0.728008634647	0.972717546362	0.989100947123	0.996962165148	0.998693359466	0.985888274684	0.89018714402	0.866797662754	0.820882188721	0.785862133852	0.929500610135	0.789267336437	0.822616840667	0.858816303251	0.819530876017	0.729742033384	0.4844091187	0.529280406576	0.809174127351	0.778536918647	0.756396882862	0.999452204875	0.999579227883	0.999645478073	0.802233156699	0.815320527656	0.809629747338	0.864431137725	0.813289210137	0.880859439068	0.922877337389	0.901975356933	0.892336087186	0.91590504451	0.911119968115	0.897435897436	0.99956256664	0.999612488928	0.999123217208	0.999736897495	0.999665551839	0.999203405442	0.892955986073	0.847749941622	0.899308111291	0.850757575758	0.85104254828	0.87626190538	0.99844217348	0.999024538942	0.998585227827	0.924089135753	0.921957405113	0.99601250623	0.998773231921	0.998062195559	0.994981767087	0.99829508801	0.996635232656	0.98893016908	0.990452386903	0.990034054487	0.988782414045	0.997981389395	0.998005195769	0.991034836066	0.994306860233	0.998361083175	0.998496894901	0.979407979408	0.979084783829	0.977526053466	0.995756150714	0.995592930701	0.996429792244	0.998774168385	0.99822338783	0.998107315227	0.999002272601	0.993155643304	0.999122897534	0.998474134723	0.999234118026	0.996667800068	0.97916914653	0.991436768925	0.991518459823	0.998326459865	0.99773893382	0.996108476225	0.992830792789	0.965720208788	0.944832916237	0.926793841387	0.951818844789	0.93736973383	0.958726503911	0.957269962408	0.955993978798	0.959130791308	0.955442252272	0.922258414767	0.973229351941	0.96564250642	0.977079354055	0.954226015779	0.941394101877	0.925431788911	0.937512883183	0.959879206212	0.970463446475	0.959778783308	0.974770972229	0.963611859838	0.958639744952	0.972216342083	0.94175450527	0.949568025241	0.958739169032	0.967123674912	0.963575718757	0.944996303083	0.957242946412	0.951927310571	0.935372378202	0.961904500699	0.964517998583	0.952460850112	0.95297231774	0.952271155176	0.959562346928	0.935309726416	0.939575935883	0.94871705053	0.951594331267	0.890727690237	0.951388280634	0.953707306664	0.946635174916	0.937830415379	0.940620024351	0.904487794478	0.933578621224	0.992396133938	0.991497276471	0.992858568609	0.992403657054	0.987827066366	0.986302883022	0.992399355878	0.994806094183	0.995947181198	0.993560593488	0.948019128961	0.961528216887	0.949324589341
E-BL-2016-1	0.999777153808	0.999677601354	0.999569905686	0.999635738136	0.999485066941	0.998047510576	0.0	0.670780594047	0.630022174616	0.997803002563	0.998040752351	0.997690383011	0.990908532465	0.995504739568	0.985938733051	0.98831641448	0.979301545296	0.998650244643	0.998027289167	0.998216409037	0.998922776543	0.999480433602	0.998136163603	0.99855729596	0.998525549463	0.997183459224	0.998180314309	0.998899486427	0.998874733754	0.997765006386	0.997732075666	0.996712040508	0.928966685488	0.928251121076	0.951248294428	0.998311880143	0.9978101575	0.997042449548	0.998684390846	0.998445785336	0.998503146794	0.999630097716	0.999673135853	0.999630757869	0.9996933456	0.99972430905	0.999497276917	0.971369797391	0.975740624465	0.970717865121	0.971341892844	0.977974000491	0.957217061999	0.999436936937	0.999653823519	0.999309868875	0.999738476626	0.998656252625	0.999626098336	0.900599883893	0.912533501498	0.931438881371	0.999588420908	0.999583444911	0.957576624243	0.933833831741	0.95111308634	0.946529634388	0.938318287092	0.946318090896	0.901850680165	0.915364850976	0.914740256397	0.918332514417	0.923100273196	0.922469182809	0.947542337877	0.97904540163	0.905048394608	0.909408318061	0.961167166621	0.977504179967	0.977073906486	0.913862914737	0.878895445325	0.913244412493	0.931754848249	0.942413024182	0.917929130826	0.937938764675	0.963591414766	0.95392047566	0.942298195632	0.92366978527	0.896822033898	0.967031568228	0.967042990654	0.971964567986	0.934531040215	0.940072439908	0.910634551286	0.923744754739	0.932415229719	0.999849776543	0.999751355115	0.997494142558	0.998502889771	0.998236273965	0.931259282119	0.934545928679	0.942222593304	0.999484403197	0.999678921175	0.980373594403	0.984040183092	0.979614242921	0.982523787068	0.981607290804	0.98273440444	0.976451976026	0.987871000094	0.926774314683	0.921689354947	0.949558227704	0.999382186374	0.999260226284	0.999677826402	0.993452277845	0.993254131844	0.993585924527	0.998880275624	0.999412175319	0.999116549964	0.999149265275	0.998567804239	0.998541990669	0.999582358837	0.999804526302	0.999665002847	0.999799388134	0.999677901086	0.999837921068	0.999859240839	0.999668015354	0.999535755736	0.999818470615	0.999306699021	0.97649064561	0.99959275615	0.997488576511	0.99975511632	0.999847021704	0.999615743536	0.999665484713	0.970168185662	0.963934874812	0.972181185936	0.999694754354	0.999201384267	0.999693122099	0.999933244326	0.980885931225	0.983279642407	0.966456589868	0.999772109453	0.999765420659	0.999776532746
E-BL-2016-2	0.999969396967	0.99993067591	0.999924570998	0.999914155722	0.999733730317	0.999389704312	0.670780594047	0.0	0.261903750584	0.999472666549	0.999441200302	0.999279099429	0.994833795275	0.997524873394	0.974770974213	0.97937249988	0.971853986551	0.999161910843	0.999431935551	0.999517413335	0.999603758632	0.99968164019	0.99949741167	0.999498583498	0.999383623346	0.999058197834	0.999447327213	0.999763520704	0.999647281866	0.99877772402	0.999097291876	0.998486801547	0.932735827117	0.940093512566	0.961845533238	0.999532663484	0.999381800198	0.999186864738	0.999192472439	0.999386140951	0.999037574688	0.99992441421	0.999955510077	0.999952544786	0.999886982237	0.999878780532	0.999819612618	0.964013865561	0.973809824018	0.963361626714	0.971566458177	0.971428104949	0.96319677636	0.999904285612	0.999918972572	0.999699319173	1.0	0.999752979683	0.999896412417	0.90641934544	0.929953634517	0.94654301565	0.999959705853	0.999926046443	0.9723093251	0.92895838824	0.944284930119	0.95349025974	0.936585288169	0.963788831713	0.932964799965	0.925857337666	0.927383059418	0.927537702036	0.932679008848	0.932289083375	0.97428938723	0.990777866881	0.873311317923	0.844863071237	0.97670943474	0.987156999732	0.990468051538	0.922927628258	0.906362056277	0.909734081483	0.935299740543	0.950202489876	0.916367721129	0.960352658295	0.970111121372	0.964404243977	0.938218764102	0.924324324324	0.915039242607	0.982592357216	0.967007807313	0.972034682477	0.96561461794	0.948817874773	0.930797039077	0.944974336596	0.950303866213	0.99983725062	0.999802296654	0.997706696446	0.998562683675	0.998361969198	0.936233166496	0.936628581903	0.945224229755	0.999563863683	0.999690066636	0.973668730217	0.974994711233	0.97167289085	0.982380413247	0.983841662404	0.985061405275	0.982942190898	0.98887214834	0.922967856986	0.948337695066	0.948032610818	0.999441262746	0.999127018769	0.9997472966	0.993862598934	0.99309645074	0.9943643829	0.998868414338	0.999510456646	0.999166697303	0.999501378135	0.998702328599	0.998474793529	0.999501684523	0.999786786066	0.999800451479	0.999880281339	0.999797253917	0.999788397854	0.999841533951	0.999767015173	0.99966005962	0.999876063146	1.0	0.979648615829	0.999757712809	0.997866790033	0.999845458409	0.99989007063	0.999789151863	0.999841184762	0.94645604352	0.927714646465	0.946679487577	0.999325581395	0.999267812743	0.999828134399	0.99940522215	0.951409792449	0.958163172702	0.926205670894	0.999902334212	0.999848682593	0.999927822154
E-BL-2016-3	0.999966820949	0.999885987915	0.999916590208	0.999475470534	0.999406826652	0.999422320107	0.630022174616	0.261903750584	0.0	0.99924294563	0.999218673699	0.999161073826	0.997289577383	0.999076983155	0.984197028857	0.988665978696	0.984685226713	0.999245115453	0.998870862305	0.999441427463	0.999537312446	0.999168802383	0.999423963134	0.999310602361	0.999137652258	0.99890418023	0.99832696854	0.999677532045	0.999503574265	0.999005760739	0.999080618284	0.998823990592	0.919645843581	0.920296960359	0.948544282959	0.998392476791	0.999266808417	0.999182186536	0.9987666217	0.999463533703	0.999285714286	0.999874597668	0.999899699097	0.999946049473	0.9998333854	0.999954978277	0.999898154042	0.96742120569	0.964078266558	0.966907749686	0.962731494754	0.972443257677	0.957934148222	0.999891058638	0.999864535356	0.999614337021	0.999956517013	0.999926772115	0.99931880109	0.906142940251	0.931960950764	0.947677677135	0.999955117704	0.999918390664	0.973614775726	0.942616727825	0.955564478351	0.958602904583	0.94837055389	0.964283778657	0.935615462119	0.930971007823	0.931577298114	0.931760180493	0.938839033802	0.934908666655	0.97253683472	0.990182666774	0.876212364004	0.846269881763	0.977652637819	0.986976157967	0.990059171598	0.924746916003	0.902158567079	0.910870077812	0.935471565233	0.949931813754	0.925807738333	0.960934602547	0.969048414023	0.965372369487	0.947042833003	0.930643975536	0.92265294454	0.98193913295	0.970636849781	0.974194487225	0.960961154416	0.954109645169	0.931450844154	0.945503960603	0.949961285327	0.999883482136	0.999892130953	0.997773530215	0.998737113756	0.998470948012	0.940700648308	0.941949687993	0.949953513083	0.999561114768	0.999785177229	0.980200543015	0.984060984061	0.980354780113	0.985540482761	0.987329264749	0.98582832541	0.983013630526	0.988992539669	0.932679707605	0.947947173565	0.954750071557	0.999484221242	0.999315570765	0.999822022492	0.994475969098	0.993965679804	0.994973169025	0.999153588432	0.999608497661	0.999242117367	0.999493482309	0.998879917861	0.998974485917	0.999724887376	0.999888360669	0.999893485294	0.999894914934	0.999737178492	0.999932918171	0.999896606986	0.999716981132	0.999579890772	0.999932744851	0.999925771971	0.978994048314	0.999787193292	0.998157898354	0.999944884602	1.0	0.999922838018	0.99973509349	0.95856977767	0.952993262753	0.96020470002	0.999728146702	0.999735462857	0.999662439118	0.999691392042	0.970679326055	0.974142851707	0.960802844156	0.999791769697	0.999622506556	0.999718143849
E-BP-2016-1	0.892450398293	0.880072591622	0.866586675808	0.902020513611	0.929160796941	0.732383858935	0.997803002563	0.999472666549	0.99924294563	0.0	0.303912186884	0.216629711752	0.938076604496	0.975982482425	0.997494312749	0.978743131092	0.977809773863	0.693280977312	0.63655685441	0.597052871893	0.44366115798	0.830475935351	0.518926865123	0.651708522026	0.643732406027	0.662627939142	0.933713814206	0.811549400272	0.823383084577	0.50040009414	0.510021048778	0.475537938845	0.999049454757	0.999330700756	0.998917822117	0.554940910234	0.520871143376	0.534016775396	0.711849607068	0.618315590448	0.754961065059	0.893219464664	0.882278669043	0.870309714333	0.889456121838	0.882558545963	0.879724955362	0.999367422246	0.9994131925	0.999100593046	0.999542810698	0.999629826713	0.999085086917	0.946307595203	0.880663688577	0.936849483091	0.871379717338	0.941782729805	0.883246440746	0.99725036612	0.997248887848	0.997072640997	0.917365307349	0.906438910765	0.995732331854	0.997851686824	0.99783589289	0.99257695015	0.995666450734	0.993653444676	0.980822609134	0.981823894811	0.983389428315	0.988716502116	0.995903298797	0.995278246206	0.989752046646	0.994118635523	0.997313928502	0.996995052198	0.97267654416	0.973480238294	0.969349895144	0.990746860542	0.988873617383	0.992159303049	0.996848054489	0.996135186251	0.996016366865	0.995670995671	0.994461957911	0.997458070626	0.997459303486	0.997803016929	0.99532057323	0.978089733003	0.987624048004	0.990073513545	0.995689178733	0.996430563302	0.994686907021	0.993753530252	0.984846349027	0.907085285512	0.876590658761	0.897430287117	0.869275589762	0.920576009501	0.921510128913	0.921296368851	0.922422920209	0.921447060465	0.86356330734	0.939217029112	0.92516402227	0.93196904106	0.90930341281	0.894576209813	0.88345341929	0.901591076383	0.93435646702	0.957290570981	0.967214525428	0.963010483492	0.953921907679	0.948732778386	0.963793260296	0.921472841168	0.931031974982	0.931056526764	0.897577413226	0.910093924623	0.868065495384	0.947427685378	0.941709365076	0.913175094599	0.934899374032	0.944846991125	0.927085512026	0.913756401367	0.930040279839	0.930946124381	0.914461279088	0.912928447323	0.919874097643	0.92003955033	0.85277301315	0.942676107248	0.934369986425	0.928852168387	0.909028395082	0.919302988237	0.872090930131	0.90657557115	0.996046640755	0.997281911893	0.996900025833	0.971871597964	0.957795964739	0.972161839983	0.987782679789	0.997679518925	0.99780825485	0.997967608765	0.940112074633	0.949790222547	0.938650118276
