	D7A	D7B	D7C	E-BA-2016-1	E-BA-2016-2	E-BA-2016-3	E-BL-2016-1	E-BL-2016-2	E-BL-2016-3	E-BP-2016-1	E-BP-2016-2	E-BP-2016-3	E-CB-2016-2	E-CB-2016-3	E-CR-2016-1	E-CR-2016-2	E-CR-2016-3	E-DU-2016-1	E-DU-2016-2	E-DU-2016-3	E-JP-2016-1	E-JP-2016-2	E-JP-2016-3	E-LH-2016-1	E-LH-2016-2	E-LH-2016-3	E-PM-2016-1	E-PM-2016-2	E-PM-2016-3	E-TB-2016-1	E-TB-2016-2	E-TB-2016-3	E-TL-2016-1	E-TL-2016-2	E-TL-2016-3	E-VP-2016-1	E-VP-2016-2	E-VP-2016-3	E-WC-2016-1	E-WC-2016-2	E-WC-2016-3	E-b-DU-1-Jul-a	E-b-DU-2-Jul-a	E-b-DU-3-Jul-a	E-b-WV-1-Aug	E-b-WV-2-Aug	E-b-WV-3-Aug	E-f-TL-1-Aug	E-f-TL-1-Jul-a	E-f-TL-2-Aug	E-f-TL-2-Jul-a	E-f-TL-3-Aug	E-f-TL-3-Jul-a	E-s-PM-1-Aug	E-s-PM-1-Jul-a	E-s-PM-2-Aug	E-s-PM-2-Jul-a	E-s-PM-3-Aug	E-s-PM-3-Jul-a	F7A	F7B	F7C	P7A	P7C	R-Ds-6-23-r1	R-Ds-6-23-r2	R-Ds-6-23-r3	R-J-5-26-r1	R-J-5-26-r2	R-J-5-26-r3	R-Jt-6-23-r1	R-Jt-6-23-r2	R-Jt-6-23-r3	R-Ls-6-23-r1	R-Ls-6-23-r2	R-Ls-6-23-r3	R-Mt-6-23-r1	R-Mt-6-23-r2	R-ds-4-28-r1	R-ds-4-28-r2	R-jt-4-28-r1	R-jt-4-28-r2	R-jt-4-28-r3	R-ls-4-28-r1	R-ls-4-28-r2	R-ls-4-28-r3	R-ls-5-26-r1	R-ls-5-26-r2	R-ls-5-26-r3	R-mt-4-28-r1	R-mt-4-28-r2	R-mt-4-28-r3	R-mt-5-26-r1	R-mt-5-26-r2	R-mt-5-26-r3	R-wp-4-28-r1	R-wp-4-28-r2	R-wp-4-28-r3	R-wp-5-26-r1	R-wp-5-26-r3	R-wp-6-23-r1	R-wp-6-23-r2	R-wp-6-23-r3	S-st-1-4-24-r2	S-st-1-4-24-r3	S-st-1-5-27-r1	S-st-1-5-27-r2	S-st-1-5-27-r3	S-st-1-6-19-r1	S-st-1-6-19-r2	S-st-1-6-19-r3	S-st-2-4-24-r1A	S-st-2-4-24-r1B	S-st-2-5-27-r1	S-st-2-5-27-r2	S-st-2-5-27-r3	S-st-2-6-19-r1	S-st-2-6-19-r2	S-st-2-6-19-r3	S-st-3-4-24-r1	S-st-3-4-24-r3	S-st-3-5-27-r1	S-st-3-5-27-r2	S-st-3-5-27-r3	S-st-3-6-19-r1	S-st-3-6-19-r2	S-st-3-6-19-r3	S-st-4-4-24-r1	S-st-4-4-24-r2	S-st-4-4-24-r3	S-st-4-5-27-r1	S-st-4-5-27-r2	S-st-4-5-27-r3	S-st-4-6-19-r1	S-st-4-6-19-r2	S-st-4-6-19-r3	S-st-5-4-24-r1	S-st-5-4-24-r2	S-st-5-4-24-r3	S-st-5-5-27-r1	S-st-5-5-27-r2	S-st-5-5-27-r3	S-st-5-6-19-r1	S-st-5-6-19-r2	S-st-5-6-19-r3	S-st-6-4-24-r1	S-st-6-4-24-r3	S-st-6-5-27-r1	S-st-6-5-27-r2	S-st-6-5-27-r3	S-st-6-6-19-r1	S-st-6-6-19-r2	S-st-6-6-19-r3	S-st-7-4-24-r1	T7A	T7B	T7C	TC7B	TC7C	TI7A	TI7B	Tca7A	Tca7B	Tca7C	WV7A	WV7B	WV7C
D7A	0.0	0.286690807	0.294334808507	0.562543358383	0.604340421016	0.508487308355	0.819344709028	0.817828986577	0.835816720014	0.525232415655	0.53752717045	0.511379014813	0.707341793505	0.768750299243	0.785889705874	0.803398527599	0.773581994667	0.550498266933	0.579741338156	0.490267867905	0.499978297815	0.550963493886	0.504993672893	0.513110681798	0.482820663788	0.492517397471	0.776343168206	0.527765183012	0.524479478115	0.558584121979	0.543020760794	0.570347463708	0.809768245234	0.812018828247	0.812027274726	0.512703399734	0.505327175073	0.514289200044	0.545370644534	0.505358371971	0.550716267248	0.410142628579	0.414791532233	0.424986223859	0.382783991683	0.398120878802	0.377175232452	0.795193126362	0.83782853911	0.794083961802	0.837525149869	0.801216499098	0.775779879821	0.496047950735	0.404684994231	0.479253776756	0.387682305761	0.520215165505	0.400833242223	0.755210128162	0.809533687609	0.796967559571	0.442060169651	0.369148628307	0.763872356477	0.837198266971	0.807273340289	0.820719539254	0.838849153214	0.845452706253	0.799554613879	0.819048243495	0.804468342213	0.818858513547	0.826961640267	0.830832354483	0.798715701972	0.794802816848	0.839606365323	0.841128680337	0.783043423749	0.77005718584	0.768321429871	0.82442093719	0.821692100237	0.824549954546	0.859367603571	0.843941831462	0.832876101375	0.829654809627	0.812607378469	0.838054554632	0.848109014782	0.857007930579	0.842732887352	0.783846658274	0.810158067726	0.803670025676	0.829649154086	0.848547212605	0.839335920403	0.821456284731	0.819115968027	0.681448878382	0.681115342429	0.704167246352	0.682667838825	0.708532044337	0.77689006173	0.78023984325	0.779337115628	0.687329723534	0.663550510652	0.78505022996	0.782584627374	0.78318375496	0.755341444537	0.755341618123	0.758897746084	0.759920120884	0.770213042673	0.823537807701	0.829979270259	0.820654287271	0.632189231849	0.671016236538	0.654267536294	0.733964579893	0.746807058268	0.730487831165	0.672839863631	0.66656804309	0.676056692493	0.648850288754	0.66270377087	0.675142471066	0.695154014611	0.705876778417	0.674615131157	0.691404097113	0.710443814957	0.724281847625	0.646702147953	0.647991564779	0.642339322085	0.680827399893	0.638338888225	0.768139451137	0.682125298485	0.705079615381	0.658750541758	0.664885999516	0.654343747413	0.679833738342	0.755012630097	0.787062130354	0.768918030234	0.59883312388	0.619195377388	0.684309988767	0.672678276787	0.753454953821	0.741684156758	0.758680929239	0.371548521069	0.307601681939	0.341357354288
D7B	0.286690807	0.0	0.31128079479	0.54501617517	0.585270028868	0.527979054117	0.81990915179	0.807698669879	0.820093329169	0.518487629407	0.52163596255	0.509930929539	0.665449327944	0.709042549907	0.771275264856	0.789816568293	0.749778086921	0.558197954369	0.555900516009	0.515230594724	0.533695057578	0.529694904348	0.506682470342	0.525384309495	0.500890862904	0.492447394536	0.741624053697	0.545808521697	0.525486861448	0.560330911286	0.530738547447	0.562435162225	0.819485422886	0.801113136229	0.802783000007	0.514626278226	0.509431868889	0.513864104462	0.562319453732	0.528634289258	0.567081999716	0.429002127569	0.414301086793	0.445477559888	0.376315078501	0.440552473582	0.424099827847	0.797713076561	0.839762873698	0.810789055136	0.842537832341	0.813185112371	0.78529405988	0.487529682625	0.434123950589	0.462272588943	0.393628219548	0.541907423789	0.372413168356	0.762348852466	0.813570119034	0.804744094309	0.431216265693	0.396025739994	0.771048502508	0.831738395297	0.81299999739	0.821239360085	0.832376770168	0.843457972344	0.792060527152	0.818448604751	0.797793932865	0.827798998134	0.824191508043	0.827297389746	0.802879980099	0.792970560269	0.830913063825	0.830952765323	0.779346726078	0.765242396949	0.750321725935	0.811806094997	0.810806583808	0.821114520042	0.855175428543	0.846796039974	0.82442024536	0.838130480772	0.828084141338	0.82458362023	0.838343005714	0.856638130615	0.838888661269	0.785670310771	0.8025712061	0.799148048837	0.828724920081	0.842871842502	0.827682155804	0.827189854872	0.823375208302	0.676323327616	0.677004826597	0.699710654935	0.681013003163	0.707053579598	0.769695243963	0.76737391854	0.76798653462	0.673053122344	0.656588557913	0.763780106604	0.766336626419	0.764102275808	0.751130735943	0.732763211054	0.741064682768	0.746531797261	0.761143679393	0.81193912818	0.821490361159	0.801329710055	0.66502076802	0.673183225392	0.638644081908	0.73510296621	0.746514954792	0.725677661186	0.669680851589	0.647855333902	0.665156876821	0.651685306449	0.678555945428	0.680161535607	0.688414463678	0.696195458128	0.674880373931	0.67890773162	0.688711858592	0.713299287771	0.66293051528	0.64613014695	0.655353134258	0.671174896723	0.656366948217	0.755865503342	0.676672901555	0.703457406942	0.668439481062	0.666702221704	0.660912470694	0.662245159872	0.772955166369	0.783700172614	0.77574625813	0.587332640199	0.61341222999	0.653890625281	0.707027014125	0.755342518827	0.755164040917	0.744654711119	0.359585658056	0.326088294252	0.341739392754
D7C	0.294334808507	0.31128079479	0.0	0.593897682225	0.638147069946	0.545019705208	0.792399025657	0.807754070863	0.811997998639	0.539700650486	0.558529658398	0.550293893982	0.695671603304	0.765962082569	0.755004379248	0.772945388324	0.736522813302	0.583105373061	0.585314052462	0.507676793126	0.536662705221	0.589896615375	0.526391905344	0.528214573158	0.524627814847	0.547654363342	0.789157502462	0.557634405179	0.564322081326	0.587469877179	0.553724321593	0.581622703331	0.781610584637	0.783933700845	0.784445919492	0.553378376905	0.547944052354	0.525227896189	0.579632423501	0.532228607362	0.582726318362	0.457655651678	0.469445051828	0.447571043935	0.410401758896	0.388101773615	0.385516341673	0.765847341034	0.807931612694	0.780342850861	0.817023916592	0.772722892248	0.748582720098	0.523571289445	0.458012852737	0.481695484744	0.41877474506	0.521106432851	0.428622874621	0.750193219629	0.782037679467	0.796407556692	0.423795069597	0.39454864573	0.759598967082	0.828889835822	0.794157132904	0.803253876967	0.818528573451	0.827873533124	0.775027364202	0.800140806249	0.781268069333	0.811695160216	0.802585034695	0.815125003288	0.772235886291	0.769027116361	0.825424726631	0.821999513123	0.759725772516	0.742829903192	0.746974500957	0.802152138719	0.80780114973	0.809743260443	0.841210557338	0.83286581778	0.818432805927	0.810152057744	0.814793977133	0.816573030133	0.826792784161	0.839809270534	0.822747618464	0.768529689558	0.802857006504	0.79086289531	0.811684026549	0.832470337971	0.813636522368	0.80014176376	0.797682150433	0.66446471222	0.674022421256	0.703041429292	0.676921476046	0.700206534596	0.762643225608	0.764370342234	0.765770879984	0.679862563779	0.641374604358	0.76977398101	0.772526782352	0.763288407009	0.741096902112	0.739305282048	0.73560569098	0.747222123443	0.755835969858	0.803232819124	0.808217283827	0.799119410868	0.648175352204	0.625406591258	0.648574734686	0.728691414005	0.739237664621	0.713180514456	0.659423577705	0.64950320978	0.671365119631	0.640090649007	0.635302333938	0.673665000867	0.68743771752	0.702185058776	0.667361267098	0.687466036518	0.707697230314	0.717187145517	0.654623250662	0.635458070612	0.62369674421	0.67046857796	0.636931775789	0.755878911027	0.683196607425	0.709466099396	0.665842650188	0.669043550883	0.65106884119	0.689463660154	0.720800263913	0.75653949557	0.740900765431	0.624617185266	0.637565333413	0.698826571109	0.716831034492	0.713205718145	0.712246230463	0.721032628266	0.345480276121	0.292417816654	0.341230512172
E-BA-2016-1	0.562543358383	0.54501617517	0.593897682225	0.0	0.356821177314	0.42269331134	0.791711873285	0.79463952698	0.789522229915	0.4641962634	0.502909833853	0.457365460452	0.612362683851	0.67619913261	0.73989439394	0.767475848464	0.703674840801	0.461945999064	0.441155756889	0.450675217578	0.466212359169	0.419536224761	0.470224127251	0.447014882428	0.453290966504	0.430072418734	0.59994120545	0.425632591307	0.382830002749	0.593921670232	0.578520595828	0.537474928383	0.787904037548	0.759773697945	0.771404016908	0.445911000222	0.455828388388	0.481137578044	0.496224038693	0.527821649205	0.492503363996	0.536977558967	0.512114761802	0.525993938136	0.583575497311	0.591425588916	0.601187636412	0.802977680014	0.829539323386	0.821584684994	0.829552291914	0.799606729277	0.772065510153	0.508639985557	0.513652627331	0.538215291996	0.510200773155	0.567873563968	0.531798267752	0.78353326124	0.828508747	0.835354293638	0.588485192964	0.536050469074	0.774540342099	0.851532241983	0.826160428227	0.838490194459	0.848323690555	0.849354424596	0.814031866464	0.841719526328	0.829321459469	0.839109422358	0.836039035236	0.842336418273	0.814834505523	0.807386489017	0.852864889515	0.85885602524	0.813014527305	0.776420464253	0.76415792573	0.843719348936	0.837860269666	0.849677650832	0.866972895453	0.857152416056	0.850468624823	0.837826319113	0.83385346221	0.828504143169	0.84892587439	0.873281091607	0.857864507472	0.80123625412	0.824425188163	0.83119734475	0.838625563177	0.862333833886	0.844797131505	0.831762003315	0.838211010012	0.7368762958	0.728247963179	0.743365785593	0.730744686408	0.754622676765	0.818743737278	0.810032915788	0.813753413958	0.738090364045	0.726813963624	0.811574036474	0.816694131074	0.815246953517	0.8030042727	0.79787732409	0.80058746083	0.792275527912	0.810655696043	0.829741465079	0.823217857367	0.827181801175	0.662321355237	0.700998576205	0.661396879369	0.795818188076	0.795021644999	0.780503355101	0.737241438784	0.736198041264	0.715697800888	0.687274001824	0.696854549611	0.73687641594	0.739954405692	0.751919942292	0.749192258735	0.709158057856	0.685667223216	0.698048435956	0.674043850747	0.69616250131	0.69406051581	0.731112449869	0.700864663529	0.771466323776	0.709787277482	0.722650018023	0.691513112222	0.686204121904	0.686572990792	0.702454564765	0.784533099229	0.794581541861	0.783456302801	0.679271469745	0.664803037471	0.698703045932	0.728815587274	0.764587267435	0.784293698007	0.74615314758	0.59518810631	0.569983259837	0.56853519154
E-BA-2016-2	0.604340421016	0.585270028868	0.638147069946	0.356821177314	0.0	0.432310786623	0.777152430916	0.767835480729	0.775103244759	0.502099205922	0.525181732685	0.493929615144	0.657900368394	0.685464438886	0.758378840028	0.794426085881	0.735346557963	0.509861414616	0.52525165724	0.521490808066	0.520364956152	0.482597048431	0.517662436483	0.490809048107	0.497630995207	0.467675586534	0.582693156693	0.472361187836	0.413211560779	0.624511513226	0.596756735798	0.555801917773	0.778775257128	0.756245468218	0.768210016945	0.483008807978	0.514864409978	0.512714806388	0.52564385882	0.533695525802	0.521700931026	0.587800001654	0.557221786507	0.533862974828	0.602894250642	0.606928530307	0.61372450352	0.799326425993	0.825774757112	0.805278934027	0.828521264079	0.786771692702	0.783267891876	0.529448071632	0.53606865548	0.54857009676	0.526911176984	0.576740848283	0.570442822838	0.796540277548	0.815757914916	0.832582528574	0.542342607495	0.534895740366	0.790961636143	0.842044630202	0.8125841154	0.841759956926	0.850268809535	0.846204842307	0.830059790999	0.836771892511	0.842545934144	0.826724912844	0.837312596282	0.843557474597	0.796011807514	0.78562261725	0.853937997799	0.845600919169	0.82740955235	0.793629082875	0.782925809362	0.846371422465	0.842910040855	0.849525261258	0.86179576228	0.84708392307	0.855801878876	0.834985339538	0.825904432173	0.819841465672	0.859715244297	0.865812337039	0.846522775161	0.807208516179	0.830975961052	0.838519613804	0.843626655643	0.85784910873	0.858500967709	0.824898007248	0.852043614798	0.746756219221	0.748519600343	0.751010371472	0.731890295974	0.753753297358	0.826683347745	0.821818341958	0.818478126804	0.745026491363	0.730048902794	0.816172059689	0.816748926892	0.821349129248	0.81337911668	0.804393939884	0.809830719113	0.812019995926	0.809625883321	0.838475044192	0.819167839569	0.830665469173	0.671990084019	0.717542425716	0.676903530392	0.806253646311	0.79874596037	0.800644466999	0.7429167793	0.7342096003	0.730206736278	0.699288712791	0.709248310342	0.73732014216	0.758653233686	0.766849643786	0.754019732365	0.724990830921	0.705617444058	0.719586664825	0.688242193766	0.706704182726	0.711490988795	0.734783334025	0.733341851317	0.789818510523	0.725821258563	0.743395568723	0.705742663994	0.710891763019	0.699064999369	0.712985361825	0.767876851347	0.794599000787	0.780670840193	0.715068562449	0.700156556124	0.713216308933	0.707933276866	0.754876308173	0.772620402325	0.772931288677	0.574721947356	0.616730173697	0.58442541884
E-BA-2016-3	0.508487308355	0.527979054117	0.545019705208	0.42269331134	0.432310786623	0.0	0.79654001075	0.799983337307	0.825015646528	0.413215969478	0.410221406173	0.412634206755	0.67752023281	0.767232856204	0.786237879223	0.808170618283	0.757858732587	0.481282995114	0.490273144815	0.428143690872	0.424257764926	0.480799486156	0.417775560068	0.420057008416	0.443545341291	0.412266071478	0.6926464924	0.278358867783	0.296650653003	0.482063885315	0.498318239293	0.456773912374	0.809299832005	0.810550138962	0.821469319375	0.407633332501	0.425594864063	0.438749565715	0.45994367852	0.398206339813	0.495059487943	0.479317685335	0.456098436039	0.457397405589	0.549559381565	0.54581394553	0.535592749527	0.819728200105	0.84749173614	0.821955404348	0.849469269498	0.817103756733	0.786577750967	0.505398913476	0.486354013494	0.506328951842	0.454510950819	0.532443975822	0.48634606458	0.782364368905	0.824039915008	0.821076387659	0.490127475916	0.434912365951	0.779905256527	0.848617265961	0.826032197343	0.829876305921	0.844063454487	0.847991526407	0.80288125307	0.820323647089	0.806415375602	0.822599597763	0.832280575802	0.83602537439	0.804711497068	0.798194470446	0.845549188338	0.846326613511	0.789465461473	0.76992791784	0.756579206406	0.825869397323	0.837178460179	0.82819318898	0.860276629805	0.85119527836	0.841000419841	0.839456432536	0.822432483597	0.839236942543	0.849439157584	0.869113407688	0.853981785483	0.775837567024	0.802856144929	0.809304687987	0.83774220936	0.862395575867	0.84415543169	0.833004178857	0.832296190347	0.676423798217	0.668665601912	0.696308705205	0.679677431805	0.700888710584	0.788524452521	0.790697534466	0.793042325962	0.683514292164	0.674965454674	0.790837554513	0.792704608616	0.801147003236	0.777381159316	0.766336314607	0.775393970536	0.767907772872	0.768688554518	0.829956677297	0.824054561446	0.815979454922	0.648593748825	0.690486924909	0.654458311896	0.759671197717	0.745307272491	0.736334572709	0.669261739276	0.669929204828	0.681528517643	0.6451021426	0.668327262746	0.704193954718	0.691533694526	0.69615278362	0.67360777895	0.678382879146	0.667733962375	0.683988129651	0.650255430085	0.662586166181	0.676949237723	0.693991371775	0.631635398203	0.753350268292	0.664687013493	0.691448321967	0.641624466607	0.642878124947	0.632506746022	0.658886456847	0.792457945131	0.812331210057	0.812516197565	0.701306578432	0.667000766626	0.722037193162	0.739528102799	0.778820804023	0.788558474113	0.778336450954	0.521038560262	0.534850298354	0.532149295018
E-BL-2016-1	0.819344709028	0.81990915179	0.792399025657	0.791711873285	0.777152430916	0.79654001075	0.0	0.394546251121	0.327943376547	0.824546334389	0.838255696257	0.811874337394	0.749263221815	0.766415395838	0.692461080645	0.701238760315	0.704811199398	0.779062462703	0.786107821858	0.792437328969	0.807725674825	0.809764535807	0.812443022943	0.808241577197	0.81185041181	0.807822291921	0.734184380468	0.81321252716	0.813221979259	0.806552820637	0.811440211933	0.800696176727	0.599845011391	0.657386109838	0.651072614512	0.806428902117	0.817846132839	0.790500176121	0.8039641219	0.821412283555	0.803271508266	0.818642859375	0.819657572945	0.798490990338	0.814153335036	0.815363406147	0.803210983311	0.678105946904	0.674196463221	0.687379024995	0.670579059006	0.679693396143	0.685266180447	0.775261715394	0.81270907173	0.760274015024	0.822303461519	0.744627105662	0.813908847929	0.733312598571	0.74477343246	0.793997203706	0.793506957858	0.791003857489	0.763899837801	0.796414371084	0.787762695559	0.827918097757	0.81696309285	0.809640688029	0.812765240278	0.829559809579	0.834016405044	0.809610865871	0.797745962085	0.810247916322	0.772820895754	0.762915241532	0.832623451574	0.823445189698	0.811693308023	0.808411428077	0.799060680958	0.835601254252	0.827308892593	0.846427362576	0.820947460464	0.80388709719	0.819832233956	0.769328842115	0.821432690533	0.805722539165	0.827566921227	0.816036346856	0.807836814242	0.812826901705	0.850902620495	0.842518078809	0.776860441423	0.809472343373	0.817111732652	0.788729578909	0.832426398717	0.85131970189	0.861759710495	0.86905531521	0.860478764368	0.865002535822	0.856454140877	0.862173227489	0.858644328066	0.86271544771	0.844822676714	0.86793376829	0.858401408124	0.860121973356	0.858341920533	0.854359430796	0.870740867504	0.857955691303	0.860341891594	0.853414080272	0.813747117938	0.84927508971	0.832967383819	0.825533000076	0.819737293062	0.864910578278	0.866324903586	0.856889611846	0.839277435614	0.845799590593	0.85783710943	0.834547568733	0.808462641	0.842084495416	0.86485941294	0.88136727468	0.861028833091	0.874122337986	0.865284141888	0.865600360826	0.861229872359	0.849585851699	0.861828605128	0.85772839945	0.846986488623	0.857528719142	0.876068059423	0.862502318137	0.87121506798	0.872841053057	0.867049903169	0.85887782173	0.677021547126	0.663339833057	0.677612036039	0.815109907784	0.802214403259	0.80841838446	0.829948832982	0.688254975976	0.706036410004	0.683804135425	0.820078656303	0.821460593103	0.819306387707
E-BL-2016-2	0.817828986577	0.807698669879	0.807754070863	0.79463952698	0.767835480729	0.799983337307	0.394546251121	0.0	0.383893302155	0.810159812075	0.808759231102	0.798739004759	0.695962601247	0.749495911293	0.697070782515	0.699738918481	0.712547642963	0.7583758844	0.775545659292	0.798958116758	0.785638872621	0.786030043368	0.789616650983	0.788088588234	0.792307272788	0.781679332505	0.790980953312	0.823595217592	0.801771383495	0.794426595705	0.799769262573	0.784832389712	0.594503199215	0.608442407893	0.609160403399	0.787767324631	0.789951992853	0.776191469453	0.786874229953	0.805787490996	0.78296942103	0.820266181344	0.811409103112	0.797166750654	0.782774800742	0.806685593814	0.794711707406	0.670732375963	0.642256978701	0.669411841627	0.634328147116	0.655850668828	0.647547768391	0.772321258921	0.797466959194	0.752151253148	0.806255623549	0.762525012948	0.801666631591	0.701195430264	0.680570578234	0.725778630292	0.796622732038	0.799221159516	0.72641307139	0.750190561991	0.758141408947	0.804423734819	0.782306949269	0.773614525763	0.781169384857	0.801468218981	0.805559012179	0.768433232094	0.754326201589	0.763281910314	0.739142391575	0.748473219699	0.791037090955	0.788733646136	0.786046799148	0.777851586463	0.759714097452	0.807934001747	0.797988718176	0.816652221548	0.778762407732	0.766077699644	0.773239727709	0.75245280941	0.789910061674	0.769292244556	0.80290475526	0.782075116866	0.775769002722	0.784723940664	0.813707465801	0.811875287704	0.755372469877	0.786778611359	0.78130344753	0.765928051234	0.79136686416	0.843401287036	0.84641506429	0.840890329462	0.8368101047	0.838740335536	0.827585379737	0.831122803923	0.816268978126	0.839645573758	0.825596606511	0.833737560789	0.827346755833	0.819932499853	0.828746059446	0.818392412704	0.832389094578	0.823704183929	0.829398417256	0.814856341108	0.770970015376	0.815941723149	0.800286831027	0.796826518759	0.790662071627	0.837353273653	0.851335848284	0.839227681153	0.815206955275	0.821894438416	0.825075117793	0.822507049296	0.79254021265	0.815075429072	0.844858321809	0.859375827781	0.846784711273	0.853568687253	0.841939847622	0.838192680454	0.832494541545	0.828118160892	0.844134453431	0.837787184894	0.839107866628	0.828505216903	0.852991329674	0.846925772475	0.858029925854	0.853016887324	0.855587123119	0.832781723292	0.675278173942	0.666841076945	0.687655079697	0.775476043424	0.776851202684	0.795685833154	0.79129293839	0.680527174076	0.700349746531	0.697455106142	0.801303848006	0.817181924698	0.803155439117
E-BL-2016-3	0.835816720014	0.820093329169	0.811997998639	0.789522229915	0.775103244759	0.825015646528	0.327943376547	0.383893302155	0.0	0.831427846586	0.829713822155	0.81525406794	0.750007755265	0.781983368098	0.659724093558	0.670605782585	0.691415362379	0.784984176767	0.786494156942	0.808910628733	0.8101536035	0.797176481681	0.803373290232	0.802128017547	0.797379331563	0.795122236922	0.736953575865	0.838638243267	0.816390296698	0.817067746183	0.815349910524	0.81597707517	0.62005665128	0.60118128493	0.615184773145	0.800408861028	0.804110409234	0.797100289789	0.809825800967	0.832685472442	0.80629731248	0.830565538494	0.819324379086	0.817330079687	0.804916085185	0.826030642375	0.822009873622	0.675300573351	0.653096977843	0.688389506343	0.654786339102	0.680343777122	0.668673056314	0.793367483862	0.803104859809	0.757454587402	0.810110817656	0.77928364438	0.809952884108	0.711319974442	0.741427692943	0.789913036551	0.817311181874	0.812096827873	0.756901079209	0.791172007652	0.788043216565	0.829878419847	0.816021941256	0.804692899296	0.816185341129	0.830607630158	0.834536582013	0.806728357015	0.79638627151	0.811225544302	0.758783557738	0.766663728086	0.830096091802	0.823497715863	0.802833644323	0.80294038574	0.778708692941	0.83924472375	0.823264311569	0.846983569359	0.819068447969	0.809570678365	0.816799945756	0.770566885381	0.819657442905	0.797235348613	0.830688491316	0.816669842541	0.812134784345	0.808316115058	0.847473290314	0.846341855137	0.778914365878	0.81107413632	0.814645401168	0.782395177879	0.831782284606	0.857922942482	0.869603658832	0.859902447139	0.857141170208	0.863220489577	0.859462528262	0.860685566674	0.851298881337	0.859420654816	0.847450585605	0.860844717097	0.858577112093	0.85833364787	0.856459409848	0.850731501924	0.862011365556	0.852168610239	0.855513791018	0.845847416059	0.812749264474	0.844894093548	0.817275330175	0.814814882069	0.814248259733	0.863548430037	0.87385743641	0.863572713318	0.844733553678	0.844915196607	0.853651405471	0.839722886472	0.811547039866	0.843076884942	0.867027308147	0.88840375746	0.868896930874	0.876982491589	0.863652379356	0.862485802228	0.85884685245	0.845340485675	0.865004052254	0.864743104061	0.857459975728	0.852012086571	0.867645997855	0.863330081114	0.881848268084	0.875050592407	0.875160222893	0.848560838731	0.697187455324	0.663501120447	0.697426951871	0.820059486582	0.820022127979	0.823297627679	0.828121234129	0.712897237726	0.720309081344	0.68154143985	0.812559265537	0.82642141624	0.811841366467
E-BP-2016-1	0.525232415655	0.518487629407	0.539700650486	0.4641962634	0.502099205922	0.413215969478	0.824546334389	0.810159812075	0.831427846586	0.0	0.255450484971	0.226039789695	0.684504477554	0.763118016428	0.793438211944	0.808410373033	0.765336988087	0.307159189674	0.343407649033	0.293518894992	0.283400656766	0.38222155928	0.304969154576	0.296891083333	0.284645125802	0.303336655373	0.745625075826	0.375547052518	0.347846788271	0.369472611058	0.348472213046	0.313883918914	0.823701634889	0.80774869232	0.820708100333	0.321200981247	0.301461677741	0.29967057851	0.324399380416	0.30142661469	0.36472001459	0.48504150117	0.476887405616	0.480718651429	0.535791020247	0.555935250037	0.543933507526	0.834717101511	0.856414198189	0.833907286349	0.856564522441	0.822476088349	0.800147037038	0.587464991172	0.476549843323	0.560352293744	0.464884237175	0.651610110631	0.486643495888	0.780820662684	0.814161456622	0.820126475515	0.531586219125	0.484122262307	0.784586192303	0.833671502807	0.816269415409	0.824589881685	0.827525874008	0.839622835451	0.790260689497	0.807878455708	0.795514445181	0.815427644486	0.819221639979	0.821788579694	0.81036073351	0.804982707347	0.82604509547	0.831542834054	0.785715086438	0.761820109622	0.759911362168	0.807914204182	0.810891907479	0.819886330478	0.85501526865	0.841749675729	0.82751735487	0.837189655484	0.815986266726	0.821547171752	0.83278143247	0.850181447997	0.840807523292	0.779697778608	0.784467574323	0.799421937683	0.828406366974	0.845468725123	0.831285050149	0.825652683375	0.816328809489	0.650574467841	0.622652887204	0.619771387904	0.605527358629	0.642631582423	0.739772889618	0.736968126813	0.74234183129	0.63525402456	0.653993352548	0.746396429719	0.737300321977	0.748596721372	0.732917459173	0.724076802569	0.71937122348	0.736320203602	0.744314030786	0.792145684272	0.799253011438	0.777081783685	0.614305123434	0.636776023084	0.62404458008	0.706872898343	0.714609780145	0.709375599757	0.61165386572	0.593432902954	0.583410399068	0.621898912641	0.656380689513	0.673283019335	0.661936666819	0.660597558397	0.65941101139	0.607663934878	0.611299837918	0.609839816957	0.615242319808	0.627910446336	0.621341491587	0.663930375703	0.666985832284	0.725200529682	0.611545838454	0.649691805194	0.585966814361	0.613343505188	0.593557180364	0.644495866611	0.794546271256	0.820227285873	0.799479242501	0.705226255301	0.680935384306	0.730678316442	0.763275915516	0.792048339717	0.789256997952	0.789400767859	0.511589079396	0.507048407379	0.499657678655
