	D7A	D7B	D7C	E-BA-2016-1	E-BA-2016-2	E-BA-2016-3	E-BL-2016-1	E-BL-2016-2	E-BL-2016-3	E-BP-2016-1	E-BP-2016-2	E-BP-2016-3	E-CB-2016-2	E-CB-2016-3	E-CR-2016-1	E-CR-2016-2	E-CR-2016-3	E-DU-2016-1	E-DU-2016-2	E-DU-2016-3	E-JP-2016-1	E-JP-2016-2	E-JP-2016-3	E-LH-2016-1	E-LH-2016-2	E-LH-2016-3	E-PM-2016-1	E-PM-2016-2	E-PM-2016-3	E-TB-2016-1	E-TB-2016-2	E-TB-2016-3	E-TL-2016-1	E-TL-2016-2	E-TL-2016-3	E-VP-2016-1	E-VP-2016-2	E-VP-2016-3	E-WC-2016-1	E-WC-2016-2	E-WC-2016-3	E-b-DU-1-Jul-a	E-b-DU-2-Jul-a	E-b-DU-3-Jul-a	E-b-WV-1-Aug	E-b-WV-2-Aug	E-b-WV-3-Aug	E-f-TL-1-Aug	E-f-TL-1-Jul-a	E-f-TL-2-Aug	E-f-TL-2-Jul-a	E-f-TL-3-Aug	E-f-TL-3-Jul-a	E-s-PM-1-Aug	E-s-PM-1-Jul-a	E-s-PM-2-Aug	E-s-PM-2-Jul-a	E-s-PM-3-Aug	E-s-PM-3-Jul-a	F7A	F7B	F7C	P7A	P7C	R-Ds-6-23-r1	R-Ds-6-23-r2	R-Ds-6-23-r3	R-J-5-26-r1	R-J-5-26-r2	R-J-5-26-r3	R-Jt-6-23-r1	R-Jt-6-23-r2	R-Jt-6-23-r3	R-Ls-6-23-r1	R-Ls-6-23-r2	R-Ls-6-23-r3	R-Mt-6-23-r1	R-Mt-6-23-r2	R-ds-4-28-r1	R-ds-4-28-r2	R-jt-4-28-r1	R-jt-4-28-r2	R-jt-4-28-r3	R-ls-4-28-r1	R-ls-4-28-r2	R-ls-4-28-r3	R-ls-5-26-r1	R-ls-5-26-r2	R-ls-5-26-r3	R-mt-4-28-r1	R-mt-4-28-r2	R-mt-4-28-r3	R-mt-5-26-r1	R-mt-5-26-r2	R-mt-5-26-r3	R-wp-4-28-r1	R-wp-4-28-r2	R-wp-4-28-r3	R-wp-5-26-r1	R-wp-5-26-r3	R-wp-6-23-r1	R-wp-6-23-r2	R-wp-6-23-r3	S-st-1-4-24-r2	S-st-1-4-24-r3	S-st-1-5-27-r1	S-st-1-5-27-r2	S-st-1-5-27-r3	S-st-1-6-19-r1	S-st-1-6-19-r2	S-st-1-6-19-r3	S-st-2-4-24-r1A	S-st-2-4-24-r1B	S-st-2-5-27-r1	S-st-2-5-27-r2	S-st-2-5-27-r3	S-st-2-6-19-r1	S-st-2-6-19-r2	S-st-2-6-19-r3	S-st-3-4-24-r1	S-st-3-4-24-r3	S-st-3-5-27-r1	S-st-3-5-27-r2	S-st-3-5-27-r3	S-st-3-6-19-r1	S-st-3-6-19-r2	S-st-3-6-19-r3	S-st-4-4-24-r1	S-st-4-4-24-r2	S-st-4-4-24-r3	S-st-4-5-27-r1	S-st-4-5-27-r2	S-st-4-5-27-r3	S-st-4-6-19-r1	S-st-4-6-19-r2	S-st-4-6-19-r3	S-st-5-4-24-r1	S-st-5-4-24-r2	S-st-5-4-24-r3	S-st-5-5-27-r1	S-st-5-5-27-r2	S-st-5-5-27-r3	S-st-5-6-19-r1	S-st-5-6-19-r2	S-st-5-6-19-r3	S-st-6-4-24-r1	S-st-6-4-24-r3	S-st-6-5-27-r1	S-st-6-5-27-r2	S-st-6-5-27-r3	S-st-6-6-19-r1	S-st-6-6-19-r2	S-st-6-6-19-r3	S-st-7-4-24-r1	T7A	T7B	T7C	TC7B	TC7C	TI7A	TI7B	Tca7A	Tca7B	Tca7C	WV7A	WV7B	WV7C
D7A	0.0	0.251	0.233	0.921	0.936	0.89	1.0	1.0	1.0	0.826	0.827	0.826	0.977	0.988	1.0	0.999	0.999	0.857	0.844	0.797	0.808	0.893	0.81	0.809	0.794	0.824	0.975	0.926	0.944	0.84	0.836	0.81	1.0	1.0	1.0	0.809	0.786	0.816	0.859	0.814	0.889	0.833	0.829	0.824	0.649	0.685	0.682	1.0	1.0	1.0	1.0	1.0	1.0	0.649	0.849	0.708	0.83	0.779	0.83	1.0	1.0	1.0	0.77	0.694	1.0	1.0	1.0	1.0	1.0	0.997	0.997	0.998	0.998	0.996	1.0	1.0	1.0	0.997	1.0	1.0	0.993	0.996	0.989	0.991	0.989	0.988	1.0	0.999	1.0	0.999	1.0	0.999	1.0	1.0	1.0	0.994	0.998	0.998	1.0	0.999	1.0	0.996	0.991	0.905	0.899	0.878	0.874	0.947	0.947	0.956	0.962	0.865	0.861	0.934	0.959	0.972	0.908	0.909	0.903	0.954	0.955	0.984	0.987	0.985	0.94	0.928	0.966	0.874	0.897	0.888	0.861	0.884	0.864	0.958	0.95	0.935	0.956	0.964	0.96	0.958	0.978	0.972	0.944	0.934	0.942	0.95	0.928	0.961	0.949	0.944	0.954	0.958	0.945	0.947	0.991	0.985	0.993	0.951	0.91	0.956	0.989	0.991	0.991	0.997	0.599	0.579	0.587
D7B	0.251	0.0	0.272	0.927	0.934	0.899	1.0	1.0	1.0	0.845	0.839	0.844	0.962	0.988	1.0	0.998	0.999	0.884	0.867	0.825	0.802	0.905	0.823	0.84	0.814	0.853	0.974	0.935	0.954	0.837	0.844	0.816	0.999	0.999	0.999	0.803	0.797	0.821	0.861	0.845	0.902	0.825	0.817	0.812	0.673	0.707	0.684	1.0	1.0	1.0	0.999	0.999	1.0	0.654	0.86	0.708	0.837	0.78	0.836	1.0	1.0	0.999	0.791	0.725	1.0	1.0	1.0	1.0	1.0	0.998	0.993	0.995	0.998	0.99	1.0	0.999	0.999	0.997	1.0	1.0	0.993	0.995	0.987	0.992	0.992	0.991	0.999	0.996	0.999	0.999	0.998	0.999	1.0	0.998	0.999	0.993	0.997	0.997	1.0	0.999	1.0	0.997	0.997	0.894	0.871	0.867	0.874	0.95	0.949	0.964	0.973	0.844	0.853	0.939	0.969	0.97	0.921	0.925	0.92	0.944	0.948	0.994	0.995	0.995	0.946	0.935	0.969	0.871	0.901	0.878	0.855	0.885	0.866	0.96	0.952	0.939	0.953	0.956	0.956	0.966	0.983	0.979	0.953	0.94	0.945	0.943	0.923	0.963	0.943	0.948	0.961	0.963	0.948	0.938	0.991	0.985	0.992	0.934	0.894	0.958	0.975	0.99	0.991	0.996	0.629	0.597	0.615
D7C	0.233	0.272	0.0	0.921	0.939	0.882	1.0	1.0	1.0	0.817	0.824	0.824	0.978	0.992	1.0	0.999	0.998	0.851	0.832	0.798	0.796	0.89	0.807	0.81	0.802	0.832	0.976	0.925	0.945	0.825	0.822	0.783	1.0	1.0	1.0	0.823	0.809	0.816	0.852	0.822	0.88	0.842	0.839	0.825	0.649	0.677	0.677	1.0	1.0	1.0	1.0	1.0	1.0	0.633	0.828	0.691	0.814	0.766	0.822	1.0	1.0	1.0	0.797	0.728	0.999	1.0	1.0	0.999	0.999	0.998	0.997	0.996	0.999	0.996	1.0	1.0	0.998	0.996	1.0	0.999	0.991	0.996	0.985	0.993	0.991	0.989	1.0	0.997	1.0	0.999	0.997	0.999	0.998	1.0	1.0	0.993	0.997	0.998	0.999	1.0	1.0	0.997	0.988	0.909	0.89	0.857	0.852	0.928	0.938	0.944	0.951	0.875	0.861	0.943	0.946	0.974	0.908	0.905	0.894	0.945	0.954	0.976	0.978	0.975	0.921	0.917	0.951	0.877	0.896	0.89	0.846	0.879	0.837	0.941	0.935	0.922	0.953	0.961	0.958	0.942	0.965	0.955	0.927	0.916	0.922	0.948	0.929	0.953	0.943	0.928	0.935	0.943	0.925	0.948	0.99	0.986	0.992	0.948	0.904	0.959	0.989	0.991	0.991	0.997	0.606	0.591	0.587
E-BA-2016-1	0.921	0.927	0.921	0.0	0.218	0.636	0.999	1.0	1.0	0.829	0.828	0.833	0.971	0.973	0.998	0.997	0.993	0.884	0.868	0.897	0.855	0.822	0.855	0.846	0.857	0.874	0.382	0.769	0.761	0.893	0.904	0.893	1.0	1.0	1.0	0.874	0.905	0.892	0.781	0.847	0.811	0.951	0.945	0.939	0.895	0.906	0.917	1.0	0.999	1.0	1.0	1.0	1.0	0.873	0.898	0.882	0.883	0.849	0.893	0.999	1.0	1.0	0.936	0.899	0.999	1.0	1.0	0.997	1.0	0.998	0.998	0.999	0.997	0.997	0.999	1.0	0.999	0.998	1.0	0.999	0.995	0.999	0.996	0.999	1.0	0.998	1.0	0.997	1.0	1.0	0.999	1.0	0.997	0.997	0.999	0.989	1.0	0.999	1.0	0.997	0.999	0.992	0.983	0.956	0.963	0.964	0.95	0.963	0.973	0.963	0.967	0.953	0.955	0.99	0.967	0.991	0.981	0.963	0.964	0.964	0.971	0.972	0.972	0.974	0.965	0.949	0.962	0.967	0.95	0.973	0.989	0.981	0.966	0.965	0.961	0.949	0.946	0.97	0.965	0.902	0.91	0.905	0.919	0.931	0.91	0.936	0.953	0.964	0.958	0.925	0.894	0.881	0.879	0.978	0.994	0.994	0.995	0.991	0.992	0.981	0.998	0.998	0.995	0.998	0.935	0.942	0.929
E-BA-2016-2	0.936	0.934	0.939	0.218	0.0	0.669	0.999	1.0	1.0	0.848	0.816	0.841	0.983	0.977	0.998	0.998	0.993	0.912	0.873	0.93	0.899	0.862	0.909	0.876	0.861	0.893	0.422	0.808	0.8	0.909	0.92	0.926	1.0	1.0	1.0	0.903	0.934	0.938	0.698	0.884	0.766	0.944	0.938	0.939	0.917	0.921	0.932	1.0	1.0	1.0	1.0	1.0	1.0	0.845	0.933	0.896	0.919	0.832	0.921	0.999	1.0	1.0	0.936	0.899	0.997	0.998	1.0	0.997	1.0	0.999	0.997	0.996	0.999	0.996	0.999	1.0	0.999	0.997	1.0	1.0	0.993	0.998	0.995	0.999	1.0	0.999	1.0	0.997	1.0	1.0	0.996	1.0	0.997	0.998	0.999	0.989	1.0	0.998	1.0	0.999	1.0	0.996	0.994	0.95	0.946	0.98	0.97	0.974	0.987	0.979	0.988	0.924	0.913	0.993	0.988	0.989	0.987	0.983	0.985	0.962	0.967	0.993	0.996	0.99	0.982	0.971	0.981	0.976	0.945	0.969	0.991	0.99	0.983	0.981	0.981	0.968	0.942	0.961	0.965	0.876	0.919	0.887	0.942	0.948	0.93	0.93	0.935	0.976	0.957	0.934	0.87	0.852	0.878	0.973	0.999	0.998	0.998	0.993	0.997	0.989	0.998	0.999	0.999	0.999	0.955	0.956	0.95
E-BA-2016-3	0.89	0.899	0.882	0.636	0.669	0.0	0.999	1.0	1.0	0.76	0.72	0.747	0.98	0.984	1.0	0.999	0.989	0.893	0.884	0.842	0.81	0.9	0.798	0.811	0.851	0.85	0.728	0.474	0.473	0.812	0.819	0.784	0.999	1.0	1.0	0.818	0.844	0.842	0.826	0.798	0.87	0.902	0.91	0.896	0.843	0.849	0.849	1.0	1.0	1.0	1.0	1.0	1.0	0.866	0.775	0.859	0.771	0.853	0.801	0.998	1.0	1.0	0.904	0.907	0.998	1.0	0.999	0.998	1.0	0.997	0.991	0.993	0.998	0.994	0.999	1.0	0.997	0.996	1.0	0.999	0.986	0.989	0.987	0.993	0.997	0.991	1.0	0.997	1.0	0.998	0.996	1.0	0.998	0.999	0.999	0.985	0.997	0.996	1.0	0.999	1.0	0.998	0.98	0.904	0.881	0.909	0.904	0.881	0.958	0.907	0.919	0.891	0.879	0.968	0.926	0.981	0.955	0.906	0.905	0.922	0.934	0.962	0.955	0.94	0.912	0.902	0.913	0.898	0.883	0.914	0.943	0.936	0.92	0.913	0.913	0.9	0.919	0.925	0.919	0.892	0.871	0.862	0.875	0.889	0.867	0.899	0.898	0.95	0.926	0.905	0.841	0.851	0.831	0.934	0.989	0.988	0.994	0.988	0.983	0.984	0.997	0.994	0.992	0.997	0.893	0.911	0.9
E-BL-2016-1	1.0	1.0	1.0	0.999	0.999	0.999	0.0	0.293	0.337	0.998	1.0	0.998	0.98	0.983	0.986	0.988	0.98	0.999	0.998	0.999	1.0	1.0	1.0	0.999	0.999	0.999	0.999	0.999	0.998	0.998	0.998	0.999	0.907	0.939	0.948	1.0	0.999	1.0	0.999	0.998	0.998	1.0	1.0	0.999	1.0	1.0	1.0	0.941	0.952	0.936	0.952	0.951	0.939	1.0	1.0	1.0	1.0	1.0	1.0	0.898	0.933	0.947	1.0	1.0	0.972	0.959	0.953	0.957	0.942	0.958	0.932	0.935	0.941	0.931	0.933	0.945	0.965	0.985	0.89	0.893	0.978	0.991	0.982	0.946	0.927	0.942	0.944	0.949	0.928	0.959	0.977	0.971	0.951	0.925	0.919	0.972	0.966	0.98	0.944	0.954	0.933	0.945	0.95	1.0	1.0	1.0	0.998	0.997	0.954	0.948	0.952	1.0	1.0	0.979	0.974	0.982	0.985	0.991	0.995	0.987	0.993	0.936	0.94	0.954	1.0	1.0	1.0	0.997	0.997	0.997	1.0	1.0	0.999	1.0	1.0	1.0	0.999	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.999	1.0	0.999	0.994	1.0	1.0	1.0	1.0	1.0	1.0	0.923	0.919	0.93	1.0	0.999	1.0	1.0	0.931	0.928	0.956	0.999	1.0	1.0
E-BL-2016-2	1.0	1.0	1.0	1.0	1.0	1.0	0.293	0.0	0.308	1.0	1.0	1.0	0.995	0.997	0.979	0.981	0.974	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.999	1.0	1.0	1.0	1.0	0.999	1.0	0.931	0.956	0.968	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.959	0.977	0.964	0.973	0.973	0.962	1.0	1.0	1.0	1.0	1.0	1.0	0.903	0.937	0.959	1.0	1.0	0.97	0.959	0.955	0.96	0.951	0.965	0.941	0.938	0.946	0.936	0.946	0.956	0.963	0.986	0.907	0.917	0.978	0.993	0.988	0.952	0.931	0.946	0.953	0.964	0.937	0.956	0.977	0.972	0.956	0.932	0.928	0.976	0.971	0.986	0.95	0.961	0.94	0.951	0.957	1.0	1.0	1.0	0.999	0.998	0.952	0.961	0.955	1.0	1.0	0.981	0.976	0.985	0.986	0.994	0.995	0.992	0.995	0.943	0.945	0.964	1.0	1.0	1.0	0.997	0.997	1.0	1.0	1.0	0.999	1.0	1.0	1.0	0.999	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.999	1.0	1.0	0.993	1.0	1.0	1.0	1.0	1.0	1.0	0.942	0.912	0.929	0.999	1.0	1.0	0.999	0.916	0.949	0.921	0.999	1.0	1.0
E-BL-2016-3	1.0	1.0	1.0	1.0	1.0	1.0	0.337	0.308	0.0	1.0	1.0	1.0	0.997	0.999	0.991	0.991	0.985	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.999	1.0	1.0	1.0	1.0	0.998	1.0	0.917	0.944	0.96	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.963	0.961	0.957	0.959	0.964	0.957	1.0	1.0	1.0	1.0	1.0	1.0	0.904	0.939	0.964	1.0	1.0	0.975	0.965	0.962	0.961	0.958	0.971	0.949	0.951	0.953	0.938	0.952	0.952	0.967	0.985	0.908	0.91	0.986	0.989	0.989	0.956	0.931	0.947	0.948	0.958	0.942	0.959	0.98	0.973	0.956	0.939	0.932	0.975	0.98	0.987	0.948	0.959	0.943	0.957	0.96	1.0	1.0	0.999	0.999	0.999	0.965	0.962	0.96	1.0	1.0	0.983	0.982	0.988	0.989	0.998	0.994	0.993	0.998	0.952	0.94	0.968	1.0	1.0	1.0	0.999	0.997	0.999	0.999	1.0	0.999	1.0	1.0	1.0	0.999	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.999	1.0	1.0	0.995	1.0	1.0	1.0	1.0	1.0	1.0	0.949	0.947	0.954	0.998	0.998	0.999	1.0	0.953	0.949	0.968	0.999	1.0	1.0
E-BP-2016-1	0.826	0.845	0.817	0.829	0.848	0.76	0.998	1.0	1.0	0.0	0.402	0.297	0.942	0.968	1.0	0.988	0.985	0.667	0.664	0.637	0.548	0.782	0.572	0.686	0.661	0.704	0.945	0.819	0.833	0.536	0.563	0.56	0.999	0.999	1.0	0.507	0.537	0.58	0.669	0.65	0.74	0.889	0.894	0.891	0.859	0.879	0.885	1.0	1.0	1.0	1.0	1.0	1.0	0.955	0.901	0.943	0.863	0.956	0.88	0.998	0.999	1.0	0.934	0.908	0.998	1.0	1.0	0.998	0.998	0.997	0.987	0.987	0.992	0.995	0.998	0.998	0.996	0.993	0.999	0.998	0.982	0.984	0.98	0.99	0.988	0.983	0.998	0.996	0.996	0.998	0.996	0.999	0.998	0.998	0.999	0.988	0.993	0.997	0.999	1.0	1.0	0.999	0.995	0.861	0.848	0.805	0.756	0.867	0.944	0.935	0.95	0.84	0.817	0.879	0.897	0.911	0.892	0.894	0.899	0.909	0.904	0.974	0.973	0.964	0.939	0.946	0.962	0.882	0.847	0.861	0.781	0.795	0.787	0.951	0.949	0.931	0.867	0.892	0.885	0.856	0.907	0.886	0.916	0.905	0.892	0.878	0.869	0.946	0.89	0.917	0.883	0.9	0.87	0.919	0.997	0.998	1.0	0.974	0.953	0.977	0.995	0.996	0.997	1.0	0.938	0.936	0.933
