taxa	pred_type	manual_est_range		type	typeSimple	meanA	meanB	meanC	A	B	sigAB	sigBC	sigAC	bloom	boundaries	boundariestwo
AACY020014137.1.1240				noclass	noclass	0	0.004101398	0	25	31	7.77E-14	0.028610048	1	No		
AACY020015340.1.1226				brackishRestricted	brackishRestricted	3.27E-05	0.00399522	0	20	33	4.94E-17	0.013510207	0.420568654	No	20	33
AACY020458202.2977.4452				noclass	noclass	0.000242672	0.006118104	0.000883002	30	33	1.21E-08	0.093977386	0.078401157	No		
AACY020551516.3485.4953				brackishRestricted	brackishRestricted	0.000373012	0.019737285	0.003197337	13	17	1.73E-12	0.004114933	1.88E-05	No	13	17
AACY023218372.73.1482	brackishRestricted	4 to 30	YES	brackishRestricted	brackishRestricted	0.000706994	0.041814663	0.005053515	13	21	1.51E-20	0.000117418	2.12E-08	No	13	21
AACY023264466.1.1273				marineRestricted	marineRestricted	0.000191603	0.020034936	0.0368633	28	31	1.87E-30	0.001065628	4.05E-36	No	29.37667723	
AACY023523135.322.1695				noclass	noclass	0.000679081	0.004190173	0	32	34	0.012249974	0.143434326	0.281633818	No		
AACY023865524.1.1222	marineRestricted	7 to 35	YES	marineRestricted	marineRestricted	8.08E-05	0.001457082	0.01110581	12	34	9.38E-06	0.028787005	2.44E-10	No	31.25365492	
AB154316.1.1408				freshRestricted	freshRestricted	0.037901906	0.014390673	0.003517267	3	8	0.001891662	2.96E-08	7.64E-08	No	4.581142872	
AB753890.1.1451				freshRestricted	freshRestricted	0.007062562	0.000316991	0	4	6	0.000153309	0.005393042	9.56E-23	No	4.089766487	
AB753951.1.1444				brackishRestricted	brackishRestricted	0	0.003612866	4.98E-05	4	7	0.018054317	6.74E-10	0.345950919	No	4	7
AB753977.1.1405				freshRestricted	freshRestricted	0.020146095	0.008728094	0.000480054	3	5	0.065791171	9.78E-06	1.56E-13	No	3.838810462	
AB754170.1.1411				brackishBloom	brackishRestricted	0.000462575	0.004476602	0.000659246	7	10	0.000187479	0.000142058	0.258385975	brackish	7	10
AF009975.1.1483				brackishRestricted	brackishRestricted	0.005725098	0.018050461	0.005542642	5	8	0.001598471	7.10E-08	0.397488671	No	5	8
AF316678.1.1506	freshRestricted	3 to 15	YES	freshBloom	freshRestricted	0.006219983	0.001320152	0.000178464	6	8	0.004969865	0.025905586	1.10E-06	fresh	6.377947357	
AF316766.1.1445	freshRestricted	0 to 15	YES	freshRestricted	freshRestricted	0.019016553	0.002387245	0.000492132	4	6	0.000205363	0.013748506	9.60E-16	No	4.204606936	
AF425995.1.1427	brackishRestricted	5 to 15	 NO	noclass	noclass	0	0.001335401	0.000250855	5	8	0.097773323	0.039657428	0.235944213	No		
AF468409.1.1427				noclass	noclass	0	0.005374435	0.000996946	4	7	0.050262087	0.021015395	0.140069329	No		
AF534430.1.1436				freshRestricted	freshRestricted	0.025704539	0.00836711	0.000656702	3	6	0.00443203	3.65E-11	3.48E-12	No	3.923481933	
AM084881.1.1268				freshRestricted	freshRestricted	0.012604607	0.000195201	0	3	11	7.07E-06	0.178373529	1.51E-05	No	3.123892019	
AM259819.1.1373	marineRestricted	15 to 35	YES	marineRestricted	marineRestricted	0.000145113	0.021757864	0.008409012	17	34	4.93E-40	0.033151989	3.65E-14	No	17	
AM279192.8.1416				brackishRestricted	brackishRestricted	0.000629396	0.003889126	0	15	17	0.004145712	8.71E-06	0.026268469	No	15	17
AM279212.8.1483	brackishRestricted	15 to 30	YES	brackishRestricted	brackishRestricted	4.40E-05	0.008849977	0.000611414	18.5	21	1.06E-23	8.91E-05	0.00612517	No	18.5	21
AM882571.1.1459				brackishRestricted	brackishRestricted	0.000247443	0.002027386	0	7	9	0.002580895	1.93E-05	0.103700082	No	7	9
AM945542.1.1274				noclass	noclass	0.002721875	0.007611788	0.000955745	5	8	0.095338809	3.76E-07	0.016153575	No		
